Symbol,Date,Open,High,Low,Close,Volume
5EF,03 Jan 2005,0.28,0.28,0.28,0.28,0
5EF,04 Jan 2005,0.28,0.28,0.28,0.28,30000
5EF,05 Jan 2005,0.27,0.27,0.27,0.27,120000
5EF,06 Jan 2005,0.27,0.28,0.27,0.28,131000
5EF,07 Jan 2005,0.27,0.27,0.27,0.27,40000
5EF,10 Jan 2005,0.28,0.28,0.27,0.28,135000
5EF,11 Jan 2005,0.28,0.29,0.28,0.29,447000
5EF,12 Jan 2005,0.29,0.33,0.29,0.33,2796000
5EF,13 Jan 2005,0.33,0.35,0.33,0.35,3126000
5EF,14 Jan 2005,0.35,0.36,0.34,0.35,1743000
5EF,17 Jan 2005,0.35,0.38,0.35,0.38,1226000
5EF,18 Jan 2005,0.38,0.38,0.38,0.38,1251000
5EF,19 Jan 2005,0.38,0.38,0.37,0.37,861000
5EF,20 Jan 2005,0.37,0.38,0.37,0.38,749000
5EF,21 Jan 2005,0.38,0.38,0.38,0.38,0
5EF,24 Jan 2005,0.37,0.38,0.37,0.37,637000
5EF,25 Jan 2005,0.37,0.41,0.37,0.4,1779000
5EF,26 Jan 2005,0.4,0.41,0.39,0.41,2007000
5EF,27 Jan 2005,0.42,0.46,0.42,0.44,4531000
5EF,28 Jan 2005,0.44,0.46,0.44,0.46,1692000
5EF,31 Jan 2005,0.45,0.47,0.45,0.47,537000
5EF,01 Feb 2005,0.46,0.47,0.45,0.46,784000
5EF,02 Feb 2005,0.45,0.45,0.43,0.44,876000
5EF,03 Feb 2005,0.44,0.46,0.44,0.46,1283000
5EF,04 Feb 2005,0.46,0.5,0.46,0.5,3538000
5EF,07 Feb 2005,0.5,0.55,0.5,0.54,4411000
5EF,08 Feb 2005,0.54,0.56,0.54,0.55,1003000
5EF,09 Feb 2005,0.55,0.55,0.55,0.55,0
5EF,10 Feb 2005,0.55,0.55,0.55,0.55,0
5EF,11 Feb 2005,0.55,0.55,0.54,0.55,388000
5EF,14 Feb 2005,0.55,0.56,0.53,0.56,764000
5EF,15 Feb 2005,0.55,0.58,0.55,0.58,1437000
5EF,16 Feb 2005,0.58,0.58,0.56,0.56,771000
5EF,17 Feb 2005,0.57,0.57,0.56,0.56,295000
5EF,18 Feb 2005,0.54,0.54,0.44,0.45,4407000
5EF,21 Feb 2005,0.47,0.5,0.46,0.5,1654000
5EF,22 Feb 2005,0.49,0.49,0.37,0.37,2423000
5EF,23 Feb 2005,0.37,0.38,0.32,0.38,13226000
5EF,24 Feb 2005,0.38,0.38,0.35,0.35,1909000
5EF,25 Feb 2005,0.35,0.36,0.33,0.33,1708000
5EF,28 Feb 2005,0.33,0.33,0.28,0.3,2792000
5EF,01 Mar 2005,0.29,0.31,0.29,0.29,1951000
5EF,02 Mar 2005,0.31,0.32,0.3,0.32,3171000
5EF,03 Mar 2005,0.31,0.34,0.31,0.34,1685000
5EF,04 Mar 2005,0.34,0.35,0.34,0.34,1718000
5EF,07 Mar 2005,0.35,0.36,0.34,0.35,1935000
5EF,08 Mar 2005,0.37,0.38,0.35,0.36,4296000
5EF,09 Mar 2005,0.35,0.35,0.34,0.34,521000
5EF,10 Mar 2005,0.35,0.35,0.34,0.34,443000
5EF,11 Mar 2005,0.34,0.35,0.33,0.34,1460000
5EF,14 Mar 2005,0.35,0.36,0.35,0.36,1608000
5EF,15 Mar 2005,0.35,0.35,0.34,0.34,800000
5EF,16 Mar 2005,0.34,0.34,0.34,0.34,604000
5EF,17 Mar 2005,0.34,0.34,0.34,0.34,368000
5EF,18 Mar 2005,0.34,0.34,0.33,0.34,428000
5EF,21 Mar 2005,0.34,0.34,0.32,0.32,576000
5EF,22 Mar 2005,0.31,0.32,0.31,0.31,606000
5EF,23 Mar 2005,0.31,0.32,0.31,0.32,410000
5EF,24 Mar 2005,0.33,0.34,0.33,0.34,872000
5EF,25 Mar 2005,0.335,0.335,0.335,0.335,0
5EF,28 Mar 2005,0.34,0.34,0.32,0.33,141000
5EF,29 Mar 2005,0.32,0.32,0.32,0.32,2220000
5EF,30 Mar 2005,0.31,0.32,0.3,0.3,527000
5EF,31 Mar 2005,0.3,0.31,0.3,0.31,206000
5EF,01 Apr 2005,0.31,0.32,0.31,0.31,2185000
5EF,04 Apr 2005,0.31,0.31,0.31,0.31,141000
5EF,05 Apr 2005,0.31,0.31,0.31,0.31,133000
5EF,06 Apr 2005,0.31,0.31,0.31,0.31,89000
5EF,07 Apr 2005,0.31,0.31,0.31,0.31,105000
5EF,08 Apr 2005,0.31,0.31,0.31,0.31,196000
5EF,11 Apr 2005,0.31,0.31,0.31,0.31,75000
5EF,12 Apr 2005,0.31,0.32,0.31,0.32,575000
5EF,13 Apr 2005,0.34,0.34,0.34,0.34,519000
5EF,14 Apr 2005,0.34,0.34,0.33,0.34,189000
5EF,15 Apr 2005,0.32,0.33,0.32,0.32,130000
5EF,18 Apr 2005,0.32,0.32,0.31,0.31,193000
5EF,19 Apr 2005,0.31,0.32,0.31,0.31,90000
5EF,20 Apr 2005,0.31,0.31,0.31,0.31,95000
5EF,21 Apr 2005,0.33,0.33,0.33,0.33,1000
5EF,22 Apr 2005,0.31,0.32,0.31,0.32,68000
5EF,25 Apr 2005,0.31,0.32,0.31,0.32,97000
5EF,26 Apr 2005,0.32,0.33,0.32,0.32,0
5EF,27 Apr 2005,0.32,0.34,0.32,0.34,20000
5EF,28 Apr 2005,0.32,0.32,0.32,0.32,57000
5EF,29 Apr 2005,0.32,0.33,0.32,0.33,235000
5EF,02 May 2005,0.33,0.33,0.33,0.33,0
5EF,03 May 2005,0.25,0.25,0.2,0.21,145000
5EF,04 May 2005,0.2,0.2,0.2,0.2,10000
5EF,05 May 2005,0.22,0.22,0.22,0.22,1000
5EF,06 May 2005,0.21,0.21,0.21,0.21,29000
5EF,09 May 2005,0.19,0.22,0.19,0.19,0
5EF,10 May 2005,0.19,0.19,0.19,0.19,4000
5EF,11 May 2005,0.19,0.19,0.19,0.19,30000
5EF,12 May 2005,0.19,0.19,0.19,0.19,109000
5EF,13 May 2005,0.19,0.19,0.19,0.19,106000
5EF,16 May 2005,0.16,0.21,0.16,0.16,0
5EF,17 May 2005,0.2,0.2,0.2,0.2,40000
5EF,18 May 2005,0.21,0.21,0.21,0.21,7000
5EF,19 May 2005,0.19,0.19,0.19,0.19,15000
5EF,20 May 2005,0.17,0.2,0.17,0.17,0
5EF,23 May 2005,0.19,0.19,0.19,0.19,0
5EF,24 May 2005,0.16,0.2,0.16,0.16,0
