Symbol,Date,Open,High,Low,Close,Volume
5EG,03 Jan 2005,0.1,0.1,0.1,0.1,280000
5EG,04 Jan 2005,0.1,0.1,0.1,0.1,30000
5EG,05 Jan 2005,0.1,0.1,0.1,0.1,306000
5EG,06 Jan 2005,0.1,0.1,0.1,0.1,80000
5EG,07 Jan 2005,0.1,0.1,0.1,0.1,30000
5EG,10 Jan 2005,0.1,0.1,0.1,0.1,2000
5EG,11 Jan 2005,0.1,0.1,0.1,0.1,60000
5EG,12 Jan 2005,0.1,0.1,0.1,0.1,51000
5EG,13 Jan 2005,0.1,0.1,0.1,0.1,50000
5EG,14 Jan 2005,0.1,0.11,0.1,0.1,0
5EG,17 Jan 2005,0.1,0.11,0.1,0.1,90000
5EG,18 Jan 2005,0.1,0.1,0.1,0.1,215000
5EG,19 Jan 2005,0.11,0.12,0.11,0.12,517000
5EG,20 Jan 2005,0.11,0.11,0.11,0.11,50000
5EG,21 Jan 2005,0.11,0.11,0.11,0.11,0
5EG,24 Jan 2005,0.1,0.11,0.1,0.11,32000
5EG,25 Jan 2005,0.1,0.1,0.1,0.1,544000
5EG,26 Jan 2005,0.1,0.1,0.1,0.1,0
5EG,27 Jan 2005,0.1,0.1,0.1,0.1,465000
5EG,28 Jan 2005,0.1,0.1,0.09,0.1,127000
5EG,31 Jan 2005,0.09,0.1,0.09,0.1,28000
5EG,01 Feb 2005,0.1,0.1,0.1,0.1,50000
5EG,02 Feb 2005,0.09,0.1,0.09,0.1,42000
5EG,03 Feb 2005,0.09,0.1,0.09,0.09,0
5EG,04 Feb 2005,0.09,0.1,0.09,0.09,0
5EG,07 Feb 2005,0.09,0.1,0.09,0.09,0
5EG,08 Feb 2005,0.09,0.1,0.09,0.09,0
5EG,09 Feb 2005,0.1,0.1,0.1,0.1,0
5EG,10 Feb 2005,0.1,0.1,0.1,0.1,0
5EG,11 Feb 2005,0.09,0.1,0.09,0.09,0
5EG,14 Feb 2005,0.09,0.09,0.09,0.09,278000
5EG,15 Feb 2005,0.09,0.09,0.09,0.09,168000
5EG,16 Feb 2005,0.09,0.09,0.09,0.09,0
5EG,17 Feb 2005,0.09,0.09,0.09,0.09,0
5EG,18 Feb 2005,0.09,0.09,0.09,0.09,205000
5EG,21 Feb 2005,0.09,0.09,0.09,0.09,53000
5EG,22 Feb 2005,0.09,0.09,0.09,0.09,0
5EG,23 Feb 2005,0.09,0.09,0.09,0.09,0
5EG,24 Feb 2005,0.09,0.09,0.09,0.09,60000
5EG,25 Feb 2005,0.09,0.09,0.09,0.09,45000
5EG,28 Feb 2005,0.09,0.09,0.09,0.09,63000
5EG,01 Mar 2005,0.09,0.09,0.09,0.09,41000
5EG,02 Mar 2005,0.09,0.09,0.08,0.09,222000
5EG,03 Mar 2005,0.08,0.09,0.08,0.08,0
5EG,04 Mar 2005,0.08,0.09,0.08,0.08,0
5EG,07 Mar 2005,0.08,0.09,0.08,0.08,73000
5EG,08 Mar 2005,0.08,0.08,0.08,0.08,50000
5EG,09 Mar 2005,0.08,0.09,0.08,0.08,0
5EG,10 Mar 2005,0.08,0.08,0.08,0.08,0
5EG,11 Mar 2005,0.08,0.08,0.08,0.08,67000
5EG,14 Mar 2005,0.08,0.08,0.08,0.08,50000
5EG,15 Mar 2005,0.08,0.08,0.08,0.08,3000
5EG,16 Mar 2005,0.08,0.08,0.08,0.08,65000
5EG,17 Mar 2005,0.07,0.07,0.07,0.07,2000
5EG,18 Mar 2005,0.08,0.09,0.07,0.09,51000
5EG,21 Mar 2005,0.08,0.08,0.08,0.08,0
5EG,22 Mar 2005,0.09,0.09,0.09,0.09,8000
5EG,23 Mar 2005,0.08,0.08,0.08,0.08,0
5EG,24 Mar 2005,0.08,0.08,0.08,0.08,0
5EG,25 Mar 2005,0.085,0.085,0.085,0.085,0
5EG,28 Mar 2005,0.08,0.08,0.08,0.08,0
