Symbol,Date,Open,High,Low,Close,Volume
5EK,03 Jan 2005,0.09,0.09,0.08,0.08,70000
5EK,04 Jan 2005,0.09,0.09,0.09,0.09,655000
5EK,05 Jan 2005,0.09,0.09,0.09,0.09,420000
5EK,06 Jan 2005,0.09,0.09,0.09,0.09,1007000
5EK,07 Jan 2005,0.09,0.09,0.08,0.08,220000
5EK,10 Jan 2005,0.08,0.09,0.08,0.08,6191000
5EK,11 Jan 2005,0.08,0.08,0.08,0.08,1265000
5EK,12 Jan 2005,0.08,0.08,0.08,0.08,715000
5EK,13 Jan 2005,0.08,0.08,0.08,0.08,930000
5EK,14 Jan 2005,0.09,0.09,0.09,0.09,3723000
5EK,17 Jan 2005,0.09,0.12,0.09,0.12,16036000
5EK,18 Jan 2005,0.12,0.13,0.11,0.12,14488000
5EK,19 Jan 2005,0.12,0.13,0.12,0.12,6329000
5EK,20 Jan 2005,0.12,0.12,0.12,0.12,3596000
5EK,21 Jan 2005,0.12,0.12,0.12,0.12,0
5EK,24 Jan 2005,0.12,0.12,0.11,0.12,1634000
5EK,25 Jan 2005,0.12,0.12,0.12,0.12,2326000
5EK,26 Jan 2005,0.12,0.12,0.12,0.12,492000
5EK,27 Jan 2005,0.12,0.12,0.1,0.11,2810000
5EK,28 Jan 2005,0.11,0.11,0.11,0.11,1399000
5EK,31 Jan 2005,0.11,0.11,0.1,0.11,902000
5EK,01 Feb 2005,0.1,0.11,0.1,0.11,1135000
5EK,02 Feb 2005,0.1,0.1,0.1,0.1,1981000
5EK,03 Feb 2005,0.1,0.1,0.1,0.1,1990000
5EK,04 Feb 2005,0.1,0.11,0.1,0.11,4445000
5EK,07 Feb 2005,0.12,0.12,0.11,0.11,5230000
5EK,08 Feb 2005,0.11,0.11,0.11,0.11,705000
5EK,09 Feb 2005,0.11,0.11,0.11,0.11,0
5EK,10 Feb 2005,0.11,0.11,0.11,0.11,0
5EK,11 Feb 2005,0.11,0.11,0.1,0.11,1914000
5EK,14 Feb 2005,0.11,0.11,0.1,0.1,1229000
5EK,15 Feb 2005,0.1,0.11,0.1,0.11,867000
5EK,16 Feb 2005,0.11,0.11,0.1,0.1,475000
5EK,17 Feb 2005,0.1,0.11,0.1,0.1,1388000
5EK,18 Feb 2005,0.1,0.1,0.1,0.1,404000
5EK,21 Feb 2005,0.1,0.1,0.1,0.1,1262000
5EK,22 Feb 2005,0.1,0.1,0.09,0.09,1678000
5EK,23 Feb 2005,0.09,0.09,0.09,0.09,301000
5EK,24 Feb 2005,0.09,0.09,0.09,0.09,2233000
5EK,25 Feb 2005,0.09,0.09,0.09,0.09,170000
5EK,28 Feb 2005,0.09,0.09,0.09,0.09,795000
5EK,01 Mar 2005,0.09,0.09,0.09,0.09,889000
5EK,02 Mar 2005,0.09,0.09,0.09,0.09,925000
5EK,03 Mar 2005,0.09,0.09,0.08,0.08,1540000
5EK,04 Mar 2005,0.09,0.09,0.09,0.09,3736000
5EK,07 Mar 2005,0.09,0.09,0.09,0.09,910000
5EK,08 Mar 2005,0.09,0.09,0.09,0.09,860000
5EK,09 Mar 2005,0.09,0.09,0.09,0.09,953000
5EK,10 Mar 2005,0.09,0.09,0.08,0.08,840000
5EK,11 Mar 2005,0.08,0.09,0.08,0.09,635000
5EK,14 Mar 2005,0.09,0.09,0.08,0.08,236000
5EK,15 Mar 2005,0.08,0.09,0.08,0.08,4540000
5EK,16 Mar 2005,0.08,0.08,0.08,0.08,748000
5EK,17 Mar 2005,0.08,0.08,0.08,0.08,250000
5EK,18 Mar 2005,0.08,0.08,0.08,0.08,780000
5EK,21 Mar 2005,0.08,0.08,0.08,0.08,261000
5EK,22 Mar 2005,0.08,0.08,0.07,0.08,3834000
5EK,23 Mar 2005,0.08,0.08,0.08,0.08,350000
5EK,24 Mar 2005,0.08,0.08,0.08,0.08,351000
5EK,25 Mar 2005,0.08,0.08,0.08,0.08,0
5EK,28 Mar 2005,0.08,0.08,0.08,0.08,521000
5EK,29 Mar 2005,0.08,0.08,0.08,0.08,181000
5EK,30 Mar 2005,0.08,0.08,0.08,0.08,550000
5EK,31 Mar 2005,0.08,0.08,0.08,0.08,550000
5EK,01 Apr 2005,0.08,0.08,0.08,0.08,100000
5EK,04 Apr 2005,0.08,0.08,0.08,0.08,151000
5EK,05 Apr 2005,0.08,0.08,0.07,0.07,157000
5EK,06 Apr 2005,0.07,0.08,0.07,0.07,745000
5EK,07 Apr 2005,0.07,0.07,0.07,0.07,1000
5EK,08 Apr 2005,0.07,0.08,0.07,0.08,1076000
5EK,11 Apr 2005,0.08,0.08,0.08,0.08,291000
5EK,12 Apr 2005,0.08,0.08,0.08,0.08,303000
5EK,13 Apr 2005,0.08,0.08,0.08,0.08,1117000
5EK,14 Apr 2005,0.08,0.08,0.08,0.08,50000
5EK,15 Apr 2005,0.08,0.08,0.07,0.07,260000
5EK,18 Apr 2005,0.07,0.08,0.07,0.08,417000
5EK,19 Apr 2005,0.06,0.07,0.06,0.07,1551000
5EK,20 Apr 2005,0.06,0.07,0.06,0.06,3473000
5EK,21 Apr 2005,0.07,0.07,0.07,0.07,180000
5EK,22 Apr 2005,0.06,0.07,0.06,0.06,1439000
5EK,25 Apr 2005,0.06,0.06,0.06,0.06,342000
5EK,26 Apr 2005,0.06,0.07,0.06,0.07,819000
5EK,27 Apr 2005,0.06,0.06,0.06,0.06,262000
5EK,28 Apr 2005,0.06,0.06,0.06,0.06,160000
5EK,29 Apr 2005,0.06,0.06,0.06,0.06,20000
5EK,02 May 2005,0.06,0.06,0.06,0.06,0
5EK,03 May 2005,0.06,0.06,0.06,0.06,1199000
5EK,04 May 2005,0.06,0.06,0.05,0.06,2536000
5EK,05 May 2005,0.06,0.06,0.06,0.06,71000
5EK,06 May 2005,0.06,0.06,0.06,0.06,349000
5EK,09 May 2005,0.06,0.06,0.06,0.06,0
5EK,10 May 2005,0.06,0.06,0.06,0.06,337000
5EK,11 May 2005,0.06,0.06,0.06,0.06,368000
5EK,12 May 2005,0.06,0.06,0.06,0.06,375000
5EK,13 May 2005,0.06,0.06,0.06,0.06,266000
5EK,16 May 2005,0.06,0.06,0.06,0.06,24000
5EK,17 May 2005,0.05,0.06,0.05,0.05,0
5EK,18 May 2005,0.05,0.06,0.05,0.06,615000
5EK,19 May 2005,0.06,0.06,0.05,0.05,51000
5EK,20 May 2005,0.06,0.06,0.06,0.06,520000
5EK,23 May 2005,0.06,0.06,0.06,0.06,0
5EK,24 May 2005,0.06,0.06,0.06,0.06,30000
5EK,25 May 2005,0.05,0.06,0.05,0.06,120000
5EK,26 May 2005,0.05,0.06,0.05,0.06,122000
5EK,27 May 2005,0.05,0.06,0.05,0.06,231000
5EK,30 May 2005,0.05,0.05,0.05,0.05,277000
5EK,31 May 2005,0.05,0.05,0.05,0.05,0
5EK,01 Jun 2005,0.05,0.05,0.05,0.05,251000
5EK,02 Jun 2005,0.05,0.06,0.05,0.06,2951000
5EK,03 Jun 2005,0.05,0.06,0.05,0.06,53000
5EK,06 Jun 2005,0.05,0.06,0.05,0.06,211000
5EK,07 Jun 2005,0.06,0.06,0.05,0.06,2113000
5EK,08 Jun 2005,0.06,0.06,0.06,0.06,2422000
5EK,09 Jun 2005,0.06,0.06,0.06,0.06,2665000
5EK,10 Jun 2005,0.06,0.07,0.06,0.06,3176000
5EK,13 Jun 2005,0.06,0.06,0.06,0.06,1642000
5EK,14 Jun 2005,0.06,0.06,0.06,0.06,153000
5EK,15 Jun 2005,0.06,0.06,0.06,0.06,340000
5EK,16 Jun 2005,0.06,0.06,0.06,0.06,1384000
5EK,17 Jun 2005,0.06,0.06,0.06,0.06,812000
5EK,20 Jun 2005,0.06,0.06,0.06,0.06,400000
5EK,21 Jun 2005,0.06,0.06,0.06,0.06,100000
5EK,22 Jun 2005,0.06,0.06,0.06,0.06,345000
5EK,23 Jun 2005,0.06,0.06,0.06,0.06,10000
5EK,24 Jun 2005,0.06,0.06,0.06,0.06,205000
5EK,27 Jun 2005,0.05,0.06,0.05,0.06,36000
5EK,28 Jun 2005,0.05,0.06,0.05,0.06,500000
5EK,29 Jun 2005,0.06,0.06,0.06,0.06,150000
5EK,30 Jun 2005,0.05,0.06,0.05,0.05,0
5EK,01 Jul 2005,0.05,0.06,0.05,0.05,0
5EK,04 Jul 2005,0.05,0.06,0.05,0.06,3000
5EK,05 Jul 2005,0.05,0.06,0.05,0.06,1096000
5EK,06 Jul 2005,0.05,0.05,0.05,0.05,477000
5EK,07 Jul 2005,0.05,0.05,0.05,0.05,103000
