Symbol,Date,Open,High,Low,Close,Volume
5EL,03 Jan 2005,0.25,0.25,0.25,0.25,20000
5EL,04 Jan 2005,0.25,0.25,0.25,0.25,44000
5EL,05 Jan 2005,0.25,0.25,0.25,0.25,54000
5EL,06 Jan 2005,0.25,0.25,0.25,0.25,30000
5EL,07 Jan 2005,0.25,0.25,0.25,0.25,207000
5EL,10 Jan 2005,0.25,0.25,0.25,0.25,225000
5EL,11 Jan 2005,0.25,0.25,0.25,0.25,287000
5EL,12 Jan 2005,0.25,0.25,0.25,0.25,389000
5EL,13 Jan 2005,0.25,0.28,0.25,0.26,942000
5EL,14 Jan 2005,0.27,0.28,0.27,0.27,868000
5EL,17 Jan 2005,0.28,0.28,0.26,0.26,317000
5EL,18 Jan 2005,0.26,0.26,0.26,0.26,226000
5EL,19 Jan 2005,0.26,0.26,0.25,0.25,311000
5EL,20 Jan 2005,0.25,0.25,0.25,0.25,49000
5EL,21 Jan 2005,0.25,0.25,0.25,0.25,0
5EL,24 Jan 2005,0.25,0.25,0.25,0.25,133000
5EL,25 Jan 2005,0.25,0.25,0.25,0.25,53000
5EL,26 Jan 2005,0.24,0.25,0.24,0.25,20000
5EL,27 Jan 2005,0.25,0.25,0.25,0.25,102000
5EL,28 Jan 2005,0.25,0.25,0.25,0.25,225000
5EL,31 Jan 2005,0.25,0.25,0.24,0.24,52000
5EL,01 Feb 2005,0.25,0.25,0.25,0.25,86000
5EL,02 Feb 2005,0.25,0.25,0.25,0.25,27000
5EL,03 Feb 2005,0.25,0.25,0.25,0.25,30000
5EL,04 Feb 2005,0.25,0.25,0.25,0.25,80000
5EL,07 Feb 2005,0.25,0.25,0.25,0.25,34000
5EL,08 Feb 2005,0.25,0.25,0.25,0.25,0
5EL,09 Feb 2005,0.25,0.25,0.25,0.25,0
5EL,10 Feb 2005,0.25,0.25,0.25,0.25,0
5EL,11 Feb 2005,0.25,0.25,0.25,0.25,224000
5EL,14 Feb 2005,0.26,0.26,0.25,0.26,231000
5EL,15 Feb 2005,0.26,0.26,0.26,0.26,292000
5EL,16 Feb 2005,0.26,0.26,0.26,0.26,310000
5EL,17 Feb 2005,0.26,0.26,0.26,0.26,279000
5EL,18 Feb 2005,0.26,0.26,0.25,0.26,687000
5EL,21 Feb 2005,0.26,0.26,0.26,0.26,120000
5EL,22 Feb 2005,0.26,0.26,0.25,0.25,494000
5EL,23 Feb 2005,0.25,0.25,0.25,0.25,120000
5EL,24 Feb 2005,0.25,0.25,0.25,0.25,48000
5EL,25 Feb 2005,0.25,0.25,0.25,0.25,90000
5EL,28 Feb 2005,0.25,0.25,0.25,0.25,143000
5EL,01 Mar 2005,0.25,0.25,0.25,0.25,105000
5EL,02 Mar 2005,0.25,0.25,0.25,0.25,197000
5EL,03 Mar 2005,0.25,0.25,0.25,0.25,205000
5EL,04 Mar 2005,0.25,0.25,0.25,0.25,90000
5EL,07 Mar 2005,0.25,0.25,0.25,0.25,80000
5EL,08 Mar 2005,0.25,0.25,0.25,0.25,230000
5EL,09 Mar 2005,0.25,0.25,0.25,0.25,39000
5EL,10 Mar 2005,0.25,0.25,0.25,0.25,50000
5EL,11 Mar 2005,0.25,0.25,0.25,0.25,21000
5EL,14 Mar 2005,0.25,0.25,0.25,0.25,120000
5EL,15 Mar 2005,0.25,0.25,0.25,0.25,126000
5EL,16 Mar 2005,0.25,0.25,0.25,0.25,0
5EL,17 Mar 2005,0.25,0.25,0.25,0.25,64000
5EL,18 Mar 2005,0.25,0.25,0.25,0.25,63000
5EL,21 Mar 2005,0.25,0.25,0.25,0.25,18000
5EL,22 Mar 2005,0.25,0.25,0.25,0.25,90000
5EL,23 Mar 2005,0.25,0.25,0.25,0.25,82000
5EL,24 Mar 2005,0.25,0.25,0.25,0.25,30000
5EL,25 Mar 2005,0.25,0.25,0.25,0.25,0
5EL,28 Mar 2005,0.25,0.25,0.25,0.25,442000
5EL,29 Mar 2005,0.25,0.25,0.25,0.25,50000
5EL,30 Mar 2005,0.25,0.25,0.25,0.25,6000
5EL,31 Mar 2005,0.25,0.25,0.25,0.25,59000
5EL,01 Apr 2005,0.25,0.25,0.25,0.25,200000
5EL,04 Apr 2005,0.25,0.25,0.25,0.25,88000
5EL,05 Apr 2005,0.25,0.25,0.25,0.25,92000
5EL,06 Apr 2005,0.25,0.25,0.25,0.25,5000
5EL,07 Apr 2005,0.25,0.25,0.25,0.25,103000
5EL,08 Apr 2005,0.25,0.25,0.25,0.25,10000
5EL,11 Apr 2005,0.24,0.25,0.24,0.24,0
5EL,12 Apr 2005,0.25,0.25,0.25,0.25,38000
5EL,13 Apr 2005,0.25,0.25,0.25,0.25,50000
5EL,14 Apr 2005,0.24,0.25,0.24,0.24,0
5EL,15 Apr 2005,0.25,0.25,0.24,0.25,76000
5EL,18 Apr 2005,0.24,0.24,0.23,0.23,176000
5EL,19 Apr 2005,0.23,0.24,0.23,0.23,0
5EL,20 Apr 2005,0.23,0.23,0.23,0.23,182000
5EL,21 Apr 2005,0.23,0.23,0.23,0.23,55000
5EL,22 Apr 2005,0.24,0.24,0.24,0.24,40000
