Symbol,Date,Open,High,Low,Close,Volume
5EN,03 Jan 2005,0.34,0.34,0.34,0.34,2464000
5EN,04 Jan 2005,0.34,0.34,0.33,0.33,1900000
5EN,05 Jan 2005,0.34,0.34,0.32,0.32,1967000
5EN,06 Jan 2005,0.33,0.34,0.33,0.34,1998000
5EN,07 Jan 2005,0.34,0.34,0.34,0.34,4140000
5EN,10 Jan 2005,0.34,0.34,0.34,0.34,1824000
5EN,11 Jan 2005,0.34,0.34,0.34,0.34,2096000
5EN,12 Jan 2005,0.34,0.34,0.33,0.33,1462000
5EN,13 Jan 2005,0.34,0.34,0.33,0.34,1008000
5EN,14 Jan 2005,0.34,0.36,0.34,0.35,7752000
5EN,17 Jan 2005,0.35,0.37,0.35,0.37,6379000
5EN,18 Jan 2005,0.38,0.39,0.38,0.38,12443000
5EN,19 Jan 2005,0.38,0.38,0.38,0.38,1784000
5EN,20 Jan 2005,0.37,0.38,0.36,0.36,3348000
5EN,21 Jan 2005,0.36,0.36,0.36,0.36,0
5EN,24 Jan 2005,0.36,0.36,0.34,0.34,3498000
5EN,25 Jan 2005,0.34,0.35,0.34,0.34,2460000
5EN,26 Jan 2005,0.35,0.35,0.34,0.34,3180000
5EN,27 Jan 2005,0.34,0.35,0.34,0.35,2450000
5EN,28 Jan 2005,0.35,0.36,0.35,0.35,1817000
5EN,31 Jan 2005,0.36,0.37,0.35,0.35,4833000
5EN,01 Feb 2005,0.36,0.37,0.35,0.35,2159000
5EN,02 Feb 2005,0.35,0.35,0.34,0.34,2569000
5EN,03 Feb 2005,0.34,0.35,0.34,0.34,1705000
5EN,04 Feb 2005,0.34,0.35,0.34,0.34,831000
5EN,07 Feb 2005,0.35,0.35,0.34,0.34,1282000
5EN,08 Feb 2005,0.34,0.34,0.34,0.34,510000
5EN,09 Feb 2005,0.345,0.345,0.345,0.345,0
5EN,10 Feb 2005,0.345,0.345,0.345,0.345,0
5EN,11 Feb 2005,0.34,0.35,0.34,0.34,781000
5EN,14 Feb 2005,0.35,0.36,0.34,0.35,2097000
5EN,15 Feb 2005,0.35,0.36,0.35,0.36,815000
5EN,16 Feb 2005,0.36,0.36,0.35,0.35,1318000
5EN,17 Feb 2005,0.35,0.35,0.35,0.35,223000
5EN,18 Feb 2005,0.35,0.35,0.34,0.34,398000
5EN,21 Feb 2005,0.35,0.35,0.34,0.34,2172000
5EN,22 Feb 2005,0.34,0.35,0.33,0.33,2671000
5EN,23 Feb 2005,0.33,0.33,0.31,0.32,3825000
5EN,24 Feb 2005,0.32,0.32,0.31,0.31,1733000
5EN,25 Feb 2005,0.31,0.31,0.31,0.31,1113000
5EN,28 Feb 2005,0.31,0.31,0.29,0.29,1532000
5EN,01 Mar 2005,0.29,0.29,0.28,0.29,1761000
5EN,02 Mar 2005,0.29,0.3,0.29,0.29,3589000
5EN,03 Mar 2005,0.29,0.31,0.29,0.29,1026000
5EN,04 Mar 2005,0.3,0.3,0.29,0.3,1730000
5EN,07 Mar 2005,0.31,0.31,0.3,0.3,1935000
5EN,08 Mar 2005,0.3,0.3,0.28,0.29,3239000
5EN,09 Mar 2005,0.29,0.29,0.28,0.29,1607000
5EN,10 Mar 2005,0.29,0.29,0.28,0.29,1062000
5EN,11 Mar 2005,0.29,0.29,0.28,0.29,1975000
5EN,14 Mar 2005,0.29,0.29,0.28,0.29,1842000
5EN,15 Mar 2005,0.29,0.29,0.28,0.29,984000
5EN,16 Mar 2005,0.28,0.28,0.25,0.28,5917000
5EN,17 Mar 2005,0.28,0.28,0.27,0.27,1083000
5EN,18 Mar 2005,0.28,0.28,0.28,0.28,864000
5EN,21 Mar 2005,0.28,0.28,0.28,0.28,1157000
5EN,22 Mar 2005,0.28,0.28,0.27,0.27,1098000
5EN,23 Mar 2005,0.28,0.28,0.28,0.28,345000
5EN,24 Mar 2005,0.28,0.28,0.28,0.28,411000
5EN,25 Mar 2005,0.28,0.28,0.28,0.28,0
5EN,28 Mar 2005,0.28,0.28,0.28,0.28,170000
5EN,29 Mar 2005,0.28,0.28,0.27,0.28,165000
5EN,30 Mar 2005,0.28,0.28,0.27,0.27,505000
5EN,31 Mar 2005,0.28,0.28,0.27,0.28,389000
5EN,01 Apr 2005,0.28,0.28,0.27,0.27,106000
5EN,04 Apr 2005,0.27,0.28,0.26,0.28,670000
5EN,05 Apr 2005,0.28,0.29,0.27,0.29,3180000
5EN,06 Apr 2005,0.29,0.29,0.28,0.28,586000
5EN,07 Apr 2005,0.28,0.29,0.28,0.29,403000
5EN,08 Apr 2005,0.29,0.29,0.29,0.29,380000
5EN,11 Apr 2005,0.29,0.29,0.29,0.29,203000
5EN,12 Apr 2005,0.29,0.29,0.29,0.29,60000
5EN,13 Apr 2005,0.29,0.29,0.29,0.29,190000
5EN,14 Apr 2005,0.29,0.29,0.29,0.29,435000
5EN,15 Apr 2005,0.29,0.29,0.29,0.29,208000
5EN,18 Apr 2005,0.28,0.28,0.27,0.28,381000
5EN,19 Apr 2005,0.28,0.28,0.28,0.28,430000
5EN,20 Apr 2005,0.28,0.28,0.27,0.28,604000
5EN,21 Apr 2005,0.27,0.28,0.27,0.28,160000
5EN,22 Apr 2005,0.28,0.28,0.28,0.28,280000
5EN,25 Apr 2005,0.28,0.28,0.28,0.28,253000
5EN,26 Apr 2005,0.28,0.28,0.28,0.28,307000
5EN,27 Apr 2005,0.28,0.28,0.28,0.28,410000
5EN,28 Apr 2005,0.28,0.28,0.28,0.28,80000
5EN,29 Apr 2005,0.28,0.28,0.28,0.28,10000
5EN,02 May 2005,0.28,0.28,0.28,0.28,0
5EN,03 May 2005,0.28,0.28,0.28,0.28,175000
5EN,04 May 2005,0.28,0.28,0.28,0.28,110000
5EN,05 May 2005,0.28,0.28,0.28,0.28,204000
5EN,06 May 2005,0.28,0.28,0.28,0.28,0
5EN,09 May 2005,0.28,0.28,0.27,0.27,674000
5EN,10 May 2005,0.27,0.28,0.27,0.28,322000
5EN,11 May 2005,0.27,0.28,0.27,0.28,215000
5EN,12 May 2005,0.28,0.28,0.28,0.28,164000
5EN,13 May 2005,0.28,0.28,0.28,0.28,572000
5EN,16 May 2005,0.28,0.28,0.28,0.28,224000
5EN,17 May 2005,0.28,0.28,0.28,0.28,461000
5EN,18 May 2005,0.28,0.28,0.28,0.28,132000
5EN,19 May 2005,0.28,0.28,0.28,0.28,120000
5EN,20 May 2005,0.28,0.28,0.28,0.28,104000
5EN,23 May 2005,0.28,0.28,0.28,0.28,0
5EN,24 May 2005,0.28,0.28,0.28,0.28,125000
5EN,25 May 2005,0.28,0.28,0.28,0.28,682000
5EN,26 May 2005,0.28,0.28,0.28,0.28,160000
5EN,27 May 2005,0.28,0.28,0.28,0.28,150000
5EN,30 May 2005,0.28,0.28,0.27,0.27,231000
5EN,31 May 2005,0.28,0.28,0.27,0.28,370000
5EN,01 Jun 2005,0.28,0.28,0.28,0.28,228000
5EN,02 Jun 2005,0.28,0.28,0.28,0.28,2000
5EN,03 Jun 2005,0.28,0.28,0.28,0.28,149000
5EN,06 Jun 2005,0.27,0.28,0.27,0.28,109000
5EN,07 Jun 2005,0.28,0.29,0.28,0.29,1363000
5EN,08 Jun 2005,0.29,0.3,0.29,0.29,1205000
5EN,09 Jun 2005,0.29,0.3,0.29,0.29,1225000
5EN,10 Jun 2005,0.31,0.34,0.31,0.32,11995000
5EN,13 Jun 2005,0.33,0.34,0.33,0.33,4583000
5EN,14 Jun 2005,0.33,0.34,0.32,0.34,2481000
5EN,15 Jun 2005,0.34,0.34,0.32,0.32,1409000
5EN,16 Jun 2005,0.32,0.32,0.31,0.32,928000
5EN,17 Jun 2005,0.32,0.32,0.32,0.32,1423000
5EN,20 Jun 2005,0.32,0.32,0.31,0.31,1369000
5EN,21 Jun 2005,0.31,0.31,0.31,0.31,2090000
5EN,22 Jun 2005,0.31,0.32,0.31,0.31,2828000
5EN,23 Jun 2005,0.31,0.31,0.31,0.31,637000
5EN,24 Jun 2005,0.31,0.31,0.31,0.31,693000
5EN,27 Jun 2005,0.31,0.31,0.31,0.31,465000
5EN,28 Jun 2005,0.31,0.31,0.31,0.31,715000
5EN,29 Jun 2005,0.31,0.31,0.31,0.31,924000
5EN,30 Jun 2005,0.31,0.31,0.29,0.3,763000
5EN,01 Jul 2005,0.31,0.31,0.29,0.3,637000
5EN,04 Jul 2005,0.3,0.31,0.3,0.31,657000
5EN,05 Jul 2005,0.31,0.31,0.31,0.31,794000
5EN,06 Jul 2005,0.31,0.31,0.31,0.31,330000
5EN,07 Jul 2005,0.3,0.31,0.29,0.31,558000
5EN,08 Jul 2005,0.3,0.3,0.29,0.29,631000
5EN,11 Jul 2005,0.29,0.3,0.29,0.3,309000
5EN,12 Jul 2005,0.3,0.32,0.3,0.32,5190000
5EN,13 Jul 2005,0.32,0.33,0.32,0.32,2651000
5EN,14 Jul 2005,0.33,0.33,0.31,0.32,1300000
5EN,15 Jul 2005,0.32,0.32,0.31,0.31,1158000
5EN,18 Jul 2005,0.31,0.31,0.31,0.31,482000
5EN,19 Jul 2005,0.31,0.33,0.31,0.32,2002000
