Symbol,Date,Open,High,Low,Close,Volume
5ER,03 Jan 2005,0.21,0.21,0.21,0.21,70000
5ER,04 Jan 2005,0.21,0.21,0.21,0.21,0
5ER,05 Jan 2005,0.21,0.21,0.205,0.205,50000
5ER,06 Jan 2005,0.21,0.21,0.21,0.21,40000
5ER,07 Jan 2005,0.345,0.35,0.33,0.35,3375000
5ER,10 Jan 2005,0.205,0.205,0.205,0.205,0
5ER,11 Jan 2005,0.21,0.215,0.21,0.215,15000
5ER,12 Jan 2005,0.215,0.22,0.215,0.215,51000
5ER,13 Jan 2005,0.215,0.215,0.215,0.215,0
5ER,14 Jan 2005,0.22,0.22,0.22,0.22,50000
5ER,17 Jan 2005,0.22,0.22,0.22,0.22,30000
5ER,18 Jan 2005,0.225,0.225,0.225,0.225,44000
5ER,19 Jan 2005,0.225,0.225,0.22,0.22,111000
5ER,20 Jan 2005,0.22,0.22,0.22,0.22,0
5ER,21 Jan 2005,0.22,0.22,0.22,0.22,0
5ER,24 Jan 2005,0.225,0.23,0.225,0.23,37000
5ER,25 Jan 2005,0.23,0.23,0.23,0.23,0
5ER,26 Jan 2005,0.22,0.22,0.22,0.22,25000
5ER,27 Jan 2005,0.215,0.215,0.215,0.215,11000
5ER,28 Jan 2005,0.22,0.22,0.22,0.22,52000
5ER,31 Jan 2005,0.225,0.23,0.225,0.23,30000
5ER,01 Feb 2005,0.23,0.235,0.23,0.235,160000
5ER,02 Feb 2005,0.23,0.23,0.23,0.23,270000
5ER,03 Feb 2005,0.225,0.225,0.22,0.22,147000
5ER,04 Feb 2005,0.23,0.23,0.225,0.225,55000
5ER,07 Feb 2005,0.225,0.225,0.225,0.225,0
5ER,08 Feb 2005,0.22,0.23,0.22,0.23,29000
5ER,09 Feb 2005,0.23,0.23,0.23,0.23,0
5ER,10 Feb 2005,0.23,0.23,0.23,0.23,0
5ER,11 Feb 2005,0.23,0.23,0.23,0.23,107000
5ER,14 Feb 2005,0.23,0.23,0.23,0.23,262000
5ER,15 Feb 2005,0.23,0.23,0.23,0.23,185000
5ER,16 Feb 2005,0.23,0.25,0.23,0.25,818000
5ER,17 Feb 2005,0.245,0.245,0.24,0.245,528000
5ER,18 Feb 2005,0.245,0.245,0.24,0.24,224000
5ER,21 Feb 2005,0.26,0.27,0.255,0.26,2464000
5ER,22 Feb 2005,0.26,0.26,0.255,0.255,468000
5ER,23 Feb 2005,0.25,0.25,0.245,0.25,155000
5ER,24 Feb 2005,0.25,0.25,0.245,0.245,76000
5ER,25 Feb 2005,0.245,0.255,0.245,0.25,122000
5ER,28 Feb 2005,0.245,0.245,0.245,0.245,25000
5ER,01 Mar 2005,0.245,0.245,0.24,0.24,20000
5ER,02 Mar 2005,0.24,0.24,0.24,0.24,92000
5ER,03 Mar 2005,0.25,0.25,0.25,0.25,3000
5ER,04 Mar 2005,0.25,0.25,0.25,0.25,30000
5ER,07 Mar 2005,0.255,0.26,0.25,0.255,7837000
5ER,08 Mar 2005,0.26,0.265,0.26,0.26,594000
5ER,09 Mar 2005,0.26,0.26,0.26,0.26,282000
5ER,10 Mar 2005,0.26,0.265,0.26,0.26,315000
5ER,11 Mar 2005,0.265,0.275,0.265,0.275,270000
5ER,14 Mar 2005,0.275,0.275,0.27,0.275,64000
5ER,15 Mar 2005,0.275,0.275,0.27,0.275,232000
5ER,16 Mar 2005,0.27,0.28,0.27,0.275,558000
5ER,17 Mar 2005,0.28,0.29,0.28,0.29,425000
5ER,18 Mar 2005,0.29,0.29,0.28,0.285,970000
5ER,21 Mar 2005,0.25,0.25,0.235,0.235,51000
5ER,22 Mar 2005,0.235,0.235,0.235,0.235,0
5ER,23 Mar 2005,0.225,0.225,0.225,0.225,58000
5ER,24 Mar 2005,0.23,0.23,0.23,0.23,239000
5ER,25 Mar 2005,0.23,0.23,0.23,0.23,0
5ER,28 Mar 2005,0.235,0.235,0.235,0.235,3000
5ER,29 Mar 2005,0.225,0.225,0.225,0.225,21000
5ER,30 Mar 2005,0.225,0.225,0.225,0.225,2000
5ER,31 Mar 2005,0.23,0.23,0.23,0.23,62000
5ER,01 Apr 2005,0.24,0.24,0.235,0.24,346000
5ER,04 Apr 2005,0.265,0.265,0.255,0.255,137000
5ER,05 Apr 2005,0.26,0.265,0.255,0.255,334000
5ER,06 Apr 2005,0.255,0.255,0.25,0.25,61000
5ER,07 Apr 2005,0.25,0.255,0.25,0.25,104000
5ER,08 Apr 2005,0.25,0.25,0.25,0.25,42000
5ER,11 Apr 2005,0.25,0.25,0.25,0.25,0
5ER,12 Apr 2005,0.25,0.25,0.245,0.245,46000
5ER,13 Apr 2005,0.25,0.25,0.245,0.25,95000
5ER,14 Apr 2005,0.25,0.25,0.245,0.245,170000
5ER,15 Apr 2005,0.25,0.25,0.25,0.25,100000
5ER,18 Apr 2005,0.25,0.25,0.24,0.24,271000
5ER,19 Apr 2005,0.24,0.25,0.24,0.25,214000
5ER,20 Apr 2005,0.26,0.26,0.25,0.25,400000
5ER,21 Apr 2005,0.255,0.255,0.25,0.25,112000
5ER,22 Apr 2005,0.255,0.255,0.25,0.255,77000
5ER,25 Apr 2005,0.25,0.25,0.25,0.25,197000
5ER,26 Apr 2005,0.25,0.25,0.25,0.25,100000
5ER,27 Apr 2005,0.25,0.25,0.245,0.245,103000
5ER,28 Apr 2005,0.25,0.25,0.25,0.25,79000
5ER,29 Apr 2005,0.25,0.25,0.25,0.25,0
5ER,02 May 2005,0.25,0.25,0.25,0.25,0
5ER,03 May 2005,0.245,0.245,0.24,0.24,59000
5ER,04 May 2005,0.24,0.24,0.24,0.24,0
5ER,05 May 2005,0.26,0.26,0.245,0.245,100000
5ER,06 May 2005,0.245,0.245,0.24,0.24,37000
5ER,09 May 2005,0.24,0.24,0.24,0.24,0
5ER,10 May 2005,0.245,0.245,0.245,0.245,50000
5ER,11 May 2005,0.245,0.245,0.24,0.24,112000
5ER,12 May 2005,0.235,0.24,0.235,0.24,8000
5ER,13 May 2005,0.235,0.24,0.235,0.24,28000
5ER,16 May 2005,0.25,0.25,0.25,0.25,30000
5ER,17 May 2005,0.25,0.25,0.25,0.25,1000
5ER,18 May 2005,0.25,0.25,0.25,0.25,0
5ER,19 May 2005,0.25,0.25,0.25,0.25,0
5ER,20 May 2005,0.23,0.25,0.23,0.25,50000
5ER,23 May 2005,0.25,0.25,0.25,0.25,0
5ER,24 May 2005,0.235,0.235,0.235,0.235,60000
5ER,25 May 2005,0.235,0.235,0.235,0.235,1000
5ER,26 May 2005,0.245,0.245,0.24,0.245,84000
5ER,27 May 2005,0.25,0.25,0.235,0.235,102000
5ER,30 May 2005,0.245,0.245,0.245,0.245,55000
5ER,31 May 2005,0.24,0.24,0.24,0.24,2000
5ER,01 Jun 2005,0.24,0.24,0.24,0.24,0
5ER,02 Jun 2005,0.24,0.24,0.24,0.24,20000
5ER,03 Jun 2005,0.24,0.24,0.24,0.24,0
5ER,06 Jun 2005,0.24,0.24,0.24,0.24,0
5ER,07 Jun 2005,0.24,0.24,0.24,0.24,6000
5ER,08 Jun 2005,0.245,0.255,0.245,0.255,6000
5ER,09 Jun 2005,0.245,0.245,0.24,0.24,42000
5ER,10 Jun 2005,0.245,0.245,0.245,0.245,12000
5ER,13 Jun 2005,0.245,0.245,0.245,0.245,42000
5ER,14 Jun 2005,0.24,0.25,0.24,0.245,354000
5ER,15 Jun 2005,0.25,0.255,0.25,0.255,286000
5ER,16 Jun 2005,0.26,0.26,0.255,0.255,363000
5ER,17 Jun 2005,0.26,0.265,0.26,0.265,226000
5ER,20 Jun 2005,0.26,0.26,0.26,0.26,20000
5ER,21 Jun 2005,0.265,0.27,0.26,0.27,256000
5ER,22 Jun 2005,0.27,0.27,0.265,0.265,93000
5ER,23 Jun 2005,0.27,0.275,0.265,0.275,1558000
5ER,24 Jun 2005,0.275,0.28,0.27,0.28,510000
5ER,27 Jun 2005,0.28,0.29,0.28,0.285,1400000
5ER,28 Jun 2005,0.285,0.295,0.285,0.29,319000
5ER,29 Jun 2005,0.295,0.32,0.295,0.315,2198000
5ER,30 Jun 2005,0.31,0.345,0.31,0.345,899000
5ER,01 Jul 2005,0.345,0.35,0.33,0.35,3375000
5ER,04 Jul 2005,0.34,0.35,0.34,0.345,236000
5ER,05 Jul 2005,0.345,0.345,0.34,0.34,377000
5ER,06 Jul 2005,0.335,0.34,0.33,0.33,197000
5ER,07 Jul 2005,0.325,0.325,0.325,0.325,94000
5ER,08 Jul 2005,0.325,0.34,0.325,0.335,232000
5ER,11 Jul 2005,0.34,0.36,0.34,0.36,660000
5ER,12 Jul 2005,0.365,0.39,0.36,0.38,397000
5ER,13 Jul 2005,0.38,0.385,0.38,0.385,210000
5ER,14 Jul 2005,0.38,0.41,0.38,0.405,533000
5ER,15 Jul 2005,0.405,0.41,0.405,0.405,91000
5ER,18 Jul 2005,0.41,0.42,0.405,0.42,157000
5ER,19 Jul 2005,0.425,0.46,0.425,0.46,532000
5ER,20 Jul 2005,0.48,0.48,0.43,0.43,486000
5ER,21 Jul 2005,0.43,0.45,0.43,0.435,89000
5ER,22 Jul 2005,0.43,0.455,0.43,0.455,279000
5ER,25 Jul 2005,0.45,0.45,0.445,0.445,118000
5ER,26 Jul 2005,0.445,0.455,0.445,0.455,315000
5ER,27 Jul 2005,0.455,0.475,0.455,0.46,300000
5ER,28 Jul 2005,0.47,0.495,0.46,0.49,453000
5ER,29 Jul 2005,0.5,0.59,0.5,0.575,2221000
5ER,01 Aug 2005,0.58,0.59,0.56,0.56,407000
5ER,02 Aug 2005,0.57,0.575,0.57,0.575,339000
5ER,03 Aug 2005,0.57,0.58,0.565,0.565,267000
5ER,04 Aug 2005,0.575,0.58,0.57,0.575,525000
5ER,05 Aug 2005,0.57,0.57,0.56,0.57,936000
5ER,08 Aug 2005,0.575,0.585,0.575,0.585,349000
5ER,09 Aug 2005,0.585,0.585,0.585,0.585,0
5ER,10 Aug 2005,0.585,0.62,0.585,0.615,702000
5ER,11 Aug 2005,0.62,0.64,0.62,0.64,1012000
5ER,12 Aug 2005,0.63,0.63,0.605,0.605,204000
5ER,15 Aug 2005,0.605,0.605,0.55,0.58,217000
5ER,16 Aug 2005,0.58,0.6,0.58,0.59,261000
5ER,17 Aug 2005,0.58,0.58,0.545,0.55,468000
5ER,18 Aug 2005,0.535,0.55,0.535,0.54,517000
5ER,19 Aug 2005,0.545,0.555,0.545,0.555,130000
5ER,22 Aug 2005,0.56,0.595,0.56,0.595,516000
5ER,23 Aug 2005,0.59,0.595,0.555,0.555,353000
5ER,24 Aug 2005,0.56,0.57,0.555,0.565,299000
5ER,25 Aug 2005,0.57,0.59,0.57,0.59,539000
5ER,26 Aug 2005,0.595,0.605,0.59,0.6,568000
5ER,29 Aug 2005,0.59,0.59,0.585,0.585,65000
5ER,30 Aug 2005,0.585,0.585,0.575,0.575,69000
5ER,31 Aug 2005,0.57,0.575,0.57,0.575,33000
5ER,01 Sep 2005,0.59,0.59,0.58,0.59,89000
5ER,02 Sep 2005,0.58,0.595,0.575,0.575,240000
5ER,05 Sep 2005,0.57,0.585,0.57,0.585,41000
5ER,06 Sep 2005,0.585,0.595,0.585,0.595,199000
5ER,07 Sep 2005,0.6,0.6,0.585,0.585,179000
5ER,08 Sep 2005,0.59,0.59,0.58,0.58,57000
5ER,09 Sep 2005,0.58,0.585,0.58,0.585,5000
5ER,12 Sep 2005,0.595,0.595,0.59,0.59,60000
5ER,13 Sep 2005,0.6,0.615,0.6,0.615,718000
5ER,14 Sep 2005,0.61,0.615,0.6,0.6,405000
5ER,15 Sep 2005,0.605,0.61,0.6,0.6,249000
5ER,16 Sep 2005,0.6,0.6,0.595,0.595,95000
5ER,19 Sep 2005,0.6,0.605,0.6,0.6,47000
5ER,20 Sep 2005,0.6,0.61,0.6,0.605,194000
5ER,21 Sep 2005,0.6,0.6,0.6,0.6,110000
5ER,22 Sep 2005,0.595,0.595,0.595,0.595,95000
5ER,23 Sep 2005,0.595,0.605,0.585,0.585,196000
5ER,26 Sep 2005,0.59,0.605,0.59,0.605,91000
5ER,27 Sep 2005,0.605,0.605,0.6,0.6,246000
5ER,28 Sep 2005,0.59,0.59,0.58,0.58,212000
5ER,29 Sep 2005,0.59,0.6,0.585,0.6,89000
5ER,30 Sep 2005,0.6,0.6,0.595,0.595,193000
5ER,03 Oct 2005,0.595,0.595,0.595,0.595,0
5ER,04 Oct 2005,0.595,0.635,0.59,0.635,21434000
5ER,05 Oct 2005,0.64,0.65,0.615,0.615,984000
5ER,06 Oct 2005,0.62,0.625,0.61,0.61,123000
5ER,07 Oct 2005,0.61,0.625,0.61,0.625,109000
5ER,10 Oct 2005,0.625,0.67,0.625,0.645,1690000
5ER,11 Oct 2005,0.645,0.655,0.64,0.64,511000
5ER,12 Oct 2005,0.65,0.65,0.635,0.635,171000
5ER,13 Oct 2005,0.635,0.66,0.635,0.655,718000
5ER,14 Oct 2005,0.66,0.695,0.66,0.685,4567000
5ER,17 Oct 2005,0.695,0.7,0.675,0.68,1092000
5ER,18 Oct 2005,0.67,0.675,0.655,0.66,475000
5ER,19 Oct 2005,0.665,0.665,0.63,0.63,789000
5ER,20 Oct 2005,0.64,0.65,0.62,0.62,538000
5ER,21 Oct 2005,0.6,0.62,0.585,0.615,912000
5ER,24 Oct 2005,0.62,0.62,0.61,0.61,1793000
5ER,25 Oct 2005,0.62,0.625,0.62,0.62,110000
5ER,26 Oct 2005,0.62,0.62,0.615,0.62,93000
5ER,27 Oct 2005,0.62,0.635,0.61,0.61,385000
5ER,28 Oct 2005,0.61,0.625,0.61,0.625,101000
5ER,31 Oct 2005,0.63,0.66,0.63,0.66,172000
5ER,01 Nov 2005,0.66,0.66,0.66,0.66,0
5ER,02 Nov 2005,0.66,0.68,0.65,0.65,529000
5ER,03 Nov 2005,0.65,0.65,0.65,0.65,0
5ER,04 Nov 2005,0.655,0.655,0.64,0.65,205000
5ER,07 Nov 2005,0.65,0.65,0.64,0.64,70000
5ER,08 Nov 2005,0.65,0.65,0.63,0.645,206000
5ER,09 Nov 2005,0.64,0.65,0.64,0.65,21000
5ER,10 Nov 2005,0.645,0.65,0.645,0.65,80000
5ER,11 Nov 2005,0.645,0.645,0.645,0.645,12000
5ER,14 Nov 2005,0.64,0.64,0.62,0.635,254000
5ER,15 Nov 2005,0.625,0.63,0.62,0.63,112000
5ER,16 Nov 2005,0.62,0.62,0.62,0.62,25000
5ER,17 Nov 2005,0.63,0.655,0.63,0.65,674000
5ER,18 Nov 2005,0.65,0.655,0.65,0.655,288000
5ER,21 Nov 2005,0.66,0.66,0.645,0.645,44000
5ER,22 Nov 2005,0.65,0.65,0.65,0.65,93000
5ER,23 Nov 2005,0.65,0.65,0.65,0.65,105000
5ER,24 Nov 2005,0.63,0.635,0.63,0.635,74000
5ER,25 Nov 2005,0.64,0.64,0.64,0.64,107000
5ER,28 Nov 2005,0.64,0.64,0.64,0.64,0
5ER,29 Nov 2005,0.645,0.645,0.64,0.64,28000
5ER,30 Nov 2005,0.64,0.66,0.64,0.66,108000
5ER,01 Dec 2005,0.66,0.66,0.645,0.645,40000
5ER,02 Dec 2005,0.655,0.655,0.645,0.65,109000
5ER,05 Dec 2005,0.64,0.66,0.64,0.66,1021000
5ER,06 Dec 2005,0.66,0.66,0.66,0.66,22000
5ER,07 Dec 2005,0.66,0.66,0.65,0.65,1591000
5ER,08 Dec 2005,0.65,0.655,0.645,0.65,178000
5ER,09 Dec 2005,0.655,0.655,0.65,0.65,50000
5ER,12 Dec 2005,0.66,0.665,0.66,0.66,78000
5ER,13 Dec 2005,0.655,0.655,0.655,0.655,48000
5ER,14 Dec 2005,0.655,0.655,0.65,0.65,164000
5ER,15 Dec 2005,0.65,0.65,0.65,0.65,108000
5ER,16 Dec 2005,0.655,0.655,0.65,0.65,70000
5ER,19 Dec 2005,0.65,0.655,0.65,0.655,249000
5ER,20 Dec 2005,0.65,0.65,0.65,0.65,203000
5ER,21 Dec 2005,0.65,0.65,0.65,0.65,157000
5ER,22 Dec 2005,0.65,0.65,0.65,0.65,40000
5ER,23 Dec 2005,0.65,0.65,0.65,0.65,0
