Symbol,Date,Open,High,Low,Close,Volume
5EV,03 Jan 2005,0.13,0.14,0.12,0.13,430000
5EV,04 Jan 2005,0.13,0.13,0.12,0.13,62000
5EV,05 Jan 2005,0.12,0.12,0.12,0.12,363000
5EV,06 Jan 2005,0.13,0.13,0.12,0.12,271000
5EV,07 Jan 2005,0.12,0.12,0.12,0.12,3000
5EV,10 Jan 2005,0.13,0.14,0.13,0.14,1523000
5EV,11 Jan 2005,0.14,0.14,0.12,0.13,187000
5EV,12 Jan 2005,0.12,0.13,0.12,0.12,0
5EV,13 Jan 2005,0.12,0.13,0.12,0.13,1203000
5EV,14 Jan 2005,0.12,0.13,0.12,0.12,120000
5EV,17 Jan 2005,0.12,0.14,0.12,0.14,549000
5EV,18 Jan 2005,0.14,0.14,0.14,0.14,620000
5EV,19 Jan 2005,0.13,0.14,0.13,0.14,49000
5EV,20 Jan 2005,0.13,0.13,0.13,0.13,5000
5EV,21 Jan 2005,0.13,0.13,0.13,0.13,0
5EV,24 Jan 2005,0.13,0.13,0.12,0.12,91000
5EV,25 Jan 2005,0.12,0.12,0.12,0.12,20000
5EV,26 Jan 2005,0.12,0.13,0.12,0.12,254000
5EV,27 Jan 2005,0.12,0.12,0.12,0.12,70000
5EV,28 Jan 2005,0.12,0.12,0.12,0.12,40000
5EV,31 Jan 2005,0.12,0.12,0.12,0.12,30000
5EV,01 Feb 2005,0.12,0.12,0.12,0.12,105000
5EV,02 Feb 2005,0.12,0.13,0.12,0.12,283000
5EV,03 Feb 2005,0.12,0.13,0.12,0.12,0
5EV,04 Feb 2005,0.12,0.13,0.12,0.12,0
5EV,07 Feb 2005,0.12,0.13,0.12,0.13,120000
5EV,08 Feb 2005,0.12,0.12,0.12,0.12,125000
5EV,09 Feb 2005,0.125,0.125,0.125,0.125,0
5EV,10 Feb 2005,0.125,0.125,0.125,0.125,0
5EV,11 Feb 2005,0.12,0.12,0.12,0.12,30000
5EV,14 Feb 2005,0.12,0.12,0.12,0.12,10000
5EV,15 Feb 2005,0.12,0.12,0.12,0.12,320000
5EV,16 Feb 2005,0.12,0.12,0.12,0.12,192000
5EV,17 Feb 2005,0.12,0.12,0.12,0.12,0
5EV,18 Feb 2005,0.12,0.12,0.12,0.12,20000
5EV,21 Feb 2005,0.12,0.12,0.12,0.12,30000
5EV,22 Feb 2005,0.12,0.12,0.12,0.12,130000
5EV,23 Feb 2005,0.12,0.12,0.12,0.12,340000
5EV,24 Feb 2005,0.12,0.12,0.12,0.12,35000
5EV,25 Feb 2005,0.12,0.12,0.12,0.12,441000
5EV,28 Feb 2005,0.11,0.12,0.11,0.11,0
5EV,01 Mar 2005,0.12,0.12,0.11,0.12,121000
5EV,02 Mar 2005,0.12,0.12,0.12,0.12,88000
5EV,03 Mar 2005,0.12,0.12,0.12,0.12,40000
5EV,04 Mar 2005,0.12,0.12,0.12,0.12,130000
5EV,07 Mar 2005,0.12,0.12,0.12,0.12,25000
5EV,08 Mar 2005,0.12,0.12,0.12,0.12,82000
5EV,09 Mar 2005,0.12,0.12,0.12,0.12,211000
5EV,10 Mar 2005,0.12,0.12,0.12,0.12,18000
5EV,11 Mar 2005,0.12,0.12,0.12,0.12,100000
5EV,14 Mar 2005,0.12,0.12,0.12,0.12,18000
5EV,15 Mar 2005,0.12,0.12,0.12,0.12,64000
5EV,16 Mar 2005,0.11,0.12,0.11,0.12,105000
5EV,17 Mar 2005,0.12,0.12,0.11,0.12,245000
5EV,18 Mar 2005,0.1,0.12,0.1,0.1,0
5EV,21 Mar 2005,0.11,0.12,0.11,0.12,70000
5EV,22 Mar 2005,0.11,0.11,0.11,0.11,65000
5EV,23 Mar 2005,0.1,0.1,0.1,0.1,430000
5EV,24 Mar 2005,0.1,0.11,0.1,0.11,180000
5EV,25 Mar 2005,0.11,0.11,0.11,0.11,0
5EV,28 Mar 2005,0.11,0.11,0.11,0.11,50000
5EV,29 Mar 2005,0.11,0.11,0.11,0.11,95000
5EV,30 Mar 2005,0.11,0.14,0.11,0.11,0
5EV,31 Mar 2005,0.12,0.12,0.12,0.12,15000
