Symbol,Date,Open,High,Low,Close,Volume
5EW,03 Jan 2005,0.12,0.12,0.12,0.12,0
5EW,04 Jan 2005,0.12,0.12,0.11,0.11,70000
5EW,05 Jan 2005,0.1,0.12,0.1,0.1,0
5EW,06 Jan 2005,0.11,0.11,0.11,0.11,61000
5EW,07 Jan 2005,0.11,0.11,0.11,0.11,1000
5EW,10 Jan 2005,0.12,0.12,0.12,0.12,159000
5EW,11 Jan 2005,0.11,0.12,0.11,0.11,0
5EW,12 Jan 2005,0.11,0.12,0.11,0.11,0
5EW,13 Jan 2005,0.12,0.13,0.12,0.13,282000
5EW,14 Jan 2005,0.13,0.14,0.13,0.13,258000
5EW,17 Jan 2005,0.14,0.17,0.14,0.16,1373000
5EW,18 Jan 2005,0.17,0.17,0.16,0.16,442000
5EW,19 Jan 2005,0.16,0.16,0.16,0.16,140000
5EW,20 Jan 2005,0.16,0.16,0.16,0.16,30000
5EW,21 Jan 2005,0.16,0.16,0.16,0.16,0
5EW,24 Jan 2005,0.14,0.14,0.14,0.14,38000
5EW,25 Jan 2005,0.14,0.14,0.12,0.13,110000
5EW,26 Jan 2005,0.13,0.13,0.12,0.13,20000
5EW,27 Jan 2005,0.12,0.12,0.12,0.12,80000
5EW,28 Jan 2005,0.12,0.12,0.12,0.12,1000
5EW,31 Jan 2005,0.12,0.12,0.12,0.12,48000
5EW,01 Feb 2005,0.12,0.13,0.12,0.13,40000
5EW,02 Feb 2005,0.12,0.12,0.12,0.12,9000
5EW,03 Feb 2005,0.12,0.13,0.12,0.13,69000
5EW,04 Feb 2005,0.12,0.13,0.12,0.12,0
5EW,07 Feb 2005,0.13,0.13,0.13,0.13,100000
5EW,08 Feb 2005,0.12,0.13,0.12,0.12,0
5EW,09 Feb 2005,0.13,0.13,0.13,0.13,0
5EW,10 Feb 2005,0.13,0.13,0.13,0.13,0
5EW,11 Feb 2005,0.14,0.14,0.14,0.14,101000
5EW,14 Feb 2005,0.14,0.14,0.14,0.14,10000
5EW,15 Feb 2005,0.14,0.14,0.14,0.14,21000
5EW,16 Feb 2005,0.14,0.15,0.14,0.15,24000
5EW,17 Feb 2005,0.13,0.14,0.13,0.13,0
5EW,18 Feb 2005,0.13,0.14,0.13,0.13,0
5EW,21 Feb 2005,0.13,0.14,0.13,0.13,0
5EW,22 Feb 2005,0.12,0.12,0.12,0.12,10000
5EW,23 Feb 2005,0.13,0.13,0.12,0.12,20000
5EW,24 Feb 2005,0.11,0.12,0.11,0.12,96000
5EW,25 Feb 2005,0.11,0.12,0.11,0.11,0
5EW,28 Feb 2005,0.11,0.13,0.11,0.11,0
