Symbol,Date,Open,High,Low,Close,Volume
5FA,03 Jan 2005,0.1,0.1,0.1,0.1,0
5FA,04 Jan 2005,0.1,0.11,0.1,0.11,251000
5FA,05 Jan 2005,0.1,0.11,0.1,0.11,81000
5FA,06 Jan 2005,0.1,0.11,0.1,0.1,0
5FA,07 Jan 2005,0.1,0.12,0.1,0.12,113000
5FA,10 Jan 2005,0.11,0.11,0.11,0.11,25000
5FA,11 Jan 2005,0.11,0.11,0.11,0.11,44000
5FA,12 Jan 2005,0.11,0.11,0.1,0.1,68000
5FA,13 Jan 2005,0.11,0.12,0.1,0.12,220000
5FA,14 Jan 2005,0.12,0.12,0.12,0.12,1047000
5FA,17 Jan 2005,0.12,0.13,0.12,0.13,784000
5FA,18 Jan 2005,0.13,0.13,0.12,0.12,323000
5FA,19 Jan 2005,0.13,0.13,0.12,0.12,104000
5FA,20 Jan 2005,0.12,0.12,0.12,0.12,156000
5FA,21 Jan 2005,0.12,0.12,0.12,0.12,0
5FA,24 Jan 2005,0.12,0.12,0.12,0.12,164000
5FA,25 Jan 2005,0.11,0.12,0.11,0.11,204000
5FA,26 Jan 2005,0.12,0.12,0.11,0.11,425000
5FA,27 Jan 2005,0.11,0.11,0.1,0.1,119000
5FA,28 Jan 2005,0.1,0.12,0.1,0.1,0
5FA,31 Jan 2005,0.11,0.11,0.11,0.11,100000
5FA,01 Feb 2005,0.11,0.12,0.11,0.12,144000
5FA,02 Feb 2005,0.11,0.11,0.11,0.11,50000
5FA,03 Feb 2005,0.11,0.11,0.11,0.11,40000
5FA,04 Feb 2005,0.1,0.1,0.1,0.1,105000
5FA,07 Feb 2005,0.1,0.11,0.1,0.1,0
5FA,08 Feb 2005,0.11,0.11,0.11,0.11,33000
5FA,09 Feb 2005,0.11,0.11,0.11,0.11,0
5FA,10 Feb 2005,0.11,0.11,0.11,0.11,0
5FA,11 Feb 2005,0.1,0.12,0.1,0.1,0
5FA,14 Feb 2005,0.1,0.12,0.1,0.1,0
5FA,15 Feb 2005,0.1,0.1,0.1,0.1,59000
5FA,16 Feb 2005,0.1,0.1,0.1,0.1,129000
5FA,17 Feb 2005,0.11,0.11,0.11,0.11,73000
5FA,18 Feb 2005,0.11,0.11,0.1,0.1,112000
5FA,21 Feb 2005,0.09,0.09,0.09,0.09,201000
5FA,22 Feb 2005,0.09,0.1,0.09,0.09,0
5FA,23 Feb 2005,0.09,0.09,0.09,0.09,100000
5FA,24 Feb 2005,0.09,0.09,0.09,0.09,126000
5FA,25 Feb 2005,0.09,0.09,0.09,0.09,0
5FA,28 Feb 2005,0.08,0.09,0.08,0.08,0
5FA,01 Mar 2005,0.09,0.09,0.08,0.08,21000
5FA,02 Mar 2005,0.09,0.09,0.09,0.09,30000
5FA,03 Mar 2005,0.09,0.09,0.09,0.09,200000
5FA,04 Mar 2005,0.09,0.09,0.09,0.09,100000
5FA,07 Mar 2005,0.09,0.09,0.07,0.07,228000
5FA,08 Mar 2005,0.08,0.08,0.08,0.08,111000
5FA,09 Mar 2005,0.08,0.09,0.08,0.08,0
5FA,10 Mar 2005,0.08,0.08,0.08,0.08,46000
5FA,11 Mar 2005,0.09,0.09,0.09,0.09,566000
5FA,14 Mar 2005,0.08,0.09,0.08,0.08,0
5FA,15 Mar 2005,0.08,0.09,0.08,0.08,0
5FA,16 Mar 2005,0.08,0.09,0.08,0.09,63000
5FA,17 Mar 2005,0.08,0.09,0.08,0.08,0
5FA,18 Mar 2005,0.08,0.09,0.08,0.09,12000
5FA,21 Mar 2005,0.08,0.09,0.08,0.09,36000
5FA,22 Mar 2005,0.08,0.09,0.08,0.08,0
5FA,23 Mar 2005,0.08,0.08,0.08,0.08,20000
5FA,24 Mar 2005,0.08,0.1,0.08,0.08,0
5FA,25 Mar 2005,0.08,0.08,0.08,0.08,0
5FA,28 Mar 2005,0.1,0.1,0.1,0.1,1000
5FA,29 Mar 2005,0.08,0.1,0.08,0.08,0
5FA,30 Mar 2005,0.08,0.08,0.08,0.08,40000
5FA,31 Mar 2005,0.08,0.1,0.08,0.08,0
5FA,01 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,04 Apr 2005,0.1,0.1,0.1,0.1,1000
5FA,05 Apr 2005,0.08,0.1,0.08,0.08,0
5FA,06 Apr 2005,0.08,0.08,0.08,0.08,100000
5FA,07 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,08 Apr 2005,0.08,0.08,0.08,0.08,5000
5FA,11 Apr 2005,0.1,0.1,0.1,0.1,1000
5FA,12 Apr 2005,0.08,0.1,0.08,0.08,0
5FA,13 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,14 Apr 2005,0.08,0.1,0.08,0.08,0
5FA,15 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,18 Apr 2005,0.08,0.1,0.08,0.1,41000
5FA,19 Apr 2005,0.08,0.1,0.08,0.08,0
5FA,20 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,21 Apr 2005,0.07,0.09,0.07,0.07,0
5FA,22 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,25 Apr 2005,0.08,0.1,0.08,0.08,0
5FA,26 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,27 Apr 2005,0.08,0.09,0.08,0.09,45000
5FA,28 Apr 2005,0.08,0.09,0.08,0.08,0
5FA,29 Apr 2005,0.08,0.08,0.07,0.08,200000
5FA,02 May 2005,0.08,0.08,0.08,0.08,0
5FA,03 May 2005,0.06,0.09,0.06,0.06,0
5FA,04 May 2005,0.09,0.09,0.08,0.08,45000
5FA,05 May 2005,0.09,0.09,0.09,0.09,1000
5FA,06 May 2005,0.06,0.09,0.06,0.06,0
5FA,09 May 2005,0.07,0.09,0.07,0.07,0
5FA,10 May 2005,0.07,0.09,0.07,0.07,0
5FA,11 May 2005,0.07,0.1,0.07,0.07,0
5FA,12 May 2005,0.08,0.09,0.08,0.08,0
5FA,13 May 2005,0.06,0.09,0.06,0.06,0
5FA,16 May 2005,0.07,0.07,0.07,0.07,50000
5FA,17 May 2005,0.07,0.07,0.07,0.07,20000
5FA,18 May 2005,0.07,0.07,0.07,0.07,26000
5FA,19 May 2005,0.06,0.09,0.06,0.06,0
5FA,20 May 2005,0.07,0.08,0.07,0.07,0
5FA,23 May 2005,0.07,0.07,0.07,0.07,0
5FA,24 May 2005,0.07,0.07,0.07,0.07,10000
5FA,25 May 2005,0.08,0.08,0.08,0.08,65000
5FA,26 May 2005,0.06,0.08,0.06,0.08,75000
5FA,27 May 2005,0.08,0.08,0.08,0.08,10000
5FA,30 May 2005,0.07,0.08,0.07,0.07,136000
5FA,31 May 2005,0.06,0.07,0.06,0.07,118000
5FA,01 Jun 2005,0.07,0.1,0.06,0.08,147000
5FA,02 Jun 2005,0.07,0.07,0.06,0.07,520000
5FA,03 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,06 Jun 2005,0.06,0.06,0.06,0.06,25000
5FA,07 Jun 2005,0.07,0.07,0.07,0.07,25000
5FA,08 Jun 2005,0.08,0.08,0.08,0.08,1000
5FA,09 Jun 2005,0.06,0.07,0.06,0.06,0
5FA,10 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,13 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,14 Jun 2005,0.08,0.08,0.08,0.08,58000
5FA,15 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,16 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,17 Jun 2005,0.07,0.07,0.07,0.07,40000
5FA,20 Jun 2005,0.08,0.08,0.07,0.08,190000
5FA,21 Jun 2005,0.07,0.08,0.07,0.07,0
5FA,22 Jun 2005,0.07,0.08,0.07,0.07,0
5FA,23 Jun 2005,0.07,0.08,0.07,0.07,0
5FA,24 Jun 2005,0.08,0.08,0.07,0.08,100000
5FA,27 Jun 2005,0.08,0.08,0.08,0.08,60000
5FA,28 Jun 2005,0.06,0.08,0.06,0.06,0
5FA,29 Jun 2005,0.07,0.07,0.07,0.07,20000
5FA,30 Jun 2005,0.07,0.08,0.07,0.07,61000
5FA,01 Jul 2005,0.07,0.08,0.07,0.07,0
5FA,04 Jul 2005,0.07,0.07,0.07,0.07,60000
5FA,05 Jul 2005,0.07,0.09,0.07,0.07,0
5FA,06 Jul 2005,0.06,0.08,0.06,0.06,0
5FA,07 Jul 2005,0.07,0.07,0.07,0.07,30000
5FA,08 Jul 2005,0.07,0.07,0.07,0.07,14000
5FA,11 Jul 2005,0.07,0.08,0.07,0.07,0
5FA,12 Jul 2005,0.08,0.08,0.08,0.08,178000
5FA,13 Jul 2005,0.08,0.08,0.08,0.08,50000
5FA,14 Jul 2005,0.09,0.09,0.08,0.09,194000
5FA,15 Jul 2005,0.09,0.09,0.08,0.09,349000
5FA,18 Jul 2005,0.08,0.09,0.08,0.08,0
5FA,19 Jul 2005,0.09,0.09,0.09,0.09,460000
5FA,20 Jul 2005,0.09,0.09,0.09,0.09,64000
5FA,21 Jul 2005,0.09,0.09,0.09,0.09,277000
5FA,22 Jul 2005,0.09,0.09,0.09,0.09,128000
5FA,25 Jul 2005,0.09,0.09,0.09,0.09,50000
5FA,26 Jul 2005,0.09,0.09,0.09,0.09,0
5FA,27 Jul 2005,0.09,0.09,0.09,0.09,50000
5FA,28 Jul 2005,0.09,0.09,0.09,0.09,237000
5FA,29 Jul 2005,0.09,0.09,0.09,0.09,89000
5FA,01 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,02 Aug 2005,0.09,0.1,0.09,0.09,0
5FA,03 Aug 2005,0.09,0.09,0.09,0.09,100000
5FA,04 Aug 2005,0.09,0.09,0.09,0.09,21000
5FA,05 Aug 2005,0.09,0.09,0.09,0.09,73000
5FA,08 Aug 2005,0.09,0.09,0.09,0.09,126000
5FA,09 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,10 Aug 2005,0.08,0.09,0.08,0.08,0
5FA,11 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,12 Aug 2005,0.09,0.1,0.09,0.09,0
5FA,15 Aug 2005,0.09,0.09,0.09,0.09,458000
5FA,16 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,17 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,18 Aug 2005,0.09,0.09,0.09,0.09,10000
5FA,19 Aug 2005,0.09,0.09,0.09,0.09,170000
5FA,22 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,23 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,24 Aug 2005,0.09,0.09,0.09,0.09,85000
5FA,25 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,26 Aug 2005,0.09,0.09,0.09,0.09,130000
5FA,29 Aug 2005,0.09,0.09,0.09,0.09,205000
5FA,30 Aug 2005,0.09,0.09,0.09,0.09,21000
5FA,31 Aug 2005,0.09,0.09,0.09,0.09,0
5FA,01 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,02 Sep 2005,0.09,0.09,0.09,0.09,0
5FA,05 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,06 Sep 2005,0.09,0.09,0.09,0.09,0
5FA,07 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,08 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,09 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,12 Sep 2005,0.09,0.09,0.09,0.09,311000
5FA,13 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,14 Sep 2005,0.09,0.09,0.09,0.09,50000
5FA,15 Sep 2005,0.09,0.09,0.09,0.09,80000
5FA,16 Sep 2005,0.1,0.1,0.09,0.09,205000
5FA,19 Sep 2005,0.09,0.11,0.09,0.09,0
5FA,20 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,21 Sep 2005,0.09,0.1,0.09,0.09,0
5FA,22 Sep 2005,0.09,0.09,0.09,0.09,110000
5FA,23 Sep 2005,0.09,0.09,0.09,0.09,0
5FA,26 Sep 2005,0.09,0.09,0.09,0.09,0
5FA,27 Sep 2005,0.09,0.09,0.09,0.09,44000
5FA,28 Sep 2005,0.09,0.09,0.09,0.09,180000
5FA,29 Sep 2005,0.09,0.1,0.09,0.1,238000
5FA,30 Sep 2005,0.09,0.11,0.09,0.09,0
5FA,03 Oct 2005,0.09,0.11,0.09,0.09,0
5FA,04 Oct 2005,0.1,0.11,0.1,0.1,0
5FA,05 Oct 2005,0.1,0.1,0.1,0.1,90000
5FA,06 Oct 2005,0.1,0.1,0.1,0.1,80000
5FA,07 Oct 2005,0.09,0.11,0.09,0.09,0
5FA,10 Oct 2005,0.09,0.11,0.09,0.09,0
5FA,11 Oct 2005,0.09,0.11,0.09,0.09,0
5FA,12 Oct 2005,0.09,0.09,0.09,0.09,20000
5FA,13 Oct 2005,0.09,0.12,0.09,0.09,0
5FA,14 Oct 2005,0.09,0.12,0.09,0.09,0
5FA,17 Oct 2005,0.09,0.09,0.09,0.09,50000
5FA,18 Oct 2005,0.09,0.11,0.09,0.09,0
5FA,19 Oct 2005,0.09,0.1,0.09,0.09,0
5FA,20 Oct 2005,0.09,0.12,0.09,0.09,0
5FA,21 Oct 2005,0.08,0.12,0.08,0.08,0
5FA,24 Oct 2005,0.08,0.12,0.08,0.08,0
5FA,25 Oct 2005,0.08,0.1,0.08,0.08,0
5FA,26 Oct 2005,0.08,0.1,0.08,0.08,0
5FA,27 Oct 2005,0.09,0.1,0.09,0.09,0
5FA,28 Oct 2005,0.08,0.09,0.08,0.08,0
5FA,31 Oct 2005,0.08,0.12,0.08,0.08,0
5FA,01 Nov 2005,0.095,0.095,0.095,0.095,0
5FA,02 Nov 2005,0.08,0.12,0.08,0.08,0
5FA,03 Nov 2005,0.095,0.095,0.095,0.095,0
5FA,04 Nov 2005,0.09,0.1,0.09,0.09,0
5FA,07 Nov 2005,0.09,0.11,0.09,0.09,0
5FA,08 Nov 2005,0.08,0.11,0.08,0.08,0
5FA,09 Nov 2005,0.08,0.08,0.08,0.08,15000
5FA,10 Nov 2005,0.08,0.09,0.08,0.08,0
5FA,11 Nov 2005,0.09,0.09,0.09,0.09,135000
5FA,14 Nov 2005,0.1,0.1,0.09,0.09,501000
5FA,15 Nov 2005,0.09,0.09,0.09,0.09,2000
5FA,16 Nov 2005,0.06,0.1,0.06,0.06,0
5FA,17 Nov 2005,0.06,0.1,0.06,0.06,0
5FA,18 Nov 2005,0.09,0.09,0.09,0.09,80000
5FA,21 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,22 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,23 Nov 2005,0.07,0.1,0.07,0.07,0
5FA,24 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,25 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,28 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,29 Nov 2005,0.08,0.1,0.08,0.08,0
5FA,30 Nov 2005,0.09,0.1,0.09,0.09,0
5FA,01 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,02 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,05 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,06 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,07 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,08 Dec 2005,0.09,0.09,0.09,0.09,0
5FA,09 Dec 2005,0.09,0.09,0.09,0.09,0
5FA,12 Dec 2005,0.08,0.09,0.08,0.08,0
5FA,13 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,14 Dec 2005,0.09,0.09,0.09,0.09,0
5FA,15 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,16 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,19 Dec 2005,0.08,0.09,0.08,0.08,0
5FA,20 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,21 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,22 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,23 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,26 Dec 2005,0.095,0.095,0.095,0.095,0
5FA,27 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,28 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,29 Dec 2005,0.08,0.1,0.08,0.08,0
5FA,30 Dec 2005,0.09,0.1,0.09,0.09,0
5FA,02 Jan 2006,0.095,0.095,0.095,0.095,0
5FA,03 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,04 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,05 Jan 2006,0.09,0.1,0.09,0.1,42000
5FA,06 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,09 Jan 2006,0.09,0.12,0.09,0.09,0
5FA,10 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,11 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,12 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,13 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,16 Jan 2006,0.09,0.09,0.09,0.09,10000
5FA,17 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,18 Jan 2006,0.09,0.1,0.09,0.09,0
5FA,19 Jan 2006,0.09,0.09,0.09,0.09,85000
5FA,20 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,23 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,24 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,25 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,26 Jan 2006,0.09,0.09,0.09,0.09,0
5FA,27 Jan 2006,0.08,0.09,0.08,0.08,0
5FA,30 Jan 2006,0.08,0.08,0.08,0.08,0
5FA,31 Jan 2006,0.08,0.08,0.08,0.08,0
5FA,01 Feb 2006,0.09,0.09,0.09,0.09,0
5FA,02 Feb 2006,0.09,0.09,0.09,0.09,0
5FA,03 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,06 Feb 2006,0.09,0.09,0.09,0.09,0
5FA,07 Feb 2006,0.09,0.09,0.09,0.09,0
5FA,08 Feb 2006,0.09,0.09,0.09,0.09,10000
5FA,09 Feb 2006,0.09,0.1,0.09,0.09,0
5FA,10 Feb 2006,0.09,0.1,0.09,0.09,0
5FA,13 Feb 2006,0.09,0.1,0.09,0.09,0
5FA,14 Feb 2006,0.08,0.1,0.08,0.08,0
5FA,15 Feb 2006,0.08,0.1,0.08,0.08,0
5FA,16 Feb 2006,0.08,0.1,0.08,0.08,0
5FA,17 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,20 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,21 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,22 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,23 Feb 2006,0.08,0.09,0.08,0.08,0
5FA,24 Feb 2006,0.08,0.09,0.08,0.08,0
