Symbol,Date,Open,High,Low,Close,Volume
5FH,03 Jan 2005,0.25,0.25,0.25,0.25,229000
5FH,04 Jan 2005,0.25,0.25,0.25,0.25,134000
5FH,05 Jan 2005,0.25,0.25,0.25,0.25,60000
5FH,06 Jan 2005,0.25,0.25,0.25,0.25,156000
5FH,07 Jan 2005,0.26,0.26,0.26,0.26,390000
5FH,10 Jan 2005,0.27,0.29,0.27,0.29,1575000
5FH,11 Jan 2005,0.29,0.32,0.29,0.32,1660000
5FH,12 Jan 2005,0.32,0.33,0.32,0.33,604000
5FH,13 Jan 2005,0.34,0.36,0.33,0.36,979000
5FH,14 Jan 2005,0.37,0.4,0.37,0.38,1650000
5FH,17 Jan 2005,0.39,0.42,0.38,0.39,2161000
5FH,18 Jan 2005,0.39,0.39,0.37,0.38,884000
5FH,19 Jan 2005,0.38,0.38,0.38,0.38,426000
5FH,20 Jan 2005,0.37,0.38,0.37,0.38,290000
5FH,21 Jan 2005,0.38,0.38,0.38,0.38,0
5FH,24 Jan 2005,0.38,0.39,0.38,0.38,477000
5FH,25 Jan 2005,0.38,0.39,0.38,0.39,549000
5FH,26 Jan 2005,0.4,0.4,0.38,0.4,425000
5FH,27 Jan 2005,0.4,0.43,0.4,0.43,1441000
5FH,28 Jan 2005,0.43,0.47,0.43,0.47,1104000
5FH,31 Jan 2005,0.46,0.49,0.46,0.49,1301000
5FH,01 Feb 2005,0.49,0.5,0.47,0.48,1248000
5FH,02 Feb 2005,0.49,0.49,0.44,0.44,1452000
5FH,03 Feb 2005,0.44,0.46,0.43,0.43,260000
5FH,04 Feb 2005,0.44,0.45,0.44,0.45,277000
5FH,07 Feb 2005,0.45,0.49,0.45,0.46,385000
5FH,08 Feb 2005,0.46,0.47,0.46,0.46,141000
5FH,09 Feb 2005,0.46,0.46,0.46,0.46,0
5FH,10 Feb 2005,0.46,0.46,0.46,0.46,0
5FH,11 Feb 2005,0.47,0.47,0.46,0.46,96000
5FH,14 Feb 2005,0.47,0.47,0.46,0.46,168000
5FH,15 Feb 2005,0.46,0.47,0.44,0.44,144000
5FH,16 Feb 2005,0.44,0.44,0.44,0.44,100000
5FH,17 Feb 2005,0.44,0.45,0.44,0.44,73000
5FH,18 Feb 2005,0.44,0.44,0.44,0.44,45000
5FH,21 Feb 2005,0.44,0.44,0.44,0.44,1000
5FH,22 Feb 2005,0.43,0.43,0.43,0.43,40000
5FH,23 Feb 2005,0.43,0.43,0.42,0.43,37000
5FH,24 Feb 2005,0.42,0.42,0.42,0.42,14000
5FH,25 Feb 2005,0.42,0.42,0.42,0.42,93000
5FH,28 Feb 2005,0.42,0.42,0.42,0.42,26000
5FH,01 Mar 2005,0.43,0.43,0.43,0.43,30000
5FH,02 Mar 2005,0.46,0.46,0.46,0.46,0
5FH,03 Mar 2005,0.4,0.46,0.4,0.4,0
5FH,04 Mar 2005,0.42,0.45,0.42,0.42,0
5FH,07 Mar 2005,0.42,0.44,0.42,0.42,0
5FH,08 Mar 2005,0.42,0.43,0.42,0.42,0
5FH,09 Mar 2005,0.42,0.42,0.42,0.42,10000
5FH,10 Mar 2005,0.4,0.4,0.4,0.4,2000
5FH,11 Mar 2005,0.42,0.42,0.42,0.42,22000
5FH,14 Mar 2005,0.43,0.43,0.43,0.43,0
5FH,15 Mar 2005,0.42,0.43,0.42,0.42,27000
5FH,16 Mar 2005,0.43,0.43,0.43,0.43,30000
5FH,17 Mar 2005,0.42,0.42,0.42,0.42,4000
5FH,18 Mar 2005,0.42,0.43,0.42,0.43,106000
5FH,21 Mar 2005,0.42,0.42,0.42,0.42,50000
5FH,22 Mar 2005,0.42,0.42,0.42,0.42,50000
5FH,23 Mar 2005,0.42,0.43,0.42,0.42,85000
5FH,24 Mar 2005,0.43,0.48,0.43,0.48,354000
5FH,25 Mar 2005,0.48,0.48,0.48,0.48,0
5FH,28 Mar 2005,0.49,0.52,0.49,0.5,995000
5FH,29 Mar 2005,0.5,0.5,0.45,0.46,469000
5FH,30 Mar 2005,0.47,0.47,0.47,0.47,125000
5FH,31 Mar 2005,0.46,0.49,0.46,0.49,177000
5FH,01 Apr 2005,0.49,0.49,0.48,0.48,66000
5FH,04 Apr 2005,0.49,0.51,0.49,0.5,610000
5FH,05 Apr 2005,0.5,0.51,0.49,0.49,193000
5FH,06 Apr 2005,0.5,0.5,0.5,0.5,312000
5FH,07 Apr 2005,0.5,0.5,0.5,0.5,0
5FH,08 Apr 2005,0.5,0.5,0.49,0.49,177000
5FH,11 Apr 2005,0.49,0.5,0.49,0.49,45000
5FH,12 Apr 2005,0.49,0.49,0.47,0.47,74000
5FH,13 Apr 2005,0.48,0.48,0.47,0.48,50000
