Symbol,Date,Open,High,Low,Close,Volume
5FI,03 Jan 2005,0.19,0.19,0.19,0.19,1195000
5FI,04 Jan 2005,0.19,0.19,0.19,0.19,815000
5FI,05 Jan 2005,0.19,0.19,0.19,0.19,922000
5FI,06 Jan 2005,0.19,0.2,0.19,0.2,2782000
5FI,07 Jan 2005,0.2,0.2,0.19,0.19,462000
5FI,10 Jan 2005,0.19,0.19,0.19,0.19,760000
5FI,11 Jan 2005,0.19,0.19,0.19,0.19,350000
5FI,12 Jan 2005,0.19,0.19,0.19,0.19,205000
5FI,13 Jan 2005,0.19,0.19,0.19,0.19,936000
5FI,14 Jan 2005,0.19,0.19,0.19,0.19,1214000
5FI,17 Jan 2005,0.19,0.19,0.19,0.19,900000
5FI,18 Jan 2005,0.19,0.19,0.19,0.19,289000
5FI,19 Jan 2005,0.19,0.19,0.19,0.19,3219000
5FI,20 Jan 2005,0.19,0.19,0.19,0.19,340000
5FI,21 Jan 2005,0.19,0.19,0.19,0.19,0
5FI,24 Jan 2005,0.19,0.19,0.18,0.18,359000
5FI,25 Jan 2005,0.18,0.18,0.18,0.18,690000
5FI,26 Jan 2005,0.18,0.18,0.17,0.18,665000
5FI,27 Jan 2005,0.17,0.18,0.17,0.18,690000
5FI,28 Jan 2005,0.17,0.17,0.17,0.17,1201000
5FI,31 Jan 2005,0.17,0.17,0.17,0.17,295000
5FI,01 Feb 2005,0.17,0.17,0.17,0.17,350000
5FI,02 Feb 2005,0.17,0.17,0.17,0.17,220000
5FI,03 Feb 2005,0.17,0.18,0.17,0.17,775000
5FI,04 Feb 2005,0.17,0.17,0.17,0.17,483000
5FI,07 Feb 2005,0.17,0.17,0.17,0.17,689000
5FI,08 Feb 2005,0.17,0.17,0.17,0.17,407000
5FI,09 Feb 2005,0.17,0.17,0.17,0.17,0
5FI,10 Feb 2005,0.17,0.17,0.17,0.17,0
5FI,11 Feb 2005,0.17,0.17,0.17,0.17,749000
5FI,14 Feb 2005,0.17,0.17,0.17,0.17,271000
5FI,15 Feb 2005,0.17,0.17,0.17,0.17,110000
5FI,16 Feb 2005,0.17,0.17,0.17,0.17,745000
5FI,17 Feb 2005,0.17,0.17,0.17,0.17,165000
5FI,18 Feb 2005,0.17,0.17,0.17,0.17,520000
5FI,21 Feb 2005,0.17,0.17,0.17,0.17,300000
5FI,22 Feb 2005,0.17,0.17,0.17,0.17,340000
5FI,23 Feb 2005,0.17,0.17,0.17,0.17,260000
5FI,24 Feb 2005,0.17,0.17,0.17,0.17,250000
5FI,25 Feb 2005,0.17,0.17,0.17,0.17,553000
5FI,28 Feb 2005,0.17,0.17,0.16,0.16,281000
5FI,01 Mar 2005,0.16,0.17,0.15,0.15,892000
5FI,02 Mar 2005,0.16,0.16,0.14,0.15,387000
5FI,03 Mar 2005,0.15,0.15,0.15,0.15,201000
5FI,04 Mar 2005,0.14,0.16,0.14,0.15,839000
5FI,07 Mar 2005,0.15,0.15,0.14,0.14,550000
5FI,08 Mar 2005,0.14,0.14,0.14,0.14,407000
5FI,09 Mar 2005,0.14,0.16,0.14,0.15,394000
5FI,10 Mar 2005,0.14,0.14,0.14,0.14,216000
5FI,11 Mar 2005,0.14,0.14,0.14,0.14,726000
5FI,14 Mar 2005,0.14,0.14,0.14,0.14,395000
5FI,15 Mar 2005,0.14,0.14,0.14,0.14,120000
5FI,16 Mar 2005,0.14,0.15,0.14,0.14,1598000
5FI,17 Mar 2005,0.14,0.15,0.14,0.15,1883000
5FI,18 Mar 2005,0.14,0.14,0.14,0.14,519000
5FI,21 Mar 2005,0.14,0.14,0.14,0.14,302000
5FI,22 Mar 2005,0.14,0.14,0.14,0.14,684000
5FI,23 Mar 2005,0.14,0.14,0.14,0.14,60000
5FI,24 Mar 2005,0.14,0.16,0.14,0.15,206000
5FI,25 Mar 2005,0.15,0.15,0.15,0.15,0
5FI,28 Mar 2005,0.15,0.15,0.14,0.14,150000
5FI,29 Mar 2005,0.15,0.15,0.15,0.15,262000
5FI,30 Mar 2005,0.15,0.15,0.14,0.14,115000
5FI,31 Mar 2005,0.14,0.14,0.14,0.14,152000
5FI,01 Apr 2005,0.14,0.14,0.14,0.14,357000
5FI,04 Apr 2005,0.14,0.14,0.14,0.14,425000
5FI,05 Apr 2005,0.14,0.14,0.14,0.14,460000
5FI,06 Apr 2005,0.14,0.14,0.14,0.14,50000
5FI,07 Apr 2005,0.15,0.15,0.14,0.14,338000
5FI,08 Apr 2005,0.14,0.15,0.14,0.15,349000
5FI,11 Apr 2005,0.14,0.15,0.14,0.14,746000
5FI,12 Apr 2005,0.14,0.14,0.14,0.14,412000
5FI,13 Apr 2005,0.15,0.15,0.15,0.15,15000
5FI,14 Apr 2005,0.15,0.15,0.15,0.15,449000
5FI,15 Apr 2005,0.15,0.15,0.15,0.15,50000
5FI,18 Apr 2005,0.14,0.15,0.14,0.14,135000
5FI,19 Apr 2005,0.14,0.14,0.14,0.14,250000
5FI,20 Apr 2005,0.14,0.14,0.14,0.14,160000
5FI,21 Apr 2005,0.14,0.14,0.14,0.14,250000
5FI,22 Apr 2005,0.14,0.14,0.14,0.14,204000
5FI,25 Apr 2005,0.14,0.14,0.14,0.14,45000
5FI,26 Apr 2005,0.14,0.14,0.14,0.14,1956000
5FI,27 Apr 2005,0.14,0.14,0.14,0.14,365000
5FI,28 Apr 2005,0.14,0.14,0.14,0.14,236000
5FI,29 Apr 2005,0.14,0.14,0.14,0.14,773000
5FI,02 May 2005,0.14,0.14,0.14,0.14,0
5FI,03 May 2005,0.14,0.14,0.14,0.14,540000
5FI,04 May 2005,0.14,0.14,0.14,0.14,170000
5FI,05 May 2005,0.14,0.14,0.14,0.14,0
5FI,06 May 2005,0.14,0.14,0.14,0.14,160000
5FI,09 May 2005,0.13,0.13,0.13,0.13,41000
5FI,10 May 2005,0.13,0.14,0.13,0.13,0
5FI,11 May 2005,0.13,0.14,0.13,0.13,0
5FI,12 May 2005,0.14,0.14,0.14,0.14,20000
5FI,13 May 2005,0.14,0.14,0.13,0.13,74000
5FI,16 May 2005,0.13,0.14,0.13,0.13,833000
5FI,17 May 2005,0.12,0.14,0.12,0.12,0
5FI,18 May 2005,0.12,0.14,0.12,0.12,0
5FI,19 May 2005,0.13,0.13,0.13,0.13,50000
5FI,20 May 2005,0.13,0.13,0.13,0.13,5000
5FI,23 May 2005,0.13,0.13,0.13,0.13,0
5FI,24 May 2005,0.14,0.14,0.14,0.14,290000
5FI,25 May 2005,0.14,0.14,0.14,0.14,169000
5FI,26 May 2005,0.14,0.14,0.14,0.14,23000
5FI,27 May 2005,0.13,0.14,0.13,0.13,0
5FI,30 May 2005,0.13,0.13,0.13,0.13,180000
5FI,31 May 2005,0.12,0.14,0.12,0.12,0
5FI,01 Jun 2005,0.12,0.14,0.12,0.12,0
5FI,02 Jun 2005,0.12,0.14,0.12,0.12,0
5FI,03 Jun 2005,0.13,0.13,0.13,0.13,100000
5FI,06 Jun 2005,0.13,0.13,0.13,0.13,5000
5FI,07 Jun 2005,0.13,0.14,0.13,0.13,0
5FI,08 Jun 2005,0.14,0.14,0.13,0.14,237000
5FI,09 Jun 2005,0.14,0.14,0.14,0.14,200000
5FI,10 Jun 2005,0.14,0.14,0.14,0.14,168000
5FI,13 Jun 2005,0.14,0.14,0.13,0.14,325000
5FI,14 Jun 2005,0.14,0.14,0.14,0.14,50000
5FI,15 Jun 2005,0.13,0.14,0.13,0.13,0
5FI,16 Jun 2005,0.13,0.14,0.13,0.13,0
5FI,17 Jun 2005,0.14,0.14,0.13,0.13,245000
5FI,20 Jun 2005,0.13,0.13,0.12,0.13,278000
5FI,21 Jun 2005,0.12,0.13,0.12,0.12,0
5FI,22 Jun 2005,0.12,0.12,0.12,0.12,185000
5FI,23 Jun 2005,0.12,0.13,0.12,0.12,0
5FI,24 Jun 2005,0.12,0.13,0.12,0.12,0
5FI,27 Jun 2005,0.12,0.13,0.12,0.12,0
5FI,28 Jun 2005,0.12,0.14,0.12,0.12,0
5FI,29 Jun 2005,0.13,0.13,0.13,0.13,38000
5FI,30 Jun 2005,0.12,0.13,0.12,0.12,0
5FI,01 Jul 2005,0.12,0.12,0.12,0.12,100000
5FI,04 Jul 2005,0.12,0.13,0.12,0.12,0
5FI,05 Jul 2005,0.12,0.13,0.12,0.12,0
5FI,06 Jul 2005,0.12,0.13,0.12,0.12,0
5FI,07 Jul 2005,0.12,0.12,0.12,0.12,273000
5FI,08 Jul 2005,0.13,0.13,0.12,0.12,78000
5FI,11 Jul 2005,0.12,0.12,0.12,0.12,100000
5FI,12 Jul 2005,0.12,0.12,0.12,0.12,895000
5FI,13 Jul 2005,0.13,0.14,0.13,0.13,498000
5FI,14 Jul 2005,0.14,0.14,0.14,0.14,1616000
5FI,15 Jul 2005,0.14,0.14,0.14,0.14,460000
5FI,18 Jul 2005,0.14,0.14,0.14,0.14,214000
5FI,19 Jul 2005,0.14,0.14,0.14,0.14,88000
5FI,20 Jul 2005,0.14,0.14,0.14,0.14,0
5FI,21 Jul 2005,0.14,0.14,0.14,0.14,18000
5FI,22 Jul 2005,0.14,0.14,0.13,0.13,155000
5FI,25 Jul 2005,0.14,0.14,0.14,0.14,50000
5FI,26 Jul 2005,0.14,0.14,0.14,0.14,101000
5FI,27 Jul 2005,0.14,0.14,0.14,0.14,91000
5FI,28 Jul 2005,0.14,0.14,0.14,0.14,0
5FI,29 Jul 2005,0.14,0.14,0.14,0.14,0
5FI,01 Aug 2005,0.12,0.12,0.11,0.12,1084000
5FI,02 Aug 2005,0.12,0.12,0.12,0.12,243000
5FI,03 Aug 2005,0.11,0.11,0.1,0.1,528000
5FI,04 Aug 2005,0.09,0.1,0.09,0.09,345000
5FI,05 Aug 2005,0.1,0.1,0.09,0.09,440000
5FI,08 Aug 2005,0.09,0.09,0.09,0.09,50000
5FI,09 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,10 Aug 2005,0.09,0.1,0.09,0.09,0
5FI,11 Aug 2005,0.09,0.09,0.09,0.09,20000
5FI,12 Aug 2005,0.09,0.1,0.09,0.09,0
5FI,15 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,16 Aug 2005,0.09,0.09,0.09,0.09,354000
5FI,17 Aug 2005,0.09,0.09,0.09,0.09,47000
5FI,18 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,19 Aug 2005,0.09,0.09,0.09,0.09,40000
5FI,22 Aug 2005,0.09,0.09,0.09,0.09,10000
5FI,23 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,24 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,25 Aug 2005,0.09,0.09,0.09,0.09,0
5FI,26 Aug 2005,0.09,0.09,0.09,0.09,230000
5FI,29 Aug 2005,0.08,0.09,0.08,0.08,0
5FI,30 Aug 2005,0.09,0.09,0.07,0.07,60000
5FI,31 Aug 2005,0.09,0.09,0.09,0.09,110000
5FI,01 Sep 2005,0.08,0.09,0.08,0.08,0
5FI,02 Sep 2005,0.08,0.09,0.08,0.08,0
5FI,05 Sep 2005,0.08,0.09,0.08,0.08,0
5FI,06 Sep 2005,0.07,0.09,0.07,0.07,0
5FI,07 Sep 2005,0.08,0.09,0.08,0.08,0
5FI,08 Sep 2005,0.08,0.1,0.08,0.08,0
5FI,09 Sep 2005,0.08,0.1,0.08,0.08,0
5FI,12 Sep 2005,0.09,0.09,0.09,0.09,4000
5FI,13 Sep 2005,0.08,0.09,0.08,0.08,0
5FI,14 Sep 2005,0.09,0.09,0.09,0.09,30000
5FI,15 Sep 2005,0.09,0.09,0.09,0.09,20000
5FI,16 Sep 2005,0.09,0.09,0.09,0.09,18000
5FI,19 Sep 2005,0.09,0.09,0.09,0.09,0
5FI,20 Sep 2005,0.09,0.09,0.09,0.09,50000
