Symbol,Date,Open,High,Low,Close,Volume
5FL,03 Jan 2005,0.16,0.17,0.15,0.17,98000
5FL,04 Jan 2005,0.16,0.16,0.16,0.16,5000
5FL,05 Jan 2005,0.15,0.16,0.15,0.15,0
5FL,06 Jan 2005,0.15,0.16,0.15,0.15,0
5FL,07 Jan 2005,0.16,0.16,0.15,0.15,45000
5FL,10 Jan 2005,0.15,0.17,0.15,0.15,0
5FL,11 Jan 2005,0.16,0.17,0.16,0.17,40000
5FL,12 Jan 2005,0.17,0.17,0.17,0.17,1000
5FL,13 Jan 2005,0.16,0.16,0.16,0.16,30000
5FL,14 Jan 2005,0.15,0.17,0.15,0.17,55000
5FL,17 Jan 2005,0.16,0.16,0.16,0.16,40000
5FL,18 Jan 2005,0.17,0.17,0.17,0.17,95000
5FL,19 Jan 2005,0.17,0.18,0.17,0.18,222000
5FL,20 Jan 2005,0.17,0.17,0.17,0.17,0
5FL,21 Jan 2005,0.17,0.17,0.17,0.17,0
5FL,24 Jan 2005,0.17,0.17,0.17,0.17,3000
5FL,25 Jan 2005,0.17,0.17,0.17,0.17,12000
5FL,26 Jan 2005,0.17,0.17,0.17,0.17,0
5FL,27 Jan 2005,0.17,0.17,0.17,0.17,72000
5FL,28 Jan 2005,0.17,0.18,0.17,0.18,34000
5FL,31 Jan 2005,0.16,0.18,0.16,0.16,0
5FL,01 Feb 2005,0.16,0.18,0.16,0.16,0
5FL,02 Feb 2005,0.16,0.18,0.16,0.16,0
5FL,03 Feb 2005,0.18,0.19,0.18,0.19,103000
5FL,04 Feb 2005,0.16,0.18,0.16,0.16,0
5FL,07 Feb 2005,0.17,0.19,0.17,0.19,23000
5FL,08 Feb 2005,0.17,0.18,0.17,0.17,0
5FL,09 Feb 2005,0.185,0.185,0.185,0.185,0
5FL,10 Feb 2005,0.185,0.185,0.185,0.185,0
5FL,11 Feb 2005,0.17,0.17,0.17,0.17,0
5FL,14 Feb 2005,0.16,0.17,0.16,0.16,0
5FL,15 Feb 2005,0.17,0.18,0.17,0.18,38000
5FL,16 Feb 2005,0.18,0.18,0.18,0.18,0
5FL,17 Feb 2005,0.18,0.18,0.18,0.18,0
5FL,18 Feb 2005,0.18,0.18,0.18,0.18,0
5FL,21 Feb 2005,0.18,0.18,0.18,0.18,52000
5FL,22 Feb 2005,0.18,0.18,0.18,0.18,39000
5FL,23 Feb 2005,0.17,0.17,0.17,0.17,0
5FL,24 Feb 2005,0.17,0.17,0.17,0.17,0
5FL,25 Feb 2005,0.18,0.18,0.18,0.18,0
5FL,28 Feb 2005,0.17,0.17,0.17,0.17,0
5FL,01 Mar 2005,0.17,0.17,0.17,0.17,0
5FL,02 Mar 2005,0.17,0.17,0.17,0.17,0
5FL,03 Mar 2005,0.17,0.17,0.17,0.17,0
5FL,04 Mar 2005,0.15,0.17,0.15,0.15,0
5FL,07 Mar 2005,0.14,0.17,0.14,0.14,0
5FL,08 Mar 2005,0.15,0.16,0.15,0.15,0
5FL,09 Mar 2005,0.15,0.16,0.15,0.15,0
5FL,10 Mar 2005,0.17,0.17,0.17,0.17,14000
5FL,11 Mar 2005,0.1,0.17,0.1,0.1,0
5FL,14 Mar 2005,0.15,0.17,0.15,0.15,0
5FL,15 Mar 2005,0.05,0.17,0.05,0.05,0
5FL,16 Mar 2005,0.14,0.17,0.14,0.14,0
5FL,17 Mar 2005,0.14,0.17,0.14,0.14,0
5FL,18 Mar 2005,0.16,0.17,0.16,0.16,0
5FL,21 Mar 2005,0.14,0.17,0.14,0.17,44000
5FL,22 Mar 2005,0.12,0.16,0.12,0.12,0
5FL,23 Mar 2005,0.14,0.16,0.14,0.14,0
5FL,24 Mar 2005,0.15,0.17,0.15,0.15,0
5FL,25 Mar 2005,0.17,0.17,0.17,0.17,0
5FL,28 Mar 2005,0.14,0.15,0.14,0.14,0
5FL,29 Mar 2005,0.14,0.17,0.14,0.14,0
5FL,30 Mar 2005,0.14,0.17,0.14,0.14,0
5FL,31 Mar 2005,0.16,0.16,0.16,0.16,0
5FL,01 Apr 2005,0.09,0.17,0.09,0.09,0
5FL,04 Apr 2005,0.12,0.15,0.12,0.12,0
5FL,05 Apr 2005,0.14,0.17,0.14,0.17,6000
5FL,06 Apr 2005,0.14,0.17,0.14,0.14,0
5FL,07 Apr 2005,0.14,0.17,0.14,0.14,0
5FL,08 Apr 2005,0.14,0.17,0.14,0.14,0
5FL,11 Apr 2005,0.14,0.17,0.14,0.14,0
5FL,12 Apr 2005,0.14,0.17,0.14,0.14,0
5FL,13 Apr 2005,0.17,0.17,0.17,0.17,0
5FL,14 Apr 2005,0.1,0.17,0.1,0.1,0
5FL,15 Apr 2005,0.1,0.17,0.1,0.1,0
5FL,18 Apr 2005,0.1,0.16,0.1,0.1,0
5FL,19 Apr 2005,0.1,0.15,0.1,0.1,0
5FL,20 Apr 2005,0.16,0.16,0.16,0.16,0
5FL,21 Apr 2005,0.09,0.17,0.09,0.09,0
5FL,22 Apr 2005,0.09,0.14,0.09,0.09,0
5FL,25 Apr 2005,0.09,0.14,0.09,0.09,0
5FL,26 Apr 2005,0.17,0.17,0.17,0.17,0
5FL,27 Apr 2005,0.17,0.17,0.17,0.17,0
5FL,28 Apr 2005,0.1,0.17,0.1,0.1,0
5FL,29 Apr 2005,0.05,0.17,0.05,0.05,0
5FL,02 May 2005,0.05,0.05,0.05,0.05,0
5FL,03 May 2005,0.1,0.14,0.1,0.1,0
5FL,04 May 2005,0.09,0.17,0.09,0.09,0
5FL,05 May 2005,0.17,0.17,0.14,0.17,19000
5FL,06 May 2005,0.1,0.17,0.1,0.1,0
5FL,09 May 2005,0.17,0.17,0.17,0.17,0
5FL,10 May 2005,0.14,0.17,0.14,0.14,0
5FL,11 May 2005,0.16,0.16,0.16,0.16,0
5FL,12 May 2005,0.14,0.16,0.14,0.14,0
5FL,13 May 2005,0.1,0.16,0.1,0.1,0
5FL,16 May 2005,0.16,0.16,0.16,0.16,0
5FL,17 May 2005,0.16,0.16,0.16,0.16,0
5FL,18 May 2005,0.05,0.16,0.05,0.05,0
5FL,19 May 2005,0.16,0.16,0.16,0.16,10000
5FL,20 May 2005,0.14,0.14,0.14,0.14,3000
5FL,23 May 2005,0.135,0.135,0.135,0.135,0
5FL,24 May 2005,0.13,0.16,0.13,0.16,40000
5FL,25 May 2005,0.1,0.14,0.1,0.1,0
5FL,26 May 2005,0.09,0.14,0.09,0.09,0
5FL,27 May 2005,0.16,0.16,0.16,0.16,0
5FL,30 May 2005,0.17,0.17,0.17,0.17,0
5FL,31 May 2005,0.13,0.15,0.13,0.13,0
5FL,01 Jun 2005,0.15,0.15,0.15,0.15,0
5FL,02 Jun 2005,0.09,0.15,0.09,0.09,0
5FL,03 Jun 2005,0.15,0.15,0.15,0.15,0
5FL,06 Jun 2005,0.16,0.16,0.16,0.16,0
5FL,07 Jun 2005,0.13,0.13,0.13,0.13,20000
5FL,08 Jun 2005,0.1,0.12,0.1,0.1,0
5FL,09 Jun 2005,0.1,0.11,0.1,0.1,0
5FL,10 Jun 2005,0.12,0.12,0.12,0.12,24000
5FL,13 Jun 2005,0.12,0.16,0.12,0.16,24000
5FL,14 Jun 2005,0.12,0.16,0.12,0.12,0
5FL,15 Jun 2005,0.13,0.16,0.13,0.13,0
5FL,16 Jun 2005,0.12,0.16,0.12,0.12,0
5FL,17 Jun 2005,0.12,0.16,0.12,0.12,0
5FL,20 Jun 2005,0.12,0.14,0.12,0.14,11000
5FL,21 Jun 2005,0.14,0.14,0.14,0.14,0
5FL,22 Jun 2005,0.12,0.14,0.12,0.12,0
5FL,23 Jun 2005,0.12,0.14,0.12,0.12,0
5FL,24 Jun 2005,0.09,0.15,0.09,0.09,0
5FL,27 Jun 2005,0.12,0.15,0.12,0.12,0
5FL,28 Jun 2005,0.12,0.14,0.12,0.12,0
5FL,29 Jun 2005,0.12,0.15,0.12,0.12,0
5FL,30 Jun 2005,0.12,0.14,0.12,0.12,0
5FL,01 Jul 2005,0.14,0.14,0.14,0.14,0
5FL,04 Jul 2005,0.09,0.15,0.09,0.09,0
5FL,05 Jul 2005,0.12,0.14,0.12,0.12,0
5FL,06 Jul 2005,0.15,0.15,0.15,0.15,0
5FL,07 Jul 2005,0.09,0.15,0.09,0.09,0
5FL,08 Jul 2005,0.12,0.15,0.12,0.12,0
5FL,11 Jul 2005,0.09,0.15,0.09,0.09,0
5FL,12 Jul 2005,0.09,0.15,0.09,0.09,0
5FL,13 Jul 2005,0.15,0.15,0.15,0.15,0
5FL,14 Jul 2005,0.12,0.15,0.12,0.15,40000
5FL,15 Jul 2005,0.05,0.15,0.05,0.05,0
5FL,18 Jul 2005,0.14,0.14,0.14,0.14,0
5FL,19 Jul 2005,0.12,0.14,0.12,0.12,0
5FL,20 Jul 2005,0.12,0.14,0.12,0.12,0
5FL,21 Jul 2005,0.15,0.15,0.12,0.12,69000
5FL,22 Jul 2005,0.12,0.12,0.12,0.12,35000
5FL,25 Jul 2005,0.13,0.13,0.13,0.13,10000
5FL,26 Jul 2005,0.1,0.13,0.1,0.1,0
5FL,27 Jul 2005,0.12,0.13,0.12,0.12,0
5FL,28 Jul 2005,0.1,0.14,0.1,0.1,0
5FL,29 Jul 2005,0.1,0.14,0.1,0.1,0
5FL,01 Aug 2005,0.1,0.13,0.1,0.1,0
5FL,02 Aug 2005,0.1,0.14,0.1,0.1,0
5FL,03 Aug 2005,0.1,0.13,0.1,0.1,0
5FL,04 Aug 2005,0.1,0.14,0.1,0.1,0
5FL,05 Aug 2005,0.1,0.13,0.1,0.13,15000
5FL,08 Aug 2005,0.08,0.14,0.08,0.08,0
5FL,09 Aug 2005,0.08,0.08,0.08,0.08,0
5FL,10 Aug 2005,0.1,0.13,0.1,0.1,0
5FL,11 Aug 2005,0.1,0.13,0.1,0.1,0
5FL,12 Aug 2005,0.14,0.16,0.14,0.16,127000
5FL,15 Aug 2005,0.13,0.13,0.12,0.12,55000
5FL,16 Aug 2005,0.11,0.13,0.11,0.13,82000
5FL,17 Aug 2005,0.12,0.13,0.12,0.12,0
5FL,18 Aug 2005,0.11,0.13,0.11,0.13,18000
5FL,19 Aug 2005,0.12,0.14,0.12,0.12,0
5FL,22 Aug 2005,0.1,0.14,0.1,0.1,0
5FL,23 Aug 2005,0.11,0.13,0.11,0.13,35000
5FL,24 Aug 2005,0.11,0.14,0.11,0.11,0
5FL,25 Aug 2005,0.12,0.13,0.12,0.13,22000
5FL,26 Aug 2005,0.12,0.13,0.12,0.13,25000
5FL,29 Aug 2005,0.12,0.14,0.12,0.12,0
5FL,30 Aug 2005,0.11,0.14,0.11,0.11,0
5FL,31 Aug 2005,0.12,0.14,0.12,0.12,0
5FL,01 Sep 2005,0.11,0.14,0.11,0.11,0
5FL,02 Sep 2005,0.11,0.13,0.11,0.13,55000
5FL,05 Sep 2005,0.12,0.14,0.12,0.12,0
5FL,06 Sep 2005,0.12,0.14,0.12,0.12,0
5FL,07 Sep 2005,0.11,0.14,0.11,0.11,0
5FL,08 Sep 2005,0.11,0.14,0.11,0.11,0
5FL,09 Sep 2005,0.12,0.14,0.12,0.12,0
5FL,12 Sep 2005,0.12,0.14,0.12,0.12,0
5FL,13 Sep 2005,0.12,0.14,0.12,0.12,0
5FL,14 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,15 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,16 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,19 Sep 2005,0.12,0.16,0.12,0.12,0
5FL,20 Sep 2005,0.11,0.11,0.11,0.11,0
5FL,21 Sep 2005,0.11,0.16,0.11,0.11,0
5FL,22 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,23 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,26 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,27 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,28 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,29 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,30 Sep 2005,0.12,0.15,0.12,0.12,0
5FL,03 Oct 2005,0.11,0.15,0.11,0.11,0
5FL,04 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,05 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,06 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,07 Oct 2005,0.1,0.15,0.1,0.1,0
5FL,10 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,11 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,12 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,13 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,14 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,17 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,18 Oct 2005,0.08,0.15,0.08,0.08,0
5FL,19 Oct 2005,0.08,0.08,0.08,0.08,0
5FL,20 Oct 2005,0.09,0.13,0.09,0.09,0
5FL,21 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,24 Oct 2005,0.11,0.14,0.11,0.11,0
5FL,25 Oct 2005,0.11,0.16,0.11,0.11,0
5FL,26 Oct 2005,0.11,0.16,0.11,0.11,0
5FL,27 Oct 2005,0.1,0.16,0.1,0.1,0
5FL,28 Oct 2005,0.16,0.16,0.16,0.16,0
5FL,31 Oct 2005,0.1,0.15,0.1,0.1,0
5FL,01 Nov 2005,0.13,0.13,0.13,0.13,0
5FL,02 Nov 2005,0.1,0.15,0.1,0.1,0
5FL,03 Nov 2005,0.13,0.13,0.13,0.13,0
5FL,04 Nov 2005,0.1,0.15,0.1,0.1,0
5FL,07 Nov 2005,0.1,0.16,0.1,0.1,0
5FL,08 Nov 2005,0.1,0.1,0.1,0.1,0
5FL,09 Nov 2005,0.1,0.1,0.1,0.1,0
5FL,10 Nov 2005,0.1,0.15,0.1,0.1,0
5FL,11 Nov 2005,0.1,0.14,0.1,0.1,0
5FL,14 Nov 2005,0.1,0.16,0.1,0.1,0
5FL,15 Nov 2005,0.09,0.16,0.09,0.09,0
5FL,16 Nov 2005,0.1,0.14,0.1,0.1,0
5FL,17 Nov 2005,0.1,0.14,0.1,0.1,0
5FL,18 Nov 2005,0.1,0.14,0.1,0.1,0
5FL,21 Nov 2005,0.1,0.14,0.1,0.1,0
5FL,22 Nov 2005,0.13,0.13,0.13,0.13,2000
5FL,23 Nov 2005,0.1,0.15,0.1,0.1,0
5FL,24 Nov 2005,0.08,0.14,0.08,0.08,0
5FL,25 Nov 2005,0.07,0.14,0.07,0.07,0
5FL,28 Nov 2005,0.14,0.14,0.14,0.14,0
5FL,29 Nov 2005,0.13,0.13,0.13,0.13,0
5FL,30 Nov 2005,0.13,0.13,0.13,0.13,0
5FL,01 Dec 2005,0.14,0.14,0.14,0.14,0
5FL,02 Dec 2005,0.14,0.14,0.14,0.14,0
5FL,05 Dec 2005,0.1,0.14,0.1,0.1,0
5FL,06 Dec 2005,0.1,0.14,0.1,0.1,0
5FL,07 Dec 2005,0.16,0.16,0.16,0.16,0
5FL,08 Dec 2005,0.1,0.16,0.1,0.1,0
5FL,09 Dec 2005,0.15,0.15,0.15,0.15,0
5FL,12 Dec 2005,0.1,0.16,0.1,0.1,0
5FL,13 Dec 2005,0.1,0.14,0.1,0.1,0
5FL,14 Dec 2005,0.1,0.1,0.1,0.1,2000
5FL,15 Dec 2005,0.08,0.13,0.08,0.08,0
