Symbol,Date,Open,High,Low,Close,Volume
5FQ,03 Jan 2005,0.22,0.22,0.22,0.22,2000
5FQ,04 Jan 2005,0.22,0.23,0.22,0.23,74000
5FQ,05 Jan 2005,0.22,0.22,0.22,0.22,20000
5FQ,06 Jan 2005,0.22,0.22,0.22,0.22,4000
5FQ,07 Jan 2005,0.22,0.23,0.22,0.22,0
5FQ,10 Jan 2005,0.22,0.22,0.22,0.22,75000
5FQ,11 Jan 2005,0.22,0.22,0.22,0.22,157000
5FQ,12 Jan 2005,0.22,0.23,0.22,0.22,0
5FQ,13 Jan 2005,0.22,0.23,0.22,0.22,0
5FQ,14 Jan 2005,0.22,0.22,0.22,0.22,5000
5FQ,17 Jan 2005,0.23,0.23,0.23,0.23,11000
5FQ,18 Jan 2005,0.23,0.23,0.22,0.22,160000
5FQ,19 Jan 2005,0.23,0.23,0.23,0.23,314000
5FQ,20 Jan 2005,0.23,0.23,0.23,0.23,1010000
5FQ,21 Jan 2005,0.23,0.23,0.23,0.23,0
5FQ,24 Jan 2005,0.23,0.23,0.23,0.23,42000
5FQ,25 Jan 2005,0.23,0.23,0.22,0.22,19000
5FQ,26 Jan 2005,0.22,0.22,0.22,0.22,6000
5FQ,27 Jan 2005,0.22,0.23,0.22,0.22,33000
5FQ,28 Jan 2005,0.23,0.23,0.22,0.22,111000
5FQ,31 Jan 2005,0.22,0.23,0.22,0.22,0
5FQ,01 Feb 2005,0.22,0.23,0.22,0.23,11000
5FQ,02 Feb 2005,0.22,0.22,0.22,0.22,155000
5FQ,03 Feb 2005,0.22,0.23,0.22,0.22,0
5FQ,04 Feb 2005,0.22,0.22,0.22,0.22,63000
5FQ,07 Feb 2005,0.22,0.22,0.22,0.22,50000
5FQ,08 Feb 2005,0.22,0.22,0.22,0.22,0
5FQ,09 Feb 2005,0.225,0.225,0.225,0.225,0
5FQ,10 Feb 2005,0.225,0.225,0.225,0.225,0
5FQ,11 Feb 2005,0.22,0.22,0.22,0.22,10000
5FQ,14 Feb 2005,0.22,0.23,0.22,0.22,53000
5FQ,15 Feb 2005,0.22,0.22,0.22,0.22,2000
5FQ,16 Feb 2005,0.22,0.22,0.22,0.22,4000
5FQ,17 Feb 2005,0.22,0.22,0.22,0.22,3000
5FQ,18 Feb 2005,0.22,0.22,0.22,0.22,1000
5FQ,21 Feb 2005,0.23,0.23,0.23,0.23,203000
5FQ,22 Feb 2005,0.23,0.23,0.23,0.23,459000
5FQ,23 Feb 2005,0.23,0.23,0.23,0.23,57000
5FQ,24 Feb 2005,0.23,0.24,0.23,0.24,48000
5FQ,25 Feb 2005,0.23,0.23,0.22,0.22,159000
5FQ,28 Feb 2005,0.23,0.23,0.23,0.23,90000
5FQ,01 Mar 2005,0.23,0.23,0.22,0.22,131000
5FQ,02 Mar 2005,0.22,0.23,0.2,0.23,113000
5FQ,03 Mar 2005,0.22,0.23,0.22,0.22,0
5FQ,04 Mar 2005,0.22,0.22,0.22,0.22,4000
5FQ,07 Mar 2005,0.22,0.22,0.22,0.22,25000
5FQ,08 Mar 2005,0.22,0.22,0.22,0.22,97000
5FQ,09 Mar 2005,0.22,0.22,0.22,0.22,0
5FQ,10 Mar 2005,0.22,0.22,0.22,0.22,119000
5FQ,11 Mar 2005,0.22,0.22,0.22,0.22,100000
5FQ,14 Mar 2005,0.22,0.22,0.22,0.22,10000
5FQ,15 Mar 2005,0.22,0.23,0.22,0.23,54000
5FQ,16 Mar 2005,0.23,0.23,0.23,0.23,230000
5FQ,17 Mar 2005,0.23,0.23,0.23,0.23,20000
5FQ,18 Mar 2005,0.23,0.23,0.23,0.23,0
5FQ,21 Mar 2005,0.23,0.23,0.23,0.23,32000
5FQ,22 Mar 2005,0.22,0.22,0.22,0.22,2000
5FQ,23 Mar 2005,0.22,0.23,0.22,0.22,0
5FQ,24 Mar 2005,0.22,0.23,0.22,0.22,0
5FQ,25 Mar 2005,0.225,0.225,0.225,0.225,0
5FQ,28 Mar 2005,0.22,0.23,0.22,0.22,17000
5FQ,29 Mar 2005,0.22,0.23,0.22,0.22,0
5FQ,30 Mar 2005,0.22,0.22,0.22,0.22,2000
5FQ,31 Mar 2005,0.22,0.23,0.22,0.22,0
