Symbol,Date,Open,High,Low,Close,Volume
5FR,03 Jan 2005,0.17,0.17,0.17,0.17,328000
5FR,04 Jan 2005,0.17,0.17,0.17,0.17,329000
5FR,05 Jan 2005,0.16,0.17,0.16,0.17,60000
5FR,06 Jan 2005,0.17,0.17,0.17,0.17,240000
5FR,07 Jan 2005,0.17,0.17,0.17,0.17,105000
5FR,10 Jan 2005,0.17,0.17,0.17,0.17,102000
5FR,11 Jan 2005,0.17,0.17,0.17,0.17,80000
5FR,12 Jan 2005,0.17,0.17,0.17,0.17,95000
5FR,13 Jan 2005,0.17,0.17,0.17,0.17,256000
5FR,14 Jan 2005,0.17,0.17,0.16,0.16,151000
5FR,17 Jan 2005,0.17,0.17,0.17,0.17,440000
5FR,18 Jan 2005,0.17,0.17,0.17,0.17,90000
5FR,19 Jan 2005,0.17,0.17,0.17,0.17,146000
5FR,20 Jan 2005,0.17,0.17,0.17,0.17,45000
5FR,21 Jan 2005,0.17,0.17,0.17,0.17,0
5FR,24 Jan 2005,0.17,0.17,0.17,0.17,44000
5FR,25 Jan 2005,0.16,0.17,0.16,0.17,104000
5FR,26 Jan 2005,0.17,0.17,0.16,0.17,60000
5FR,27 Jan 2005,0.17,0.17,0.16,0.16,176000
5FR,28 Jan 2005,0.16,0.17,0.16,0.17,84000
5FR,31 Jan 2005,0.17,0.17,0.17,0.17,86000
5FR,01 Feb 2005,0.17,0.17,0.17,0.17,10000
5FR,02 Feb 2005,0.17,0.17,0.17,0.17,10000
5FR,03 Feb 2005,0.16,0.17,0.16,0.16,0
5FR,04 Feb 2005,0.16,0.17,0.16,0.17,55000
5FR,07 Feb 2005,0.16,0.17,0.16,0.17,63000
5FR,08 Feb 2005,0.14,0.14,0.14,0.14,10000
5FR,09 Feb 2005,0.14,0.14,0.14,0.14,0
5FR,10 Feb 2005,0.14,0.14,0.14,0.14,0
5FR,11 Feb 2005,0.15,0.18,0.15,0.15,0
5FR,14 Feb 2005,0.15,0.17,0.15,0.15,0
5FR,15 Feb 2005,0.16,0.16,0.15,0.16,70000
5FR,16 Feb 2005,0.16,0.17,0.15,0.17,55000
5FR,17 Feb 2005,0.14,0.16,0.14,0.14,0
5FR,18 Feb 2005,0.14,0.17,0.14,0.14,0
5FR,21 Feb 2005,0.16,0.16,0.15,0.16,19000
5FR,22 Feb 2005,0.16,0.16,0.16,0.16,96000
5FR,23 Feb 2005,0.15,0.16,0.15,0.16,51000
5FR,24 Feb 2005,0.14,0.17,0.14,0.14,0
5FR,25 Feb 2005,0.14,0.14,0.14,0.14,50000
5FR,28 Feb 2005,0.15,0.16,0.15,0.15,0
5FR,01 Mar 2005,0.14,0.14,0.14,0.14,15000
5FR,02 Mar 2005,0.14,0.14,0.14,0.14,2000
5FR,03 Mar 2005,0.14,0.16,0.14,0.14,0
5FR,04 Mar 2005,0.14,0.14,0.14,0.14,5000
