Symbol,Date,Open,High,Low,Close,Volume
5FX,03 Jan 2005,0.24,0.24,0.23,0.23,215000
5FX,04 Jan 2005,0.23,0.24,0.23,0.24,234000
5FX,05 Jan 2005,0.23,0.24,0.23,0.24,225000
5FX,06 Jan 2005,0.23,0.24,0.23,0.24,563500
5FX,07 Jan 2005,0.24,0.24,0.24,0.24,259000
5FX,10 Jan 2005,0.24,0.25,0.24,0.25,200000
5FX,11 Jan 2005,0.24,0.25,0.24,0.25,440000
5FX,12 Jan 2005,0.24,0.24,0.24,0.24,188500
5FX,13 Jan 2005,0.25,0.26,0.25,0.26,710000
5FX,14 Jan 2005,0.25,0.27,0.25,0.26,904000
5FX,17 Jan 2005,0.26,0.26,0.25,0.26,643500
5FX,18 Jan 2005,0.26,0.27,0.26,0.27,171000
5FX,19 Jan 2005,0.27,0.27,0.26,0.27,313500
5FX,20 Jan 2005,0.28,0.28,0.26,0.26,624500
5FX,21 Jan 2005,0.26,0.26,0.26,0.26,0
5FX,24 Jan 2005,0.26,0.27,0.26,0.27,405000
5FX,25 Jan 2005,0.26,0.26,0.26,0.26,454000
5FX,26 Jan 2005,0.26,0.26,0.26,0.26,114500
5FX,27 Jan 2005,0.26,0.26,0.26,0.26,200000
5FX,28 Jan 2005,0.26,0.26,0.26,0.26,268500
5FX,31 Jan 2005,0.26,0.26,0.25,0.25,319500
5FX,01 Feb 2005,0.26,0.26,0.26,0.26,237500
5FX,02 Feb 2005,0.26,0.26,0.26,0.26,174000
5FX,03 Feb 2005,0.26,0.26,0.26,0.26,150000
5FX,04 Feb 2005,0.26,0.26,0.25,0.25,105000
5FX,07 Feb 2005,0.26,0.26,0.26,0.26,175000
5FX,08 Feb 2005,0.26,0.26,0.26,0.26,295000
5FX,09 Feb 2005,0.26,0.26,0.26,0.26,0
5FX,10 Feb 2005,0.26,0.26,0.26,0.26,0
5FX,11 Feb 2005,0.26,0.26,0.26,0.26,137500
5FX,14 Feb 2005,0.25,0.26,0.25,0.26,332500
5FX,15 Feb 2005,0.26,0.26,0.26,0.26,97000
5FX,16 Feb 2005,0.26,0.26,0.26,0.26,103000
5FX,17 Feb 2005,0.26,0.26,0.26,0.26,366000
5FX,18 Feb 2005,0.26,0.27,0.26,0.27,159500
5FX,21 Feb 2005,0.27,0.27,0.25,0.26,2065000
5FX,22 Feb 2005,0.25,0.26,0.25,0.25,1449500
5FX,23 Feb 2005,0.25,0.26,0.25,0.25,785000
5FX,24 Feb 2005,0.12,0.14,0.12,0.14,3647000
5FX,25 Feb 2005,0.2,0.22,0.2,0.22,883000
5FX,28 Feb 2005,0.21,0.22,0.21,0.22,1247000
