Symbol,Date,Open,High,Low,Close,Volume
5GI,03 Jan 2005,0.62,0.65,0.6,0.62,706000
5GI,04 Jan 2005,0.62,0.62,0.6,0.6,351800
5GI,05 Jan 2005,0.6,0.62,0.6,0.6,520000
5GI,06 Jan 2005,0.6,0.65,0.6,0.62,771000
5GI,07 Jan 2005,0.62,0.65,0.6,0.6,505200
5GI,10 Jan 2005,0.62,0.62,0.6,0.6,407400
5GI,11 Jan 2005,0.62,0.62,0.62,0.62,369000
5GI,12 Jan 2005,0.62,0.62,0.6,0.6,325600
5GI,13 Jan 2005,0.62,0.62,0.6,0.62,309200
5GI,14 Jan 2005,0.62,0.62,0.62,0.62,413200
5GI,17 Jan 2005,0.65,0.65,0.62,0.62,534000
5GI,18 Jan 2005,0.65,0.7,0.65,0.68,3853600
5GI,19 Jan 2005,0.68,0.68,0.65,0.68,413600
5GI,20 Jan 2005,0.65,0.68,0.65,0.65,314200
5GI,21 Jan 2005,0.65,0.65,0.65,0.65,0
5GI,24 Jan 2005,0.65,0.65,0.62,0.62,337400
5GI,25 Jan 2005,0.62,0.62,0.62,0.62,710600
5GI,26 Jan 2005,0.62,0.62,0.62,0.62,484400
5GI,27 Jan 2005,0.62,0.62,0.6,0.6,344200
5GI,28 Jan 2005,0.6,0.62,0.6,0.62,109400
5GI,31 Jan 2005,0.62,0.62,0.6,0.6,183000
5GI,01 Feb 2005,0.62,0.62,0.6,0.6,284800
5GI,02 Feb 2005,0.6,0.6,0.6,0.6,582600
5GI,03 Feb 2005,0.6,0.6,0.57,0.6,216200
5GI,04 Feb 2005,0.57,0.6,0.57,0.57,381200
5GI,07 Feb 2005,0.57,0.6,0.57,0.57,244000
5GI,08 Feb 2005,0.57,0.57,0.57,0.57,90000
5GI,09 Feb 2005,0.57,0.57,0.57,0.57,0
5GI,10 Feb 2005,0.57,0.57,0.57,0.57,0
5GI,11 Feb 2005,0.57,0.6,0.57,0.57,802400
5GI,14 Feb 2005,0.57,0.6,0.57,0.6,239800
5GI,15 Feb 2005,0.57,0.57,0.57,0.57,180200
5GI,16 Feb 2005,0.57,0.6,0.57,0.57,256400
5GI,17 Feb 2005,0.57,0.57,0.55,0.57,442400
5GI,18 Feb 2005,0.57,0.57,0.55,0.55,143000
