Symbol,Date,Open,High,Low,Close,Volume
E23,03 Jan 2005,0.23,0.26,0.23,0.26,1230000
E23,04 Jan 2005,0.25,0.27,0.25,0.27,1243000
E23,05 Jan 2005,0.27,0.28,0.26,0.28,1146000
E23,06 Jan 2005,0.26,0.27,0.25,0.26,813000
E23,07 Jan 2005,0.26,0.28,0.26,0.28,867000
E23,10 Jan 2005,0.28,0.28,0.27,0.28,1100000
E23,11 Jan 2005,0.28,0.28,0.28,0.28,1114000
E23,12 Jan 2005,0.28,0.28,0.28,0.28,1866000
E23,13 Jan 2005,0.28,0.29,0.28,0.29,1007000
E23,14 Jan 2005,0.28,0.3,0.28,0.29,1601000
E23,17 Jan 2005,0.29,0.31,0.29,0.31,1672000
E23,18 Jan 2005,0.31,0.31,0.29,0.31,3365000
E23,19 Jan 2005,0.31,0.31,0.3,0.31,1763000
E23,20 Jan 2005,0.3,0.31,0.3,0.31,445000
E23,21 Jan 2005,0.31,0.31,0.31,0.31,0
E23,24 Jan 2005,0.3,0.3,0.28,0.28,742000
E23,25 Jan 2005,0.28,0.28,0.28,0.28,485000
E23,26 Jan 2005,0.28,0.29,0.28,0.28,365000
E23,27 Jan 2005,0.28,0.28,0.26,0.26,610000
E23,28 Jan 2005,0.26,0.28,0.26,0.27,477000
E23,31 Jan 2005,0.28,0.28,0.28,0.28,265000
E23,01 Feb 2005,0.28,0.28,0.27,0.27,257000
E23,02 Feb 2005,0.27,0.27,0.26,0.26,245000
E23,03 Feb 2005,0.27,0.27,0.26,0.26,189000
E23,04 Feb 2005,0.26,0.26,0.26,0.26,125000
E23,07 Feb 2005,0.26,0.26,0.26,0.26,45000
E23,08 Feb 2005,0.26,0.26,0.26,0.26,65000
E23,09 Feb 2005,0.26,0.26,0.26,0.26,0
E23,10 Feb 2005,0.26,0.26,0.26,0.26,0
E23,11 Feb 2005,0.26,0.26,0.26,0.26,37000
E23,14 Feb 2005,0.26,0.26,0.26,0.26,287000
E23,15 Feb 2005,0.26,0.26,0.26,0.26,55000
E23,16 Feb 2005,0.27,0.28,0.27,0.28,70000
E23,17 Feb 2005,0.28,0.28,0.27,0.28,81000
E23,18 Feb 2005,0.26,0.26,0.26,0.26,19000
E23,21 Feb 2005,0.28,0.28,0.28,0.28,40000
E23,22 Feb 2005,0.26,0.26,0.26,0.26,70000
E23,23 Feb 2005,0.26,0.26,0.25,0.25,72000
E23,24 Feb 2005,0.26,0.26,0.25,0.25,255000
E23,25 Feb 2005,0.25,0.25,0.25,0.25,71000
E23,28 Feb 2005,0.25,0.25,0.25,0.25,224000
E23,01 Mar 2005,0.25,0.25,0.23,0.23,186000
E23,02 Mar 2005,0.23,0.24,0.23,0.24,95000
E23,03 Mar 2005,0.24,0.24,0.23,0.23,70000
E23,04 Mar 2005,0.24,0.24,0.24,0.24,40000
E23,07 Mar 2005,0.25,0.25,0.24,0.25,207000
E23,08 Mar 2005,0.25,0.25,0.23,0.23,96000
E23,09 Mar 2005,0.23,0.24,0.23,0.24,78000
E23,10 Mar 2005,0.24,0.24,0.23,0.23,39000
E23,11 Mar 2005,0.23,0.23,0.23,0.23,10000
E23,14 Mar 2005,0.23,0.23,0.23,0.23,103000
E23,15 Mar 2005,0.23,0.23,0.23,0.23,83000
E23,16 Mar 2005,0.22,0.23,0.22,0.23,38000
E23,17 Mar 2005,0.22,0.22,0.22,0.22,255000
