Symbol,Date,Open,High,Low,Close,Volume
F11,03 Jan 2005,0.37,0.38,0.37,0.38,3066000
F11,04 Jan 2005,0.38,0.4,0.38,0.4,4183000
F11,05 Jan 2005,0.39,0.41,0.39,0.4,3227000
F11,06 Jan 2005,0.41,0.42,0.4,0.41,13943000
F11,07 Jan 2005,0.41,0.41,0.4,0.4,5384000
F11,10 Jan 2005,0.39,0.4,0.39,0.39,1086000
F11,11 Jan 2005,0.39,0.41,0.39,0.41,6888000
F11,12 Jan 2005,0.41,0.41,0.39,0.4,3724000
F11,13 Jan 2005,0.4,0.41,0.4,0.4,2964000
F11,14 Jan 2005,0.41,0.43,0.4,0.42,16574000
F11,17 Jan 2005,0.43,0.44,0.42,0.42,6677000
F11,18 Jan 2005,0.43,0.45,0.41,0.44,19648000
F11,19 Jan 2005,0.44,0.46,0.44,0.46,18451000
F11,20 Jan 2005,0.45,0.46,0.44,0.44,4423000
F11,21 Jan 2005,0.44,0.44,0.44,0.44,0
F11,24 Jan 2005,0.44,0.44,0.41,0.43,4226000
F11,25 Jan 2005,0.42,0.43,0.4,0.41,6128000
F11,26 Jan 2005,0.41,0.44,0.41,0.43,8030000
F11,27 Jan 2005,0.43,0.43,0.41,0.41,7463000
F11,28 Jan 2005,0.41,0.43,0.41,0.41,4088000
F11,31 Jan 2005,0.41,0.43,0.41,0.41,2183000
F11,01 Feb 2005,0.42,0.42,0.41,0.41,2029000
F11,02 Feb 2005,0.41,0.41,0.41,0.41,1687000
F11,03 Feb 2005,0.41,0.41,0.4,0.4,2587000
F11,04 Feb 2005,0.4,0.41,0.39,0.4,2551000
F11,07 Feb 2005,0.4,0.4,0.38,0.38,1023000
F11,08 Feb 2005,0.38,0.4,0.38,0.4,1482000
F11,09 Feb 2005,0.4,0.4,0.4,0.4,0
F11,10 Feb 2005,0.4,0.4,0.4,0.4,0
F11,11 Feb 2005,0.4,0.41,0.4,0.4,1623000
F11,14 Feb 2005,0.4,0.41,0.4,0.41,3251000
F11,15 Feb 2005,0.42,0.42,0.41,0.41,3471000
F11,16 Feb 2005,0.41,0.42,0.41,0.41,2367000
F11,17 Feb 2005,0.41,0.41,0.4,0.41,2487000
F11,18 Feb 2005,0.41,0.41,0.4,0.41,1185000
F11,21 Feb 2005,0.4,0.4,0.4,0.4,994000
F11,22 Feb 2005,0.4,0.41,0.38,0.38,3316000
F11,23 Feb 2005,0.38,0.39,0.38,0.38,1421000
F11,24 Feb 2005,0.38,0.39,0.38,0.39,777000
F11,25 Feb 2005,0.39,0.4,0.38,0.38,1407000
F11,28 Feb 2005,0.38,0.38,0.38,0.38,613000
F11,01 Mar 2005,0.38,0.38,0.37,0.38,595000
F11,02 Mar 2005,0.38,0.38,0.38,0.38,1198000
F11,03 Mar 2005,0.38,0.38,0.37,0.38,1407000
F11,04 Mar 2005,0.39,0.4,0.38,0.38,2404000
F11,07 Mar 2005,0.39,0.4,0.38,0.4,2838000
F11,08 Mar 2005,0.4,0.4,0.38,0.38,1052000
F11,09 Mar 2005,0.38,0.38,0.38,0.38,922000
F11,10 Mar 2005,0.38,0.38,0.38,0.38,650000
F11,11 Mar 2005,0.38,0.38,0.38,0.38,467000
F11,14 Mar 2005,0.38,0.38,0.37,0.37,642000
F11,15 Mar 2005,0.38,0.38,0.37,0.37,679000
F11,16 Mar 2005,0.37,0.38,0.37,0.37,577000
F11,17 Mar 2005,0.37,0.37,0.37,0.37,466000
F11,18 Mar 2005,0.37,0.37,0.37,0.37,422000
F11,21 Mar 2005,0.37,0.37,0.36,0.37,874000
F11,22 Mar 2005,0.36,0.36,0.34,0.34,3978000
F11,23 Mar 2005,0.34,0.34,0.34,0.34,962000
F11,24 Mar 2005,0.34,0.35,0.34,0.35,392000
F11,25 Mar 2005,0.35,0.35,0.35,0.35,0
F11,28 Mar 2005,0.35,0.35,0.35,0.35,375000
F11,29 Mar 2005,0.35,0.35,0.34,0.35,676000
F11,30 Mar 2005,0.35,0.37,0.35,0.36,1333000
F11,31 Mar 2005,0.36,0.36,0.35,0.35,126000
F11,01 Apr 2005,0.35,0.36,0.35,0.36,97000
F11,04 Apr 2005,0.35,0.35,0.35,0.35,350000
F11,05 Apr 2005,0.35,0.37,0.35,0.37,1111000
F11,06 Apr 2005,0.37,0.37,0.37,0.37,676000
F11,07 Apr 2005,0.38,0.38,0.37,0.38,1242000
F11,08 Apr 2005,0.38,0.39,0.38,0.38,1960000
F11,11 Apr 2005,0.38,0.38,0.38,0.38,1544000
F11,12 Apr 2005,0.38,0.38,0.38,0.38,1112000
F11,13 Apr 2005,0.38,0.38,0.37,0.38,756000
F11,14 Apr 2005,0.37,0.37,0.37,0.37,1272000
F11,15 Apr 2005,0.37,0.37,0.35,0.37,1705000
F11,18 Apr 2005,0.37,0.37,0.35,0.36,975000
F11,19 Apr 2005,0.36,0.37,0.35,0.36,468000
F11,20 Apr 2005,0.37,0.37,0.36,0.36,480000
F11,21 Apr 2005,0.36,0.37,0.36,0.37,216000
F11,22 Apr 2005,0.37,0.37,0.36,0.36,105000
F11,25 Apr 2005,0.36,0.37,0.35,0.37,701000
F11,26 Apr 2005,0.36,0.37,0.36,0.36,891000
F11,27 Apr 2005,0.36,0.37,0.36,0.37,219000
F11,28 Apr 2005,0.37,0.37,0.37,0.37,70000
F11,29 Apr 2005,0.37,0.37,0.37,0.37,300000
F11,02 May 2005,0.37,0.37,0.37,0.37,0
F11,03 May 2005,0.37,0.37,0.37,0.37,624000
F11,04 May 2005,0.37,0.37,0.37,0.37,291000
F11,05 May 2005,0.37,0.37,0.37,0.37,203000
F11,06 May 2005,0.37,0.38,0.37,0.38,982000
F11,09 May 2005,0.38,0.38,0.37,0.37,880000
F11,10 May 2005,0.37,0.37,0.37,0.37,230000
F11,11 May 2005,0.37,0.37,0.37,0.37,169000
F11,12 May 2005,0.37,0.38,0.37,0.38,403000
F11,13 May 2005,0.37,0.37,0.37,0.37,560000
F11,16 May 2005,0.37,0.37,0.36,0.37,381000
F11,17 May 2005,0.37,0.37,0.35,0.35,404000
F11,18 May 2005,0.36,0.36,0.35,0.35,263000
F11,19 May 2005,0.36,0.38,0.36,0.38,5835000
F11,20 May 2005,0.38,0.38,0.37,0.38,730000
F11,23 May 2005,0.38,0.38,0.38,0.38,0
F11,24 May 2005,0.38,0.38,0.38,0.38,5799000
F11,25 May 2005,0.37,0.38,0.37,0.38,270000
F11,26 May 2005,0.37,0.37,0.37,0.37,170000
F11,27 May 2005,0.37,0.38,0.37,0.38,372000
F11,30 May 2005,0.37,0.37,0.37,0.37,445000
F11,31 May 2005,0.37,0.37,0.37,0.37,168000
F11,01 Jun 2005,0.38,0.38,0.37,0.38,428000
F11,02 Jun 2005,0.37,0.38,0.37,0.38,253000
F11,03 Jun 2005,0.37,0.38,0.37,0.38,219000
F11,06 Jun 2005,0.37,0.38,0.37,0.38,30000
F11,07 Jun 2005,0.38,0.39,0.38,0.38,724000
F11,08 Jun 2005,0.38,0.39,0.38,0.39,561000
F11,09 Jun 2005,0.39,0.39,0.38,0.38,734000
F11,10 Jun 2005,0.38,0.39,0.38,0.38,680000
F11,13 Jun 2005,0.39,0.4,0.38,0.39,1705000
F11,14 Jun 2005,0.39,0.39,0.38,0.38,1449000
F11,15 Jun 2005,0.38,0.38,0.38,0.38,467000
F11,16 Jun 2005,0.38,0.38,0.38,0.38,261000
F11,17 Jun 2005,0.38,0.38,0.38,0.38,326000
F11,20 Jun 2005,0.38,0.38,0.38,0.38,613000
F11,21 Jun 2005,0.38,0.38,0.38,0.38,230000
F11,22 Jun 2005,0.38,0.38,0.38,0.38,137000
F11,23 Jun 2005,0.38,0.38,0.38,0.38,85000
F11,24 Jun 2005,0.37,0.38,0.37,0.38,213000
F11,27 Jun 2005,0.38,0.38,0.38,0.38,193000
F11,28 Jun 2005,0.37,0.38,0.37,0.38,141000
F11,29 Jun 2005,0.38,0.38,0.38,0.38,205000
F11,30 Jun 2005,0.38,0.38,0.38,0.38,427000
F11,01 Jul 2005,0.38,0.38,0.38,0.38,50000
F11,04 Jul 2005,0.38,0.38,0.38,0.38,211000
F11,05 Jul 2005,0.38,0.39,0.38,0.38,1047000
F11,06 Jul 2005,0.39,0.4,0.39,0.4,1239000
F11,07 Jul 2005,0.39,0.39,0.38,0.38,308000
F11,08 Jul 2005,0.38,0.38,0.38,0.38,73000
F11,11 Jul 2005,0.38,0.39,0.38,0.39,76000
F11,12 Jul 2005,0.39,0.39,0.38,0.39,1238000
F11,13 Jul 2005,0.38,0.41,0.38,0.41,1109000
F11,14 Jul 2005,0.41,0.41,0.4,0.4,2179000
F11,15 Jul 2005,0.4,0.4,0.4,0.4,518000
F11,18 Jul 2005,0.4,0.4,0.39,0.4,56000
F11,19 Jul 2005,0.4,0.4,0.4,0.4,63000
F11,20 Jul 2005,0.4,0.4,0.4,0.4,1156000
F11,21 Jul 2005,0.4,0.4,0.38,0.39,1486000
F11,22 Jul 2005,0.4,0.4,0.4,0.4,655000
F11,25 Jul 2005,0.4,0.41,0.4,0.41,675000
F11,26 Jul 2005,0.41,0.41,0.41,0.41,713000
F11,27 Jul 2005,0.41,0.41,0.41,0.41,413000
F11,28 Jul 2005,0.4,0.41,0.4,0.41,1724000
F11,29 Jul 2005,0.41,0.41,0.41,0.41,625000
F11,01 Aug 2005,0.41,0.41,0.41,0.41,438000
F11,02 Aug 2005,0.41,0.41,0.4,0.4,867000
F11,03 Aug 2005,0.4,0.4,0.4,0.4,238000
F11,04 Aug 2005,0.4,0.4,0.4,0.4,731000
F11,05 Aug 2005,0.4,0.4,0.4,0.4,419000
F11,08 Aug 2005,0.4,0.4,0.4,0.4,311000
F11,09 Aug 2005,0.4,0.4,0.4,0.4,0
F11,10 Aug 2005,0.4,0.4,0.4,0.4,160000
F11,11 Aug 2005,0.4,0.4,0.39,0.4,467000
F11,12 Aug 2005,0.39,0.4,0.39,0.4,294000
F11,15 Aug 2005,0.4,0.4,0.39,0.39,480000
F11,16 Aug 2005,0.39,0.4,0.39,0.4,106000
F11,17 Aug 2005,0.39,0.4,0.39,0.39,85000
F11,18 Aug 2005,0.39,0.39,0.38,0.38,105000
F11,19 Aug 2005,0.38,0.39,0.38,0.39,65000
F11,22 Aug 2005,0.4,0.4,0.39,0.4,601000
F11,23 Aug 2005,0.4,0.41,0.4,0.4,532000
F11,24 Aug 2005,0.4,0.4,0.39,0.4,625000
F11,25 Aug 2005,0.4,0.4,0.4,0.4,502000
F11,26 Aug 2005,0.41,0.41,0.38,0.4,3379000
F11,29 Aug 2005,0.4,0.4,0.38,0.38,607000
F11,30 Aug 2005,0.39,0.39,0.38,0.38,422000
F11,31 Aug 2005,0.38,0.39,0.38,0.39,411000
F11,01 Sep 2005,0.39,0.39,0.38,0.39,176000
F11,02 Sep 2005,0.38,0.38,0.38,0.38,749000
F11,05 Sep 2005,0.38,0.38,0.38,0.38,350000
F11,06 Sep 2005,0.38,0.38,0.38,0.38,130000
F11,07 Sep 2005,0.38,0.38,0.38,0.38,200000
F11,08 Sep 2005,0.38,0.38,0.38,0.38,19000
F11,09 Sep 2005,0.38,0.39,0.38,0.39,330000
F11,12 Sep 2005,0.39,0.4,0.39,0.4,118000
F11,13 Sep 2005,0.4,0.4,0.39,0.4,136000
F11,14 Sep 2005,0.4,0.4,0.39,0.39,231000
F11,15 Sep 2005,0.38,0.38,0.38,0.38,129000
F11,16 Sep 2005,0.39,0.4,0.39,0.4,305000
F11,19 Sep 2005,0.39,0.39,0.39,0.39,119000
F11,20 Sep 2005,0.39,0.39,0.39,0.39,317000
F11,21 Sep 2005,0.4,0.4,0.4,0.4,64000
F11,22 Sep 2005,0.4,0.4,0.4,0.4,30000
F11,23 Sep 2005,0.4,0.4,0.4,0.4,245000
F11,26 Sep 2005,0.4,0.4,0.4,0.4,455000
F11,27 Sep 2005,0.4,0.4,0.39,0.4,360000
F11,28 Sep 2005,0.4,0.4,0.39,0.39,208000
F11,29 Sep 2005,0.4,0.4,0.4,0.4,203000
F11,30 Sep 2005,0.4,0.4,0.4,0.4,125000
F11,03 Oct 2005,0.4,0.4,0.4,0.4,55000
F11,04 Oct 2005,0.4,0.4,0.4,0.4,95000
F11,05 Oct 2005,0.4,0.4,0.4,0.4,110000
F11,06 Oct 2005,0.4,0.4,0.4,0.4,519000
F11,07 Oct 2005,0.4,0.44,0.4,0.44,3804000
F11,10 Oct 2005,0.44,0.44,0.42,0.43,1075000
F11,11 Oct 2005,0.43,0.46,0.43,0.44,3419000
F11,12 Oct 2005,0.45,0.45,0.44,0.44,768000
F11,13 Oct 2005,0.43,0.44,0.43,0.44,443000
F11,14 Oct 2005,0.44,0.46,0.44,0.46,1948000
F11,17 Oct 2005,0.44,0.44,0.44,0.44,1938000
F11,18 Oct 2005,0.44,0.46,0.44,0.44,3034000
F11,19 Oct 2005,0.44,0.44,0.42,0.42,2557000
F11,20 Oct 2005,0.43,0.45,0.43,0.44,2676000
F11,21 Oct 2005,0.44,0.46,0.44,0.46,1936000
F11,24 Oct 2005,0.46,0.46,0.45,0.45,1727000
F11,25 Oct 2005,0.45,0.47,0.45,0.47,1034000
F11,26 Oct 2005,0.47,0.5,0.46,0.5,5597000
F11,27 Oct 2005,0.5,0.5,0.47,0.48,1702000
F11,28 Oct 2005,0.47,0.5,0.47,0.49,2061000
F11,31 Oct 2005,0.5,0.5,0.49,0.5,1376000
F11,01 Nov 2005,0.5,0.5,0.5,0.5,0
F11,02 Nov 2005,0.5,0.5,0.49,0.5,2357000
F11,03 Nov 2005,0.495,0.495,0.495,0.495,0
F11,04 Nov 2005,0.5,0.5,0.48,0.5,851000
F11,07 Nov 2005,0.49,0.49,0.49,0.49,435000
F11,08 Nov 2005,0.49,0.5,0.48,0.5,1538000
F11,09 Nov 2005,0.5,0.5,0.5,0.5,607000
F11,10 Nov 2005,0.5,0.51,0.5,0.5,640000
F11,11 Nov 2005,0.5,0.5,0.49,0.49,304000
F11,14 Nov 2005,0.48,0.48,0.47,0.47,255000
F11,15 Nov 2005,0.47,0.47,0.46,0.47,961000
F11,16 Nov 2005,0.47,0.47,0.47,0.47,265000
F11,17 Nov 2005,0.47,0.47,0.47,0.47,28000
F11,18 Nov 2005,0.47,0.47,0.47,0.47,105000
F11,21 Nov 2005,0.47,0.47,0.47,0.47,255000
F11,22 Nov 2005,0.46,0.47,0.46,0.46,0
F11,23 Nov 2005,0.47,0.48,0.47,0.47,2200000
F11,24 Nov 2005,0.47,0.49,0.47,0.47,0
F11,25 Nov 2005,0.48,0.48,0.47,0.48,149000
F11,28 Nov 2005,0.48,0.48,0.48,0.48,235000
F11,29 Nov 2005,0.48,0.49,0.48,0.49,160000
F11,30 Nov 2005,0.49,0.5,0.49,0.5,361000
F11,01 Dec 2005,0.5,0.53,0.5,0.52,6630000
F11,02 Dec 2005,0.52,0.55,0.52,0.54,2973000
F11,05 Dec 2005,0.54,0.54,0.52,0.52,2135000
F11,06 Dec 2005,0.52,0.55,0.52,0.55,1802000
F11,07 Dec 2005,0.55,0.55,0.54,0.55,1027000
F11,08 Dec 2005,0.54,0.54,0.53,0.53,154000
F11,09 Dec 2005,0.53,0.54,0.53,0.54,222000
F11,12 Dec 2005,0.54,0.56,0.54,0.55,2574000
F11,13 Dec 2005,0.55,0.56,0.55,0.56,670000
F11,14 Dec 2005,0.56,0.56,0.56,0.56,1374000
F11,15 Dec 2005,0.56,0.58,0.56,0.57,7608000
F11,16 Dec 2005,0.57,0.57,0.56,0.56,5046000
F11,19 Dec 2005,0.57,0.57,0.57,0.57,323000
F11,20 Dec 2005,0.57,0.57,0.57,0.57,2195000
F11,21 Dec 2005,0.57,0.61,0.57,0.61,5142000
F11,22 Dec 2005,0.61,0.62,0.57,0.6,4715000
F11,23 Dec 2005,0.59,0.61,0.59,0.61,749000
F11,26 Dec 2005,0.605,0.605,0.605,0.605,0
F11,27 Dec 2005,0.62,0.63,0.62,0.63,1588000
F11,28 Dec 2005,0.63,0.65,0.63,0.65,3757000
F11,29 Dec 2005,0.65,0.68,0.65,0.68,2108000
F11,30 Dec 2005,0.68,0.71,0.68,0.7,4500000
F11,02 Jan 2006,0.705,0.705,0.705,0.705,0
F11,03 Jan 2006,0.7,0.71,0.69,0.7,769000
F11,04 Jan 2006,0.69,0.71,0.67,0.68,1641000
F11,05 Jan 2006,0.68,0.69,0.68,0.68,1808000
F11,06 Jan 2006,0.68,0.68,0.66,0.67,1044000
F11,09 Jan 2006,0.68,0.69,0.67,0.69,2535000
F11,10 Jan 2006,0.69,0.69,0.69,0.69,0
F11,11 Jan 2006,0.69,0.73,0.69,0.72,2435000
F11,12 Jan 2006,0.69,0.75,0.69,0.73,7983000
F11,13 Jan 2006,0.73,0.8,0.72,0.8,5174000
F11,16 Jan 2006,0.81,0.81,0.77,0.77,2221000
F11,17 Jan 2006,0.78,0.79,0.73,0.75,1825000
F11,18 Jan 2006,0.74,0.76,0.73,0.75,2592000
F11,19 Jan 2006,0.75,0.8,0.75,0.78,5294000
F11,20 Jan 2006,0.77,0.82,0.77,0.8,9305000
F11,23 Jan 2006,0.78,0.8,0.76,0.8,2086000
F11,24 Jan 2006,0.81,0.86,0.8,0.84,10110000
F11,25 Jan 2006,0.85,0.89,0.83,0.88,7794000
F11,26 Jan 2006,0.88,0.9,0.83,0.85,4110000
F11,27 Jan 2006,0.85,0.87,0.83,0.85,3085000
F11,30 Jan 2006,0.85,0.85,0.85,0.85,0
F11,31 Jan 2006,0.85,0.85,0.85,0.85,0
F11,01 Feb 2006,0.84,0.88,0.81,0.87,14526000
F11,02 Feb 2006,0.85,0.92,0.85,0.89,12201000
F11,03 Feb 2006,0.89,0.96,0.89,0.94,9195000
