Symbol,Date,Open,High,Low,Close,Volume
F1E,03 Jan 2005,0.39,0.4,0.39,0.4,110000
F1E,04 Jan 2005,0.4,0.4,0.4,0.4,40000
F1E,05 Jan 2005,0.4,0.4,0.4,0.4,130000
F1E,06 Jan 2005,0.4,0.41,0.4,0.41,22000
F1E,07 Jan 2005,0.41,0.41,0.41,0.41,48000
F1E,10 Jan 2005,0.42,0.42,0.41,0.41,214000
F1E,11 Jan 2005,0.41,0.42,0.41,0.42,26000
F1E,12 Jan 2005,0.42,0.43,0.41,0.43,70000
F1E,13 Jan 2005,0.43,0.43,0.41,0.41,106000
F1E,14 Jan 2005,0.41,0.44,0.41,0.44,62000
F1E,17 Jan 2005,0.41,0.44,0.41,0.41,0
F1E,18 Jan 2005,0.43,0.46,0.41,0.43,128000
F1E,19 Jan 2005,0.44,0.44,0.43,0.44,146000
F1E,20 Jan 2005,0.44,0.44,0.43,0.44,72000
F1E,21 Jan 2005,0.44,0.44,0.44,0.44,0
F1E,24 Jan 2005,0.43,0.44,0.41,0.43,296000
F1E,25 Jan 2005,0.42,0.42,0.42,0.42,50000
F1E,26 Jan 2005,0.42,0.42,0.42,0.42,100000
F1E,27 Jan 2005,0.43,0.43,0.43,0.43,200000
F1E,28 Jan 2005,0.41,0.42,0.41,0.42,70000
F1E,31 Jan 2005,0.42,0.43,0.42,0.43,34000
F1E,01 Feb 2005,0.41,0.42,0.41,0.42,16000
F1E,02 Feb 2005,0.43,0.45,0.43,0.45,32000
F1E,03 Feb 2005,0.43,0.44,0.42,0.44,12000
F1E,04 Feb 2005,0.43,0.44,0.43,0.43,0
F1E,07 Feb 2005,0.43,0.43,0.43,0.43,138000
F1E,08 Feb 2005,0.44,0.44,0.43,0.43,10000
F1E,09 Feb 2005,0.43,0.43,0.43,0.43,0
F1E,10 Feb 2005,0.43,0.43,0.43,0.43,0
F1E,11 Feb 2005,0.43,0.43,0.43,0.43,48000
F1E,14 Feb 2005,0.43,0.44,0.43,0.44,80000
F1E,15 Feb 2005,0.42,0.44,0.42,0.42,0
F1E,16 Feb 2005,0.42,0.44,0.42,0.44,52000
F1E,17 Feb 2005,0.42,0.43,0.42,0.43,22000
F1E,18 Feb 2005,0.42,0.44,0.42,0.44,32000
F1E,21 Feb 2005,0.42,0.44,0.42,0.42,0
F1E,22 Feb 2005,0.42,0.43,0.42,0.43,50000
F1E,23 Feb 2005,0.43,0.43,0.43,0.43,26000
F1E,24 Feb 2005,0.42,0.43,0.42,0.43,48000
F1E,25 Feb 2005,0.43,0.44,0.42,0.44,204000
F1E,28 Feb 2005,0.44,0.44,0.43,0.44,118000
F1E,01 Mar 2005,0.43,0.44,0.43,0.44,6000
F1E,02 Mar 2005,0.43,0.44,0.43,0.44,112000
F1E,03 Mar 2005,0.43,0.44,0.43,0.44,34000
F1E,04 Mar 2005,0.43,0.44,0.43,0.44,38000
F1E,07 Mar 2005,0.43,0.43,0.43,0.43,30000
F1E,08 Mar 2005,0.43,0.44,0.43,0.44,182000
F1E,09 Mar 2005,0.43,0.43,0.43,0.43,28000
F1E,10 Mar 2005,0.43,0.46,0.43,0.46,12000
F1E,11 Mar 2005,0.43,0.44,0.43,0.43,0
F1E,14 Mar 2005,0.44,0.44,0.43,0.44,114000
F1E,15 Mar 2005,0.43,0.43,0.43,0.43,40000
F1E,16 Mar 2005,0.44,0.44,0.43,0.43,252000
F1E,17 Mar 2005,0.43,0.43,0.43,0.43,20000
F1E,18 Mar 2005,0.43,0.46,0.43,0.46,36000
F1E,21 Mar 2005,0.42,0.46,0.42,0.42,0
F1E,22 Mar 2005,0.43,0.43,0.43,0.43,38000
F1E,23 Mar 2005,0.42,0.46,0.42,0.42,0
F1E,24 Mar 2005,0.43,0.43,0.42,0.43,84000
F1E,25 Mar 2005,0.43,0.43,0.43,0.43,0
F1E,28 Mar 2005,0.42,0.44,0.42,0.44,44000
F1E,29 Mar 2005,0.43,0.43,0.42,0.43,250000
F1E,30 Mar 2005,0.41,0.44,0.41,0.44,30000
F1E,31 Mar 2005,0.42,0.43,0.42,0.43,92000
F1E,01 Apr 2005,0.42,0.42,0.41,0.41,30000
F1E,04 Apr 2005,0.42,0.42,0.42,0.42,10000
F1E,05 Apr 2005,0.42,0.43,0.42,0.43,42000
F1E,06 Apr 2005,0.43,0.43,0.43,0.43,78000
F1E,07 Apr 2005,0.43,0.44,0.43,0.43,72000
F1E,08 Apr 2005,0.43,0.43,0.43,0.43,20000
F1E,11 Apr 2005,0.43,0.43,0.43,0.43,8000
F1E,12 Apr 2005,0.43,0.43,0.43,0.43,2000
F1E,13 Apr 2005,0.43,0.43,0.43,0.43,32000
F1E,14 Apr 2005,0.43,0.43,0.43,0.43,20000
F1E,15 Apr 2005,0.43,0.43,0.43,0.43,24000
F1E,18 Apr 2005,0.42,0.43,0.42,0.43,14000
F1E,19 Apr 2005,0.42,0.43,0.42,0.43,42000
F1E,20 Apr 2005,0.43,0.43,0.43,0.43,40000
F1E,21 Apr 2005,0.43,0.43,0.43,0.43,50000
F1E,22 Apr 2005,0.43,0.44,0.43,0.43,100000
F1E,25 Apr 2005,0.44,0.44,0.44,0.44,14000
F1E,26 Apr 2005,0.43,0.44,0.43,0.44,50000
F1E,27 Apr 2005,0.43,0.43,0.43,0.43,46000
F1E,28 Apr 2005,0.44,0.44,0.43,0.44,236000
F1E,29 Apr 2005,0.44,0.44,0.44,0.44,92000
F1E,02 May 2005,0.44,0.44,0.44,0.44,0
F1E,03 May 2005,0.44,0.44,0.44,0.44,166000
F1E,04 May 2005,0.44,0.44,0.44,0.44,34000
F1E,05 May 2005,0.44,0.44,0.44,0.44,0
F1E,06 May 2005,0.44,0.44,0.44,0.44,0
F1E,09 May 2005,0.44,0.44,0.44,0.44,78000
F1E,10 May 2005,0.44,0.44,0.44,0.44,70000
F1E,11 May 2005,0.44,0.44,0.43,0.43,100000
F1E,12 May 2005,0.43,0.44,0.43,0.43,0
F1E,13 May 2005,0.42,0.44,0.42,0.44,36000
F1E,16 May 2005,0.44,0.44,0.43,0.44,346000
F1E,17 May 2005,0.42,0.43,0.41,0.43,562000
F1E,18 May 2005,0.41,0.43,0.41,0.43,204000
F1E,19 May 2005,0.42,0.42,0.42,0.42,146000
F1E,20 May 2005,0.43,0.43,0.42,0.42,78000
F1E,23 May 2005,0.42,0.42,0.42,0.42,0
F1E,24 May 2005,0.42,0.43,0.42,0.43,64000
F1E,25 May 2005,0.42,0.43,0.42,0.43,90000
F1E,26 May 2005,0.42,0.43,0.42,0.42,0
F1E,27 May 2005,0.43,0.43,0.43,0.43,60000
F1E,30 May 2005,0.43,0.43,0.43,0.43,20000
F1E,31 May 2005,0.42,0.44,0.42,0.42,136000
F1E,01 Jun 2005,0.39,0.41,0.39,0.39,0
F1E,02 Jun 2005,0.39,0.41,0.39,0.39,0
F1E,03 Jun 2005,0.39,0.41,0.39,0.41,56000
F1E,06 Jun 2005,0.39,0.41,0.39,0.39,0
F1E,07 Jun 2005,0.41,0.41,0.41,0.41,32000
F1E,08 Jun 2005,0.39,0.42,0.39,0.41,20000
F1E,09 Jun 2005,0.39,0.41,0.39,0.39,0
F1E,10 Jun 2005,0.39,0.43,0.39,0.43,6000
F1E,13 Jun 2005,0.4,0.42,0.4,0.4,0
F1E,14 Jun 2005,0.4,0.4,0.4,0.4,4000
F1E,15 Jun 2005,0.4,0.42,0.39,0.42,38000
F1E,16 Jun 2005,0.41,0.42,0.41,0.41,174000
F1E,17 Jun 2005,0.41,0.41,0.41,0.41,40000
F1E,20 Jun 2005,0.41,0.42,0.41,0.42,54000
F1E,21 Jun 2005,0.41,0.41,0.41,0.41,40000
