Symbol,Date,Open,High,Low,Close,Volume
F25U,03 Jan 2005,6.35,6.35,6.3,6.3,76000
F25U,04 Jan 2005,6.35,6.35,6.3,6.3,160000
F25U,05 Jan 2005,6.35,6.4,6.3,6.3,194000
F25U,06 Jan 2005,6.3,6.3,6.3,6.3,1169000
F25U,07 Jan 2005,6.3,6.3,6.25,6.3,407000
F25U,10 Jan 2005,6.3,6.3,6.3,6.3,216000
F25U,11 Jan 2005,6.25,6.25,6.2,6.2,205000
F25U,12 Jan 2005,6.15,6.2,6,6.2,361000
F25U,13 Jan 2005,6.15,6.15,6.15,6.15,5000
F25U,14 Jan 2005,6.15,6.2,6.15,6.2,185000
F25U,17 Jan 2005,6.2,6.2,6.2,6.2,40000
F25U,18 Jan 2005,6.15,6.2,6.15,6.2,21000
F25U,19 Jan 2005,6.2,6.2,6.2,6.2,1099000
F25U,20 Jan 2005,6.2,6.25,6.2,6.2,574000
F25U,21 Jan 2005,6.2,6.2,6.2,6.2,0
F25U,24 Jan 2005,6.2,6.2,6.2,6.2,41000
F25U,25 Jan 2005,6.15,6.2,6.15,6.2,187000
F25U,26 Jan 2005,6.2,6.3,6.2,6.3,505000
F25U,27 Jan 2005,6.25,6.25,6.25,6.25,21000
F25U,28 Jan 2005,6.35,6.45,6.35,6.45,1536000
F25U,31 Jan 2005,6.45,6.7,6.45,6.6,1438000
F25U,01 Feb 2005,6.6,6.6,6.55,6.55,377000
F25U,02 Feb 2005,6.45,6.5,6.4,6.45,1237000
F25U,03 Feb 2005,6.4,6.5,6.4,6.45,1135000
F25U,04 Feb 2005,6.45,6.45,6.4,6.4,84000
F25U,07 Feb 2005,6.4,6.4,6.35,6.35,73000
F25U,08 Feb 2005,6.35,6.5,6.35,6.45,381000
F25U,09 Feb 2005,6.45,6.45,6.45,6.45,0
F25U,10 Feb 2005,6.45,6.45,6.45,6.45,0
F25U,11 Feb 2005,6.4,6.45,6.3,6.45,93000
F25U,14 Feb 2005,6.5,6.5,6.35,6.35,184000
F25U,15 Feb 2005,6.4,6.6,6.4,6.55,893000
F25U,16 Feb 2005,6.55,6.55,6.45,6.45,292000
F25U,17 Feb 2005,6.5,6.55,6.5,6.55,681000
F25U,18 Feb 2005,6.6,6.6,6.45,6.6,177000
F25U,21 Feb 2005,6.55,6.55,6.55,6.55,15000
F25U,22 Feb 2005,6.4,6.45,6.4,6.45,69000
F25U,23 Feb 2005,6.5,6.6,6.45,6.55,90000
F25U,24 Feb 2005,6.55,6.55,6.45,6.5,180000
F25U,25 Feb 2005,6.5,6.6,6.45,6.6,719000
