Symbol,Date,Open,High,Low,Close,Volume
G18,03 Jan 2005,0.07,0.08,0.07,0.07,0
G18,04 Jan 2005,0.07,0.07,0.07,0.07,1158000
G18,05 Jan 2005,0.07,0.09,0.07,0.07,0
G18,06 Jan 2005,0.07,0.09,0.07,0.07,0
G18,07 Jan 2005,0.08,0.08,0.08,0.08,0
G18,10 Jan 2005,0.07,0.08,0.07,0.07,0
G18,11 Jan 2005,0.07,0.07,0.07,0.07,2000
G18,12 Jan 2005,0.07,0.07,0.07,0.07,74000
G18,13 Jan 2005,0.07,0.08,0.07,0.08,44000
G18,14 Jan 2005,0.08,0.09,0.08,0.08,124000
G18,17 Jan 2005,0.09,0.09,0.09,0.09,0
G18,18 Jan 2005,0.08,0.09,0.08,0.09,16000
G18,19 Jan 2005,0.09,0.09,0.09,0.09,50000
G18,20 Jan 2005,0.08,0.08,0.08,0.08,46000
G18,21 Jan 2005,0.08,0.08,0.08,0.08,0
G18,24 Jan 2005,0.08,0.08,0.08,0.08,83000
G18,25 Jan 2005,0.08,0.08,0.08,0.08,16000
G18,26 Jan 2005,0.07,0.07,0.07,0.07,9000
G18,27 Jan 2005,0.08,0.08,0.08,0.08,0
G18,28 Jan 2005,0.07,0.08,0.07,0.07,0
G18,31 Jan 2005,0.07,0.08,0.07,0.07,0
G18,01 Feb 2005,0.07,0.08,0.07,0.07,30000
G18,02 Feb 2005,0.07,0.07,0.07,0.07,4000
G18,03 Feb 2005,0.08,0.08,0.08,0.08,92000
G18,04 Feb 2005,0.08,0.08,0.08,0.08,10000
G18,07 Feb 2005,0.07,0.09,0.07,0.07,0
G18,08 Feb 2005,0.08,0.08,0.08,0.08,16000
G18,09 Feb 2005,0.075,0.075,0.075,0.075,0
G18,10 Feb 2005,0.075,0.075,0.075,0.075,0
G18,11 Feb 2005,0.07,0.08,0.07,0.07,0
G18,14 Feb 2005,0.07,0.08,0.07,0.07,0
G18,15 Feb 2005,0.08,0.08,0.07,0.08,43000
G18,16 Feb 2005,0.07,0.09,0.07,0.07,0
G18,17 Feb 2005,0.07,0.08,0.07,0.07,0
G18,18 Feb 2005,0.07,0.07,0.07,0.07,3000
G18,21 Feb 2005,0.07,0.07,0.07,0.07,10000
G18,22 Feb 2005,0.07,0.08,0.07,0.07,0
G18,23 Feb 2005,0.08,0.08,0.06,0.06,18000
G18,24 Feb 2005,0.06,0.06,0.06,0.06,32000
G18,25 Feb 2005,0.07,0.07,0.06,0.07,38000
G18,28 Feb 2005,0.07,0.07,0.07,0.07,23000
G18,01 Mar 2005,0.06,0.06,0.06,0.06,10000
G18,02 Mar 2005,0.06,0.07,0.06,0.06,0
G18,03 Mar 2005,0.06,0.06,0.06,0.06,50000
G18,04 Mar 2005,0.06,0.06,0.06,0.06,2000
G18,07 Mar 2005,0.06,0.07,0.06,0.06,0
G18,08 Mar 2005,0.06,0.06,0.06,0.06,20000
G18,09 Mar 2005,0.06,0.06,0.06,0.06,13000
