Symbol,Date,Open,High,Low,Close,Volume
H17,03 Jan 2005,1.66,1.72,1.66,1.72,504000
H17,04 Jan 2005,1.71,1.74,1.7,1.72,792000
H17,05 Jan 2005,1.7,1.74,1.7,1.72,1366000
H17,06 Jan 2005,1.72,1.77,1.72,1.75,2225000
H17,07 Jan 2005,1.75,1.78,1.75,1.77,1689000
H17,10 Jan 2005,1.77,1.77,1.75,1.76,519000
H17,11 Jan 2005,1.76,1.8,1.75,1.75,3490000
H17,12 Jan 2005,1.74,1.75,1.72,1.72,4035000
H17,13 Jan 2005,1.71,1.75,1.71,1.73,1177000
H17,14 Jan 2005,1.73,1.76,1.72,1.76,2369000
H17,17 Jan 2005,1.77,1.78,1.74,1.74,1846000
H17,18 Jan 2005,1.74,1.75,1.7,1.7,3715000
H17,19 Jan 2005,1.7,1.72,1.65,1.67,7577000
H17,20 Jan 2005,1.67,1.71,1.67,1.71,6400000
H17,21 Jan 2005,1.71,1.71,1.71,1.71,0
H17,24 Jan 2005,1.7,1.7,1.67,1.68,2351000
H17,25 Jan 2005,1.66,1.69,1.66,1.68,2652000
H17,26 Jan 2005,1.68,1.7,1.68,1.68,1654000
H17,27 Jan 2005,1.67,1.68,1.66,1.66,2460000
H17,28 Jan 2005,1.65,1.67,1.65,1.65,2443000
H17,31 Jan 2005,1.66,1.69,1.66,1.66,3730000
H17,01 Feb 2005,1.67,1.68,1.65,1.66,2798000
H17,02 Feb 2005,1.66,1.66,1.61,1.62,4688000
H17,03 Feb 2005,1.63,1.63,1.56,1.56,3995000
H17,04 Feb 2005,1.56,1.58,1.56,1.56,1733000
H17,07 Feb 2005,1.57,1.58,1.52,1.52,2015000
H17,08 Feb 2005,1.52,1.54,1.51,1.51,1035000
H17,09 Feb 2005,1.51,1.51,1.51,1.51,0
H17,10 Feb 2005,1.51,1.51,1.51,1.51,0
H17,11 Feb 2005,1.51,1.53,1.5,1.51,1177000
H17,14 Feb 2005,1.52,1.58,1.52,1.56,2781000
H17,15 Feb 2005,1.57,1.61,1.57,1.61,2663000
H17,16 Feb 2005,1.62,1.62,1.56,1.57,3053000
H17,17 Feb 2005,1.58,1.6,1.56,1.56,2393000
H17,18 Feb 2005,1.56,1.56,1.51,1.53,4427000
H17,21 Feb 2005,1.53,1.56,1.53,1.56,1565000
H17,22 Feb 2005,1.56,1.56,1.54,1.54,1245000
H17,23 Feb 2005,1.53,1.56,1.52,1.55,1907000
H17,24 Feb 2005,1.55,1.55,1.52,1.52,1692000
H17,25 Feb 2005,1.53,1.54,1.53,1.53,1574000
H17,28 Feb 2005,1.54,1.54,1.53,1.53,750000
H17,01 Mar 2005,1.55,1.55,1.53,1.54,1169000
H17,02 Mar 2005,1.54,1.57,1.54,1.55,1117000
H17,03 Mar 2005,1.56,1.56,1.55,1.55,890000
H17,04 Mar 2005,1.55,1.62,1.55,1.62,1644000
H17,07 Mar 2005,1.62,1.63,1.59,1.63,699000
H17,08 Mar 2005,1.62,1.62,1.6,1.61,366000
H17,09 Mar 2005,1.6,1.6,1.59,1.6,826000
H17,10 Mar 2005,1.61,1.61,1.6,1.6,1126000
H17,11 Mar 2005,1.6,1.6,1.6,1.6,333000
H17,14 Mar 2005,1.6,1.6,1.57,1.57,254000
H17,15 Mar 2005,1.57,1.62,1.57,1.57,247000
H17,16 Mar 2005,1.58,1.6,1.58,1.6,502000
H17,17 Mar 2005,1.59,1.59,1.57,1.57,125000
H17,18 Mar 2005,1.57,1.58,1.57,1.58,293000
H17,21 Mar 2005,1.59,1.59,1.57,1.57,529000
H17,22 Mar 2005,1.57,1.57,1.55,1.55,1492000
H17,23 Mar 2005,1.56,1.56,1.52,1.53,1898000
H17,24 Mar 2005,1.54,1.55,1.54,1.55,244000
H17,25 Mar 2005,1.55,1.55,1.55,1.55,0
H17,28 Mar 2005,1.55,1.56,1.54,1.55,186000
H17,29 Mar 2005,1.56,1.57,1.5,1.51,1684000
H17,30 Mar 2005,1.5,1.52,1.5,1.51,231000
H17,31 Mar 2005,1.53,1.53,1.52,1.53,837000
H17,01 Apr 2005,1.54,1.54,1.52,1.53,148000
H17,04 Apr 2005,1.53,1.55,1.53,1.54,399000
H17,05 Apr 2005,1.56,1.57,1.54,1.57,347000
H17,06 Apr 2005,1.56,1.58,1.54,1.56,2312000
H17,07 Apr 2005,1.58,1.58,1.52,1.53,6049000
H17,08 Apr 2005,1.54,1.55,1.49,1.53,2976000
H17,11 Apr 2005,1.52,1.52,1.49,1.5,2489000
H17,12 Apr 2005,1.5,1.51,1.5,1.5,1681000
H17,13 Apr 2005,1.51,1.52,1.49,1.49,2600000
H17,14 Apr 2005,1.48,1.5,1.47,1.5,538000
H17,15 Apr 2005,1.48,1.49,1.47,1.48,979000
H17,18 Apr 2005,1.47,1.47,1.45,1.45,815000
H17,19 Apr 2005,1.47,1.47,1.45,1.45,1089000
H17,20 Apr 2005,1.46,1.46,1.44,1.45,1005000
H17,21 Apr 2005,1.42,1.43,1.41,1.42,1537000
H17,22 Apr 2005,1.44,1.44,1.4,1.4,1099000
H17,25 Apr 2005,1.39,1.39,1.36,1.38,1194000
H17,26 Apr 2005,1.37,1.4,1.37,1.38,1591000
H17,27 Apr 2005,1.38,1.38,1.34,1.34,541000
H17,28 Apr 2005,1.33,1.36,1.33,1.35,461000
H17,29 Apr 2005,1.34,1.35,1.33,1.34,321000
H17,02 May 2005,1.34,1.34,1.34,1.34,0
H17,03 May 2005,1.34,1.35,1.33,1.33,172000
H17,04 May 2005,1.34,1.37,1.34,1.37,641000
H17,05 May 2005,1.43,1.47,1.42,1.45,1679000
H17,06 May 2005,1.45,1.47,1.44,1.44,303000
H17,09 May 2005,1.44,1.47,1.44,1.47,558000
H17,10 May 2005,1.48,1.52,1.46,1.49,1830000
H17,11 May 2005,1.48,1.48,1.47,1.48,631000
H17,12 May 2005,1.48,1.5,1.48,1.49,374000
H17,13 May 2005,1.49,1.5,1.48,1.49,313000
H17,16 May 2005,1.49,1.49,1.48,1.49,487000
H17,17 May 2005,1.48,1.48,1.4,1.48,633000
H17,18 May 2005,1.47,1.47,1.42,1.44,1182000
H17,19 May 2005,1.44,1.45,1.42,1.43,1608000
H17,20 May 2005,1.43,1.43,1.42,1.42,126000
H17,23 May 2005,1.42,1.42,1.42,1.42,0
H17,24 May 2005,1.42,1.44,1.41,1.41,339000
H17,25 May 2005,1.41,1.45,1.37,1.37,644000
H17,26 May 2005,1.36,1.36,1.35,1.36,569000
H17,27 May 2005,1.36,1.36,1.35,1.35,474000
H17,30 May 2005,1.35,1.38,1.35,1.37,330000
H17,31 May 2005,1.37,1.37,1.36,1.37,266000
H17,01 Jun 2005,1.35,1.36,1.35,1.36,710000
H17,02 Jun 2005,1.36,1.42,1.36,1.42,1714000
H17,03 Jun 2005,1.42,1.48,1.42,1.43,2660000
H17,06 Jun 2005,1.43,1.44,1.42,1.44,372000
H17,07 Jun 2005,1.44,1.47,1.44,1.47,1962000
H17,08 Jun 2005,1.45,1.54,1.45,1.54,3868000
H17,09 Jun 2005,1.55,1.58,1.51,1.51,4052000
H17,10 Jun 2005,1.51,1.51,1.48,1.49,1469000
H17,13 Jun 2005,1.49,1.52,1.49,1.51,1473000
H17,14 Jun 2005,1.51,1.51,1.49,1.5,720000
H17,15 Jun 2005,1.5,1.54,1.49,1.52,1380000
