Symbol,Date,Open,High,Low,Close,Volume
I12,03 Jan 2005,0.16,0.18,0.16,0.16,294500
I12,04 Jan 2005,0.16,0.18,0.16,0.18,60500
I12,05 Jan 2005,0.18,0.18,0.16,0.16,112500
I12,06 Jan 2005,0.18,0.18,0.16,0.16,64700
I12,07 Jan 2005,0.16,0.18,0.16,0.18,139200
I12,10 Jan 2005,0.18,0.18,0.16,0.16,76700
I12,11 Jan 2005,0.16,0.16,0.16,0.16,27700
I12,12 Jan 2005,0.16,0.18,0.16,0.16,56700
I12,13 Jan 2005,0.16,0.18,0.16,0.18,252500
I12,14 Jan 2005,0.18,0.18,0.16,0.16,207700
I12,17 Jan 2005,0.16,0.2,0.16,0.2,1059000
I12,18 Jan 2005,0.2,0.2,0.18,0.18,486200
I12,19 Jan 2005,0.18,0.18,0.18,0.18,434500
I12,20 Jan 2005,0.18,0.18,0.18,0.18,263700
I12,21 Jan 2005,0.18,0.18,0.18,0.18,0
I12,24 Jan 2005,0.18,0.18,0.16,0.18,783200
I12,25 Jan 2005,0.18,0.18,0.16,0.16,45200
I12,26 Jan 2005,0.18,0.18,0.16,0.18,122700
I12,27 Jan 2005,0.18,0.18,0.16,0.16,121500
I12,28 Jan 2005,0.16,0.16,0.16,0.16,56700
I12,31 Jan 2005,0.16,0.18,0.16,0.16,58500
I12,01 Feb 2005,0.16,0.16,0.16,0.16,56000
I12,02 Feb 2005,0.16,0.18,0.16,0.18,77700
I12,03 Feb 2005,0.16,0.18,0.16,0.16,606700
I12,04 Feb 2005,0.18,0.18,0.16,0.16,1426700
I12,07 Feb 2005,0.16,0.18,0.16,0.18,973700
I12,08 Feb 2005,0.16,0.18,0.16,0.16,26000
I12,09 Feb 2005,0.16,0.16,0.16,0.16,0
I12,10 Feb 2005,0.16,0.16,0.16,0.16,0
I12,11 Feb 2005,0.04,0.04,0.04,0.04,2668000
I12,14 Feb 2005,0.16,0.16,0.14,0.14,2119000
I12,15 Feb 2005,0.14,0.14,0.14,0.14,436000
I12,16 Feb 2005,0.14,0.14,0.14,0.14,525000
I12,17 Feb 2005,0.14,0.14,0.14,0.14,393000
I12,18 Feb 2005,0.14,0.14,0.14,0.14,1258000
I12,21 Feb 2005,0.14,0.14,0.14,0.14,561000
I12,22 Feb 2005,0.14,0.14,0.14,0.14,470000
I12,23 Feb 2005,0.14,0.14,0.14,0.14,575000
I12,24 Feb 2005,0.14,0.14,0.14,0.14,352000
I12,25 Feb 2005,0.14,0.14,0.14,0.14,667000
I12,28 Feb 2005,0.14,0.14,0.14,0.14,273000
I12,01 Mar 2005,0.14,0.14,0.13,0.13,622000
I12,02 Mar 2005,0.12,0.12,0.12,0.12,753000
I12,03 Mar 2005,0.12,0.12,0.11,0.12,846000
I12,04 Mar 2005,0.11,0.12,0.1,0.12,1129000
I12,07 Mar 2005,0.11,0.11,0.1,0.1,422000
I12,08 Mar 2005,0.1,0.1,0.1,0.1,1532000
I12,09 Mar 2005,0.1,0.1,0.1,0.1,1123000
I12,10 Mar 2005,0.1,0.1,0.09,0.1,756000
I12,11 Mar 2005,0.1,0.1,0.1,0.1,124000
I12,14 Mar 2005,0.1,0.1,0.09,0.09,479000
I12,15 Mar 2005,0.09,0.1,0.09,0.09,536000
I12,16 Mar 2005,0.09,0.1,0.09,0.09,459000
I12,17 Mar 2005,0.09,0.09,0.09,0.09,317000
I12,18 Mar 2005,0.09,0.1,0.09,0.1,261000
I12,21 Mar 2005,0.09,0.1,0.09,0.1,275000
I12,22 Mar 2005,0.09,0.09,0.09,0.09,581000
I12,23 Mar 2005,0.09,0.09,0.09,0.09,239000
I12,24 Mar 2005,0.09,0.1,0.09,0.1,116000
I12,25 Mar 2005,0.1,0.1,0.1,0.1,0
I12,28 Mar 2005,0.09,0.09,0.09,0.09,201000
I12,29 Mar 2005,0.09,0.09,0.09,0.09,256000
I12,30 Mar 2005,0.09,0.09,0.09,0.09,60000
I12,31 Mar 2005,0.09,0.09,0.09,0.09,554000
I12,01 Apr 2005,0.09,0.09,0.09,0.09,152000
I12,04 Apr 2005,0.09,0.09,0.09,0.09,1456000
I12,05 Apr 2005,0.09,0.09,0.09,0.09,605000
I12,06 Apr 2005,0.09,0.09,0.09,0.09,1048000
I12,07 Apr 2005,0.09,0.09,0.09,0.09,1295000
I12,08 Apr 2005,0.09,0.09,0.09,0.09,160000
I12,11 Apr 2005,0.09,0.09,0.09,0.09,422000
I12,12 Apr 2005,0.09,0.09,0.09,0.09,337000
I12,13 Apr 2005,0.09,0.09,0.09,0.09,124000
I12,14 Apr 2005,0.09,0.09,0.09,0.09,136000
I12,15 Apr 2005,0.09,0.09,0.09,0.09,962000
I12,18 Apr 2005,0.09,0.09,0.09,0.09,338000
I12,19 Apr 2005,0.09,0.09,0.09,0.09,176000
I12,20 Apr 2005,0.09,0.09,0.09,0.09,305000
I12,21 Apr 2005,0.09,0.09,0.09,0.09,199000
I12,22 Apr 2005,0.09,0.09,0.09,0.09,254000
I12,25 Apr 2005,0.09,0.09,0.09,0.09,152000
I12,26 Apr 2005,0.09,0.09,0.09,0.09,130000
I12,27 Apr 2005,0.09,0.09,0.09,0.09,2000
I12,28 Apr 2005,0.09,0.09,0.09,0.09,125000
I12,29 Apr 2005,0.09,0.09,0.09,0.09,78000
I12,02 May 2005,0.09,0.09,0.09,0.09,0
I12,03 May 2005,0.09,0.09,0.09,0.09,270000
I12,04 May 2005,0.09,0.09,0.09,0.09,177000
I12,05 May 2005,0.09,0.09,0.09,0.09,113000
I12,06 May 2005,0.09,0.09,0.09,0.09,92000
I12,09 May 2005,0.09,0.09,0.09,0.09,161000
I12,10 May 2005,0.09,0.09,0.09,0.09,31000
I12,11 May 2005,0.09,0.09,0.09,0.09,166000
I12,12 May 2005,0.09,0.09,0.09,0.09,513000
I12,13 May 2005,0.09,0.09,0.09,0.09,173000
I12,16 May 2005,0.09,0.09,0.09,0.09,599000
I12,17 May 2005,0.09,0.09,0.09,0.09,221000
I12,18 May 2005,0.09,0.11,0.09,0.1,55825000
I12,19 May 2005,0.12,0.14,0.12,0.14,8503000
I12,20 May 2005,0.13,0.14,0.12,0.12,1740000
I12,23 May 2005,0.12,0.12,0.12,0.12,0
I12,24 May 2005,0.12,0.13,0.12,0.12,979000
