Symbol,Date,Open,High,Low,Close,Volume
i11,03 Jan 2005,0.08,0.08,0.08,0.08,3099000
i11,04 Jan 2005,0.08,0.08,0.08,0.08,3597000
i11,05 Jan 2005,0.08,0.08,0.08,0.08,1673000
i11,06 Jan 2005,0.08,0.08,0.08,0.08,1010000
i11,07 Jan 2005,0.08,0.08,0.08,0.08,1392000
i11,10 Jan 2005,0.08,0.08,0.07,0.07,772000
i11,11 Jan 2005,0.08,0.08,0.07,0.08,566000
i11,12 Jan 2005,0.08,0.08,0.07,0.07,3860000
i11,13 Jan 2005,0.08,0.08,0.08,0.08,2106000
i11,14 Jan 2005,0.08,0.08,0.08,0.08,3062000
i11,17 Jan 2005,0.08,0.08,0.08,0.08,287000
i11,18 Jan 2005,0.08,0.09,0.08,0.08,9612000
i11,19 Jan 2005,0.08,0.08,0.08,0.08,919000
i11,20 Jan 2005,0.08,0.08,0.08,0.08,100000
i11,21 Jan 2005,0.08,0.08,0.08,0.08,0
i11,24 Jan 2005,0.08,0.08,0.08,0.08,540000
i11,25 Jan 2005,0.08,0.08,0.08,0.08,1039000
i11,26 Jan 2005,0.08,0.08,0.08,0.08,1592000
i11,27 Jan 2005,0.08,0.08,0.08,0.08,433000
i11,28 Jan 2005,0.08,0.08,0.07,0.08,518000
i11,31 Jan 2005,0.08,0.08,0.08,0.08,510000
i11,01 Feb 2005,0.08,0.08,0.08,0.08,750000
i11,02 Feb 2005,0.08,0.08,0.08,0.08,350000
i11,03 Feb 2005,0.08,0.08,0.07,0.08,762000
i11,04 Feb 2005,0.08,0.08,0.07,0.08,175000
i11,07 Feb 2005,0.08,0.08,0.08,0.08,230000
i11,08 Feb 2005,0.08,0.08,0.08,0.08,163000
i11,09 Feb 2005,0.075,0.075,0.075,0.075,0
i11,10 Feb 2005,0.075,0.075,0.075,0.075,0
i11,11 Feb 2005,0.08,0.08,0.08,0.08,74000
i11,14 Feb 2005,0.08,0.08,0.08,0.08,680000
i11,15 Feb 2005,0.08,0.08,0.08,0.08,400000
i11,16 Feb 2005,0.07,0.08,0.07,0.08,449000
i11,17 Feb 2005,0.08,0.08,0.08,0.08,780000
i11,18 Feb 2005,0.08,0.08,0.08,0.08,959000
i11,21 Feb 2005,0.07,0.08,0.07,0.08,456000
i11,22 Feb 2005,0.08,0.08,0.08,0.08,1633000
i11,23 Feb 2005,0.07,0.08,0.07,0.08,371000
i11,24 Feb 2005,0.07,0.07,0.07,0.07,124000
i11,25 Feb 2005,0.07,0.08,0.07,0.08,1629000
i11,28 Feb 2005,0.07,0.07,0.06,0.07,597000
i11,01 Mar 2005,0.07,0.07,0.06,0.07,1123000
i11,02 Mar 2005,0.07,0.07,0.07,0.07,230000
i11,03 Mar 2005,0.07,0.07,0.07,0.07,1249000
i11,04 Mar 2005,0.07,0.07,0.07,0.07,437000
i11,07 Mar 2005,0.07,0.07,0.07,0.07,1194000
i11,08 Mar 2005,0.07,0.07,0.07,0.07,190000
i11,09 Mar 2005,0.07,0.08,0.07,0.07,526000
i11,10 Mar 2005,0.08,0.08,0.06,0.07,6159000
i11,11 Mar 2005,0.06,0.06,0.06,0.06,1633000
i11,14 Mar 2005,0.06,0.06,0.06,0.06,729000
i11,15 Mar 2005,0.06,0.07,0.06,0.06,613000
i11,16 Mar 2005,0.06,0.07,0.06,0.06,891000
i11,17 Mar 2005,0.06,0.07,0.06,0.06,1089000
i11,18 Mar 2005,0.06,0.06,0.06,0.06,937000
i11,21 Mar 2005,0.06,0.07,0.06,0.06,159000
i11,22 Mar 2005,0.06,0.07,0.06,0.06,2250000
i11,23 Mar 2005,0.07,0.07,0.06,0.06,2372000
i11,24 Mar 2005,0.06,0.07,0.06,0.07,3080000
i11,25 Mar 2005,0.07,0.07,0.07,0.07,0
i11,28 Mar 2005,0.06,0.07,0.06,0.06,3204000
