,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,volume
G92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i49,-1.8692133012152556,-1.8692133012152556,0.0,1.8692133012152556,-1.834913866819654,0.0,0.0,0.0,0.0,0.0,-3.63676441708749,0.0,-3.63676441708749,0.0,0.0,0.0,0.0,-1.834913866819654,0.0,0.0,0.0,0.0,0.0,0.0,1.7699577099400732,0.0,0.0,0.0,0.0,0.0,387000.0
H06,0.0,0.0,0.0,0.0,-22.31435513142097,0.0,0.0,0.0,-22.31435513142097,0.0,0.0,-22.31435513142097,0.0,-22.31435513142097,0.0,0.0,0.0,-22.31435513142097,0.0,0.0,0.0,0.0,0.0,-22.31435513142097,-22.31435513142097,0.0,0.0,0.0,0.0,0.0,743000.0
G07,0.0,-0.7662872745568983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7604599385219402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7604599385219402,0.7662872745568983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7782140442055052,779000.0
5FL,-6.062462181643502,0.0,0.0,0.0,6.453852113757108,0.0,-6.062462181643502,0.0,0.0,-12.51631429540061,0.0,0.0,-5.715841383994857,0.0,0.0,0.0,0.0,0.0,0.0,-5.715841383994857,0.0,0.0,0.0,-5.4067221270275745,0.0,-11.122563511022431,0.0,0.0,0.0,0.0,878000.0
G20,0.0,-1.0152371464018015,0.0,0.0,0.0,0.0,0.0,-1.005033585350145,1.005033585350145,-1.005033585350145,2.0202707317519466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0362787035546592,0.0,0.0,0.0,0.0,0.0,0.0,903000.0
E16,0.0,-0.35149421074445186,-0.3502630551202035,0.0,1.0544913176614878,0.0,-0.3539826705124094,0.0,0.0,0.0,-0.3527340517968325,0.3527340517968325,0.7092228309491855,0.0,0.0,0.0,0.0,0.35650661644963666,0.35778213478838694,0.35778213478838694,-0.7142887512380236,0.0,0.0,-0.35650661644963666,0.0,-0.3552401604367761,0.0,0.0,0.0,-1.061956882746018,1303000.0
F10,-3.922071315328135,0.0,0.0,3.774032798284699,0.0,0.0,0.0,0.0,0.0,0.0,-3.63676441708749,0.0,0.0,3.774032798284699,0.0,0.0,0.0,-3.922071315328135,0.0,-3.922071315328135,0.0,0.0,0.0,0.0,0.0,0.0,-11.332868530700324,0.0,0.0,0.0,1496000.0
G18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.35313926245223,0.0,0.0,-11.778303565638337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774000.0
F1E,-2.5317807984289953,0.0,0.0,-2.4692612590371366,0.0,2.409755157906057,-2.409755157906057,-2.3530497410194084,4.762804898925466,-7.061756721395341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.409755157906057,-2.3530497410194084,-2.409755157906057,-4.546237407675735,-2.2989518224698746,0.0,0.0,2.2989518224698746,0.0,0.0,0.0,2180000.0
5FQ,0.0,-4.445176257083383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445176257083383,0.0,0.0,0.0,0.0,4.445176257083383,0.0,0.0,4.445176257083383,0.0,-4.445176257083383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332000.0
5ET,0.0,-6.062462181643502,0.0,0.0,0.0,0.0,-5.4067221270275745,0.0,0.0,0.0,5.715841383994857,0.0,-5.715841383994857,-11.122563511022431,0.0,0.0,0.0,5.715841383994857,0.0,0.0,0.0,-5.715841383994857,-6.062462181643502,-5.715841383994857,0.0,0.0,0.0,0.0,0.0,0.0,2332000.0
5EG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.701137698962969,0.0,0.0,-9.531017980432477,0.0,0.0,0.0,0.0,-10.536051565782678,0.0,-10.536051565782678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049000.0
5FR,0.0,0.0,-6.062462181643502,0.0,0.0,0.0,0.0,0.0,0.0,6.062462181643502,0.0,0.0,0.0,0.0,0.0,0.0,-6.062462181643502,0.0,6.062462181643502,-6.062462181643502,0.0,0.0,0.0,0.0,-6.062462181643502,-6.062462181643502,0.0,0.0,0.0,0.0,3169000.0
5EW,0.0,8.701137698962969,0.0,0.0,0.0,0.0,0.0,0.0,-8.004270767353638,0.0,-13.353139262452252,6.062462181643502,0.0,0.0,0.0,0.0,7.410797215372189,0.0,0.0,0.0,0.0,-8.004270767353638,0.0,-8.004270767353638,0.0,0.0,0.0,0.0,0.0,0.0,3432000.0
F17,0.0,-0.8298802814695111,-1.639380977567642,0.8163310639160953,-1.6129381929883642,0.0,0.0,-0.8163310639160953,-2.4097551579060514,1.6000341346441154,-0.7968169649176876,-0.790517950711328,-0.7843177461025891,2.3716526617316047,0.0,0.0,0.0,0.0,0.0,0.7843177461025891,0.0,0.0,0.0,0.0,2.3716526617316047,-0.790517950711328,-1.5873349156290155,0.0,0.0,0.0,4163000.0
5FA,0.0,-9.531017980432477,-9.531017980432477,0.0,-18.232155679395447,0.0,0.0,9.531017980432477,-8.701137698962969,0.0,-8.004270767353638,8.004270767353638,8.004270767353638,0.0,0.0,0.0,0.0,8.701137698962969,9.531017980432477,0.0,0.0,-8.701137698962969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0
5ER,0.0,0.0,2.4097551579060683,0.0,-1.4388737452099454,0.0,-2.3530497410193973,0.0,0.0,0.0,0.0,0.0,2.2472855852058604,0.0,0.0,-2.1978906718775226,0.0,0.0,0.0,0.0,-2.1978906718775226,-2.150620522096358,0.0,2.2472855852058604,2.1978906718775226,0.0,-4.445176257083383,0.0,0.0,0.0,4759000.0
5EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.922071315328135,0.0,7.410797215372189,0.0,3.922071315328135,0.0,0.0,0.0,0.0,-4.082199452025526,0.0,0.0,4.082199452025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035000.0
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.409755157906057,-2.3530497410194084,-6.595796779179741,0.0,2.150620522096347,0.0,0.0,2.1978906718775337,0.0,0.0,0.0,-2.2989518224698746,0.0,0.0,2.2472855852058604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5635000.0
