,volume
5EF,36121000.0
5EG,3049000.0
5EK,82608000.0
5EL,5035000.0
5EN,78640000.0
5ER,4759000.0
5ET,2332000.0
5EV,6553000.0
5EW,3432000.0
5FA,4600000.0
5FH,20354000.0
5FI,21962000.0
5FL,878000.0
5FQ,2332000.0
5FR,3169000.0
5FX,8727000.0
5GI,14564000.0
E13,101207000.0
E16,1303000.0
E23,23139000.0
E25,58655000.0
E27,30662000.0
F01,86899000.0
F03,11329000.0
F10,1496000.0
F11,155338000.0
F12,218631000.0
F17,4163000.0
F18,32558000.0
F1E,2180000.0
F20,17440000.0
F22,37271000.0
F25U,11820000.0
G07,779000.0
G11,0.0
G13,19303000.0
G18,1774000.0
G20,903000.0
G41,15621000.0
G92,0.0
H06,743000.0
H07,19491000.0
H13,6359000.0
H16,25233000.0
H17,70435000.0
H18,5635000.0
i11,39191000.0
I12,10558700.0
i26,6966000.0
i49,387000.0
